********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,02-Mar-21,Time,12:18
Core random seed,  1767603545
*******************
Selected Configuration,  1
Session Type,  5
Moyenne Des Sessions,  40


8,11 201
8,11 150
8,11 179
1002,05 68 
3674,32 74 
3674,32 65 
3674,32 3 
3876,23 66 
3886,7 69 
7689,33 68 
12393,99 74 
12393,99 65 
12393,99 3 
13177,92 66 
13193,39 69 
13226,6 75 
13329,64 66 
13343,52 69 
14836,89 75 
15249,36 66 
15261,67 69 
15328,73 75 
15657,89 66 
15662,1 69 
16056,32 75 
16302,91 66 
16312,46 69 
16412,85 68 
16416,04 74 
16416,04 65 
16416,04 3 
16611,04 66 
16612,74 69 
17338,72 75 
17483,2 66 
17496,75 69 
20449,01 68 
22071,43 74 
22071,43 65 
22071,43 3 
22573,96 66 
22583,94 69 
25656,32 75 
26067,1 66 
26070,07 69 
26103,61 68 
26160,38 74 
26160,38 65 
26160,38 3 
26329,61 66 
26336,78 69 
26990,22 75 
27414,68 66 
27421,01 69 
27541,84 75 
27650,92 66 
27654,48 69 
30173,1 68 
31070,72 74 
31070,72 65 
31070,72 3 
31084,24 66 
31090,69 69 
31269,71 75 
31601,48 66 
31608,03 69 
32125,87 75 
32301,95 66 
32308,01 69 
32708,37 75 
33238,9 66 
33242,06 69 
33388,61 75 
33571,5 66 
33575,92 69 
34464,56 75 
34754,32 66 
34759,97 69 
35077,14 68 
35364,83 74 
35364,83 4 
35582,08 66 
35593,8 69 
36017,77 75 
36310,51 66 
36327,73 69 
36387,95 75 
36806,85 66 
36811,77 69 
37552,58 75 
37814,6 66 
37828,87 69 
39380,55 68 
40840,28 74 
40840,28 65 
40840,28 3 
41253,89 66 
41264,78 69 
41310,02 75 
41686,23 66 
41698,49 69 
44851,17 68 
47112,61 74 
47112,61 65 
47112,61 3 
47661,98 66 
47669,73 69 
48385,5 75 
48590,06 66 
48603,76 69 
49041,91 75 
49134,01 66 
49137,51 69 
49556,63 75 
49681,86 66 
49688 69 
50677,53 75 
50809,81 66 
50822,14 69 
51092,86 75 
51153,07 64 
51172,4 68 
51372,03 74 
51372,03 4 
51465,19 66 
51472,79 69 
51626,35 75 
51849,5 66 
51856,25 69 
52421,44 75 
52547,23 66 
52556,79 69 
53976,93 75 
54053,1 66 
54058,48 69 
55392,37 68 
69569,95 74 
69569,95 65 
69569,95 3 
69865,87 66 
69870,21 69 
72868,72 75 
73392,9 66 
73406,01 69 
73492,34 75 
74061,46 64 
74073,2 68 
76244,04 74 
76244,04 65 
76244,04 3 
77396,99 66 
77409,07 69 
79913,59 75 
80246,54 66 
80261,25 69 
80294,73 68 
80319,58 74 
80319,58 4 
81149,41 66 
81161,88 69 
83844,38 75 
84359,01 64 
84364,45 68 
88525,71 74 
88525,71 65 
88525,71 3 
89586,51 66 
89601,99 69 
89648,58 75 
89877,99 66 
89886,29 69 
92537,38 68 
92970,18 74 
92970,18 65 
92970,18 3 
93446,15 66 
93454,62 69 
93625,93 75 
93898,23 66 
93905,02 69 
94058,39 75 
94149,61 66 
94155,32 69 
94265,33 75 
94402,17 66 
94405,54 69 
96990,98 68 
97352,87 74 
97352,87 65 
97352,87 3 
97449,89 66 
97457,86 69 
97517,12 75 
97705,99 66 
97708,11 69 
100251,98 75 
100649,99 66 
100660,2 69 
100791,94 75 
101182,57 66 
101193,92 69 
101360,76 68 
102134,34 74 
102134,34 4 
102282,34 66 
102294,68 69 
102897,13 75 
103238,77 66 
103245,47 69 
103326,01 75 
103574,53 66 
103579,23 69 
104025,84 75 
104229,99 66 
104246,22 69 
104490,25 75 
104782,08 66 
104796,65 69 
104993,87 75 
105249,77 66 
105263,65 69 
106148,06 68 
108904,68 74 
108904,68 65 
108904,68 3 
109477,97 66 
109483,5 69 
112919,55 68 
114844,32 74 
114844,32 65 
114844,32 3 
115409,9 66 
115421,62 69 
118857,71 68 
120093,33 74 
120093,33 4 
120849,12 66 
120858,85 69 
124111,67 68 
124373,28 74 
124373,28 65 
124373,28 3 
125385,31 66 
125395,63 69 
128381,65 68 
130148,6 74 
130148,6 4 
130921,09 66 
130933,19 69 
133552,76 75 
134143,92 66 
134152,67 69 
134169,33 68 
137428,62 74 
137428,62 65 
137428,62 3 
137674,68 66 
137688,35 69 
140899,99 75 
141589,46 64 
141591,63 68 
142004,82 74 
142004,82 65 
142004,82 3 
142066,78 66 
142075,17 69 
146028,13 68 
147279,96 74 
147279,96 65 
147279,96 3 
148137,99 66 
148146,34 69 
151298,95 68 
152224,24 74 
152224,24 65 
152224,24 3 
152786,78 66 
152799,86 69 
156235,99 68 
156990,71 74 
156990,71 65 
156990,71 3 
158318 66 
158320,86 69 
160704,55 75 
160798,92 66 
160806,2 69 
161006,72 68 
162006,27 74 
162006,27 65 
162006,27 3 
162829,68 66 
162840,89 69 
163228,74 75 
