********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,27-Jan-21,Time,14:40
Core random seed,  195339840
*******************
Selected Configuration,  1
Session Type,  5
Moyenne Des Sessions,  40


8,49 201
8,49 150
8,49 179
1001,81 68 
71320,48 74 
71320,48 65 
71320,48 3 
71430,47 66 
71438,47 69 
71566,52 75 
72138,47 66 
72155,08 69 
72238,39 75 
72377,36 66 
72388,5 69 
74698,42 75 
75182,78 66 
75190,86 69 
75340,86 68 
75410,81 74 
75410,81 65 
75410,81 3 
75845,84 66 
75858,02 69 
76118,53 75 
76389,48 66 
76391,73 69 
77125,66 75 
77868,65 66 
77876,02 69 
77994,41 75 
78059,1 66 
78076,19 69 
79427,25 68 
90786,83 74 
90786,83 65 
90786,83 3 
91045,97 66 
91052,68 69 
92654,36 75 
92830,72 66 
92837,48 69 
93414,43 75 
93514,91 66 
93521,32 69 
94805,78 68 
95134,21 74 
95134,21 4 
95790,77 66 
95806,39 69 
95898,66 75 
96078,16 66 
96090,13 69 
99105,55 75 
99358,72 64 
99375,78 68 
99546,33 74 
99546,33 65 
99546,33 3 
99605,2 66 
99609,86 69 
100506,25 75 
100610,49 66 
100626,78 69 
103562,32 68 
106017,23 74 
106017,23 65 
106017,23 3 
106293,05 66 
106298,07 69 
107376,57 75 
107530,38 66 
107532,01 69 
110034,06 68 
112178,06 74 
112178,06 65 
112178,06 3 
112402,34 66 
112419,01 69 
112939,27 75 
113024,26 66 
113036,17 69 
116188,61 68 
116540,96 74 
116540,96 65 
116540,96 3 
116718,32 66 
116722,37 69 
117214,83 75 
117465,56 66 
117472,89 69 
117797,9 75 
117866,43 66 
117873,28 69 
120216,85 75 
120717,47 64 
120725,75 68 
120812,34 74 
120812,34 65 
120812,34 3 
121286,25 66 
121292,54 69 
122050,53 75 
122121,38 66 
122127,12 69 
122699,99 75 
122894,94 66 
122910,39 69 
123314,73 75 
123574,5 66 
123577,71 69 
124537,13 75 
124730,33 66 
124745,11 69 
