********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,26-Feb-21,Time,13:25
Core random seed,  39005125
*******************
Selected Configuration,  1
Session Type,  3
Moyenne Des Sessions,  40


12,8 201
12,8 150
12,8 179
1002,33 68 
7639,77 74 
7639,77 65 
7639,77 3 
8460,37 66 
8473,53 69 
11658,88 68 
13050 74 
13050 65 
13050 3 
13860,14 66 
13877,18 69 
17063,11 68 
54507,31 74 
54507,31 65 
54507,31 3 
55059,86 66 
55075,25 69 
55622,42 75 
55747,92 66 
55759,57 69 
58528,19 68 
59042,46 74 
59042,46 65 
59042,46 3 
59963,98 66 
59979,07 69 
63048,1 68 
63810,69 74 
63810,69 65 
63810,69 3 
64659,87 66 
64665,94 69 
66911,64 75 
67407,52 66 
67418,07 69 
67513,93 75 
67659,84 66 
67668,24 69 
67818,64 68 
68092 74 
68092 65 
68092 3 
68360,03 66 
68368,76 69 
71866,01 75 
72331,18 64 
72338,53 68 
72410,72 74 
72410,72 65 
72410,72 3 
72652,37 66 
72655,6 69 
73407,87 75 
73772,65 66 
73789,63 69 
76424,97 68 
83166,65 74 
83166,65 65 
83166,65 3 
83626,8 66 
83630,38 69 
83672,98 75 
83824,31 66 
83830,6 69 
87183,37 68 
88958,5 74 
88958,5 65 
88958,5 3 
89366,53 66 
89368,13 69 
92971,39 68 
93223,01 74 
93223,01 65 
93223,01 3 
94099,75 66 
94105,17 69 
95982,64 75 
96103,82 66 
96106,76 69 
96455,84 75 
97004,55 66 
97007,59 69 
97058,78 75 
97315,73 64 
97324,22 68 
97678,37 74 
97678,37 65 
97678,37 3 
98551,06 66 
98558,52 69 
101122,11 75 
101634,91 66 
101644,17 69 
101694,38 68 
101730,01 74 
101730,01 65 
101730,01 3 
101830,75 66 
101844,28 69 
102764,19 75 
102907,86 66 
102911,87 69 
103155,77 75 
103358,72 66 
103362,2 69 
103414,37 75 
103495,84 66 
103512,33 69 
105747,58 68 
108462,1 74 
108462,1 65 
108462,1 3 
109227,74 66 
109233,29 69 
112327,31 75 
113056,2 64 
113069,6 68 
113135,5 74 
113135,5 65 
113135,5 3 
113323,84 66 
113336,44 69 
113939,75 75 
114180,39 66 
114187,7 69 
114293,77 75 
114346,17 66 
114353,88 69 
114398,28 75 
114519,92 66 
114537,37 69 
117156,29 68 
120928,15 74 
120928,15 65 
120928,15 3 
121619,79 66 
121626,07 69 
124945,56 68 
132425,99 74 
132425,99 65 
132425,99 3 
133075,83 66 
133084,79 69 
136437,56 68 
140857,86 74 
140857,86 65 
140857,86 3 
141540,18 66 
141558,1 69 
144877,3 68 
156471,81 74 
156471,81 65 
156471,81 3 
157235,78 66 
157253,23 69 
160489,51 68 
161712,86 74 
161712,86 4 
162459,94 66 
162474,19 69 
162533,86 75 
163078,29 66 
163091,48 69 
163210,8 75 
163379,89 66 
163392,38 69 
164551,03 75 
164787,76 66 
164792,61 69 
165171,67 75 
165364,18 66 
165376,15 69 
165726,47 68 
166115,98 74 
166115,98 65 
166115,98 3 
166199,72 66 
166210,05 69 
168295,23 75 
168447,74 66 
168461,85 69 
169178,01 75 
169355,83 66 
169362,51 69 
169746,2 75 
170071,85 66 
170079,74 69 
170130,06 68 
170167,02 74 
170167,02 65 
170167,02 3 
170303,96 66 
170313,19 69 
170766,73 75 
170855,14 66 
170863,69 69 
171378,13 75 
171412,56 66 
171414,03 69 
173490,9 75 
173715,77 66 
173732,5 69 
174183,02 68 
174212,84 74 
174212,84 65 
174212,84 3 
174350,71 66 
174366,27 69 
174489,92 75 
174718,72 66 
174733,3 69 
174951,09 75 
175111,38 66 
175117,21 69 
176458,53 75 
176587,71 66 
176601,39 69 
177004,05 75 
177127,43 66 
177135,11 69 
177462,1 75 
177659,84 66 
177668,9 69 
178005,81 75 
178435,77 64 
178452,81 68 
178561,96 74 
178561,96 65 
178561,96 3 
178696,46 66 
178703,15 69 
179285,76 75 
179419,56 66 
179436,86 69 
182573,04 68 
182616,91 74 
182616,91 65 
182616,91 3 
183751,93 66 
183757,12 69 
184530,68 75 
