********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,15-Feb-21,Time,12:17
Core random seed,  685119951
*******************
Selected Configuration,  1
Session Type,  6
Moyenne Des Sessions,  40


7,83 201
7,83 150
7,83 179
1002,28 68 
2584,31 74 
2584,31 65 
2584,31 3 
2635,71 66 
2652,24 69 
2855,24 75 
3151,67 66 
3169,12 69 
5666,82 75 
5843,6 66 
5854,76 69 
6151,49 75 
7178,53 64 
7189,03 68 
7260,84 74 
7260,84 65 
7260,84 3 
7659,78 66 
7672,75 69 
11220,19 75 
11698,12 64 
11708,96 68 
11756,92 74 
11756,92 65 
11756,92 3 
12191,44 66 
12209,37 69 
12437,34 75 
13043,79 66 
13059,98 69 
13097,49 75 
13279,63 66 
13293,51 69 
15565,26 75 
15949,04 64 
15962,22 68 
16059,41 74 
16059,41 65 
16059,41 3 
16374,84 66 
16379,44 69 
16683,09 75 
17086,87 66 
17096,42 69 
17129,66 75 
17600,76 66 
17613,46 69 
20065,34 68 
30062,84 74 
30062,84 65 
30062,84 3 
30255,29 66 
30273,05 69 
30901,07 75 
31123,19 66 
31140,5 69 
34076,18 68 
34430,49 74 
34430,49 65 
34430,49 3 
35071,06 66 
35076,71 69 
35913,96 75 
36051,03 66 
36060,88 69 
36709,85 75 
36768,11 66 
36778,06 69 
37054,62 75 
37239,17 66 
37245,14 69 
37735,03 75 
37860,25 66 
37862,83 69 
38063,31 75 
38234,99 66 
38245,83 69 
38446,08 68 
39018,43 74 
39018,43 65 
39018,43 3 
39211,36 66 
39213,31 69 
39658,6 75 
39741,05 66 
39747,03 69 
39826,81 75 
39915,31 66 
39930,5 69 
40974,2 75 
41076,79 66 
41081,99 69 
41654,07 75 
41787,09 66 
41798,95 69 
42685,28 75 
42834,97 66 
42849,76 69 
43032,87 68 
43098,96 74 
43098,96 65 
43098,96 3 
43177,89 66 
43182,93 69 
47119,64 68 
54485,57 74 
54485,57 65 
54485,57 3 
55119,5 66 
55125,33 69 
58494,65 68 
87889,77 74 
87889,77 65 
87889,77 3 
88190,89 66 
88200,53 69 
88838,97 75 
88943,5 66 
88951,16 69 
91903,5 68 
93949,93 74 
93949,93 4 
94547,54 66 
94555,34 69 
