********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,01-Mar-21,Time,11:51
Core random seed,  823269892
*******************
Selected Configuration,  1
Session Type,  4
Moyenne Des Sessions,  40


9,52 201
9,52 150
9,52 179
1001,98 68 
4642,34 74 
4642,34 65 
4642,34 3 
4985,59 66 
4987,48 69 
8656,93 68 
11048,54 74 
11048,54 65 
11048,54 3 
11484,1 66 
11492,08 69 
15061,87 68 
17431,16 74 
17431,16 65 
17431,16 3 
17768,01 66 
17780,26 69 
21243,44 75 
21660,26 64 
21666,79 68 
21748,03 74 
21748,03 65 
21748,03 3 
21985,5 66 
22000,14 69 
22603,81 75 
22901,2 66 
22917,51 69 
25753,03 68 
26963,22 74 
26963,22 65 
26963,22 3 
27832,54 66 
27837,95 69 
30973,8 68 
32336,27 74 
32336,27 65 
32336,27 3 
33104,68 66 
33108,6 69 
36344,56 68 
44568,99 74 
44568,99 65 
44568,99 3 
44860,6 66 
44867,58 69 
48587,16 68 
50922,48 74 
50922,48 65 
50922,48 3 
51457,49 66 
51472,63 69 
54942,09 68 
55180,67 74 
55180,67 65 
55180,67 3 
55832,65 66 
55842,62 69 
56821,6 75 
57012,88 66 
57026,91 69 
59195,42 68 
61155,08 74 
61155,08 65 
61155,08 3 
61652,56 66 
61663,72 69 
65166,65 68 
65939,17 74 
65939,17 65 
65939,17 3 
67007,25 66 
67017,87 69 
67080,27 75 
67320,82 66 
67334,79 69 
67924,63 75 
68001,92 66 
68018,96 69 
68842,88 75 
68996,71 66 
69002,8 69 
69424,82 75 
69589,77 66 
69603,52 69 
69748,29 75 
70004,72 64 
70020,39 68 
70313 74 
70313 65 
70313 3 
70689,37 66 
70704,02 69 
70899,44 75 
71039,97 66 
71054,5 69 
74323,62 68 
74647,17 74 
74647,17 65 
74647,17 3 
74748,2 66 
74757,09 69 
75707,59 75 
75784,88 66 
75791,35 69 
75940,02 75 
76041,21 66 
76058,08 69 
77896,41 75 
78341,81 66 
78359,85 69 
78431,76 75 
78740,79 64 
78743,98 68 
79096,86 74 
79096,86 65 
79096,86 3 
79328,83 66 
79343,92 69 
79620,96 75 
79798,69 66 
79810,96 69 
83113,54 68 
88912,94 74 
88912,94 4 
89364,7 66 
89368,2 69 
92921,07 68 
95883,58 74 
95883,58 65 
95883,58 3 
96064,03 66 
96073,32 69 
99893,15 68 
102848,01 74 
102848,01 65 
102848,01 3 
103377,27 66 
103379,21 69 
106520,23 75 
106972,02 64 
106981,79 68 
107063,1 74 
107063,1 65 
107063,1 3 
107300,78 66 
107315,35 69 
108288,99 75 
108648,98 66 
108666,33 69 
108744,53 75 
108992,84 66 
108999,92 69 
110543,75 75 
110921,26 66 
110934,88 69 
110992,13 75 
111166,47 64 
111168,51 68 
112115,56 74 
112115,56 65 
112115,56 3 
112505,21 66 
112519,52 69 
112625,3 75 
113198,94 66 
113203,42 69 
113315,82 75 
113425,36 66 
113436,94 69 
114927,38 75 
115222,31 66 
115238,02 69 
115700,89 75 
116028,68 66 
116038,63 69 
116122,3 68 
116187,37 74 
116187,37 65 
116187,37 3 
116301,33 66 
116305,5 69 
117032,62 75 
117188,86 66 
117206,17 69 
119292,29 75 
119740,97 66 
119758,14 69 
119852,47 75 
120257,65 64 
120275,21 68 
120768,43 74 
120768,43 65 
120768,43 3 
121080,68 66 
121092,59 69 
122012,53 75 
122133,06 66 
122143,31 69 
122163,66 75 
122605,28 66 
122610,44 69 
124778,9 68 
125990,92 74 
125990,92 65 
125990,92 3 
126752,71 66 
126763,42 69 
129999,55 68 
131055,29 74 
131055,29 65 
131055,29 3 
131777,62 66 
131784,27 69 
135069,83 68 
138639,5 74 
138639,5 65 
138639,5 3 
138790,77 66 
138805,96 69 
142659,11 68 
144188,8 74 
144188,8 65 
144188,8 3 
144656,83 66 
144660,44 69 
148196,57 68 
153434,89 74 
153434,89 65 
153434,89 3 
153941,69 66 
153950,9 69 
157453,59 68 
159832,21 74 
159832,21 65 
159832,21 3 
160388,85 66 
160405,77 69 
163842,23 68 
179634,97 74 
179634,97 65 
179634,97 3 
180089,71 66 
180104,15 69 
183657,09 68 
183919,22 74 
183919,22 65 
183919,22 3 
184696,75 66 
184707,67 69 
185234,89 75 
185384,71 66 
185391,56 69 
186212,52 75 
186456,79 66 
186459,24 69 
187259,56 75 
187401,66 66 
187409,8 69 
187927,04 68 
188450,86 74 
188450,86 65 
188450,86 3 
188572,37 66 
188577,47 69 
190418,55 75 
190624,23 66 
190629,21 69 
190759,27 75 
190969,78 66 
190979,2 69 
191991,48 75 
192176,58 66 
192180,09 69 
192463,8 68 
192497,31 74 
192497,31 65 
192497,31 3 
192872,35 66 
192880,58 69 
192991,38 75 
193148,79 66 
193164,18 69 
194266,94 75 
194581,96 66 
194598,64 69 
194890,64 75 
194959,62 66 
194965,67 69 
195986,72 75 
196112,04 66 
196116,57 69 
196516,88 68 
196630,84 74 
196630,84 65 
196630,84 3 
197031,54 66 
197034,21 69 
197802,9 75 
197900,16 66 
197917,89 69 
198347,25 75 
198489,4 66 
198501,74 69 
199367,1 75 
199512,87 66 
199519,14 69 
199824,68 75 
200116,04 66 
200119,49 69 
200534,92 75 
200847,96 64 
200853,47 68 
201046,93 74 
201046,93 65 
201046,93 3 
201463,5 66 
201470,8 69 
201599,68 75 
201840,77 66 
201854,13 69 
205057,38 68 
207551,2 74 
207551,2 65 
207551,2 3 
207724,56 66 
