********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,17-Feb-21,Time,14:29
Core random seed,  1680191650
*******************
Selected Configuration,  1
Session Type,  2
Moyenne Des Sessions,  40


20,04 201
20,04 150
20,04 179
1001,79 68 
3053,88 74 
3053,88 65 
3053,88 3 
3345,46 66 
3352,73 69 
3417,45 75 
3881,32 66 
3886,51 69 
6043,93 75 
6892,64 66 
6905,58 69 
7011,85 75 
7229,5 64 
7239,22 68 
7623,75 74 
7623,75 65 
7623,75 3 
7744,43 66 
7756,05 69 
7900,15 75 
8329,25 66 
8339,7 69 
11559,28 75 
12061,33 64 
12075,89 68 
12148,47 74 
12148,47 65 
12148,47 3 
12273,97 66 
12276,26 69 
12801,34 75 
13233,17 66 
13243,43 69 
16162,57 68 
17024,06 74 
17024,06 65 
17024,06 3 
18065,05 66 
18080,4 69 
21032,96 68 
21679,11 74 
21679,11 65 
21679,11 3 
22597,04 66 
22600,49 69 
25575,27 75 
25673,28 66 
25686,3 69 
25719,74 68 
25820,19 74 
25820,19 65 
25820,19 3 
25913,53 66 
25919,71 69 
26055,3 75 
26233,06 66 
26236,74 69 
26652,81 75 
26937,45 66 
26954,28 69 
29839,42 68 
40423,99 74 
40423,99 65 
40423,99 3 
41329,78 66 
41331,74 69 
44071,63 75 
44676,64 64 
44684,25 68 
44783,88 74 
44783,88 4 
44897,43 66 
44900,93 69 
45351,4 75 
45638,04 66 
45651,44 69 
46972,25 75 
47468,57 66 
47486,18 69 
48804,69 68 
48814,71 74 
48814,71 65 
48814,71 3 
48926,56 66 
48937,33 69 
48958,96 75 
49204,95 66 
49221,2 69 
49752,91 75 
49911,28 66 
49921,68 69 
52447,66 75 
52648,5 66 
52656,79 69 
52759,81 75 
52953,03 64 
52957,19 68 
53347,15 74 
53347,15 4 
53741,54 66 
53757,64 69 
53864,06 75 
53978,63 66 
53991,14 69 
56075,42 75 
56698,46 66 
56709,89 69 
57360,75 68 
57756,71 74 
57756,71 4 
58173,01 66 
58178,25 69 
60807,81 75 
61281,55 66 
61296,75 69 
61372,48 75 
61633,18 66 
61646,99 69 
61764,12 68 
62027,85 74 
62027,85 65 
62027,85 3 
62276,11 66 
62280,93 69 
63367,37 75 
63468,77 66 
63481,73 69 
66034,06 68 
66815,91 74 
66815,91 65 
66815,91 3 
67789,44 66 
67801,63 69 
70197,26 75 
70607,42 66 
70620,59 69 
70700,28 75 
70901,61 64 
70904,65 68 
71247,86 74 
71247,86 4 
71673,96 66 
71688,41 69 
71772,62 75 
71897,12 66 
71905,52 69 
72539,57 75 
72597,46 66 
72605,63 69 
75257,42 68 
78737,67 74 
78737,67 65 
78737,67 3 
78989,96 66 
78993,51 69 
79172,83 75 
79648,3 66 
79660,7 69 
79715,15 75 
79856,8 66 
79861 69 
82746,48 68 
83055,17 74 
83055,17 65 
83055,17 3 
84152,48 66 
84164,11 69 
84635,63 75 
84716,82 66 
84731,25 69 
87066,48 68 
90287,2 74 
90287,2 65 
90287,2 3 
91332,95 66 
91336,27 69 
93818,88 75 
94180,55 66 
94188,78 69 
94265,06 75 
94681,16 64 
94688,92 68 
94797,04 74 
94797,04 65 
94797,04 3 
95004,98 66 
95022,43 69 
98695,3 75 
99122,64 64 
99125,91 68 
99214,99 74 
99214,99 65 
99214,99 3 
99544,86 66 
99559,22 69 
100057,16 75 
100269,25 66 
100276,7 69 
103228,91 68 
105309,09 74 
105309,09 65 
105309,09 3 
105348,92 66 
105363,58 69 
105484,14 75 
106341,39 66 
106347,78 69 
109317,41 68 
109848,31 74 
109848,31 65 
109848,31 3 
110176,46 66 
110183,92 69 
110267,33 75 
111093,88 66 
111101,34 69 
113853,89 68 
114443,86 74 
114443,86 65 
114443,86 3 
115137,01 66 
115154,72 69 
117675,2 75 
117816,04 66 
117823,36 69 
117952,57 75 
118176,93 66 
118190,09 69 
118457,08 68 
123647,37 74 
123647,37 4 
124224,17 66 
124228,07 69 
125306,77 75 
125880,4 66 
125895,95 69 
127664,34 68 
127739,43 74 
127739,43 65 
127739,43 3 
128793,69 66 
128798,65 69 
128931,67 75 
129084,98 66 
129098,4 69 
129445,01 75 
129653,24 66 
129665,49 69 
129908,59 75 
129973,25 66 
129982,42 69 
130554,28 75 
130646,44 66 
130649,65 69 
131016,34 75 
131213,03 66 
131216,71 69 
131750,71 68 
132716,12 74 
132716,12 65 
132716,12 3 
132953,53 66 
132967,95 69 
134759,48 75 
135144,66 66 
135153,01 69 
136737,67 68 
144459,44 74 
144459,44 4 
145002,32 66 
145010,47 69 
145055,84 75 
145625,03 66 
145628,1 69 
148480,16 68 
149752,08 74 
149752,08 65 
149752,08 3 
150044,62 66 
150047,76 69 
153767,73 68 
153769,56 74 
153769,56 65 
153769,56 3 
154596,86 66 
154601,3 69 
155923,42 75 
156506,08 66 
156519,29 69 
157787,26 68 
157996,33 74 
157996,33 65 
157996,33 3 
158880,83 66 
158887,97 69 
160923,88 75 
160952,66 66 
160973,34 69 
161359,27 75 
161488,56 66 
161506,43 69 
162006,93 68 
162348,65 74 
162348,65 65 
162348,65 3 
162440,74 66 
162457,15 69 
163187,33 75 
163465,4 66 
163474,6 69 
166361,08 68 
168608,31 74 
168608,31 65 
168608,31 3 
169724,8 66 
169729,62 69 
172615,26 68 
178808,22 74 
178808,22 65 
178808,22 3 
179457,29 66 
179470,16 69 
182823,02 68 
182885,14 74 
182885,14 65 
182885,14 3 
183772,9 66 
183790,07 69 
185048,69 75 
185169,25 66 
185174,56 69 
186271,11 75 
186753,16 66 
186759,33 69 
186847,5 75 
187028,72 64 
187042,58 68 
187943,35 74 
187943,35 65 
187943,35 3 
188096,81 66 
188110,04 69 
191963,3 68 
192060,36 74 
192060,36 65 
192060,36 3 
193317,3 66 
193330,63 69 
193532,69 75 
193697,86 66 
193714,36 69 
193944,78 75 
194140,2 66 
194148,01 69 
194691,7 75 
195168,45 66 
195182,12 69 
195428,5 75 
195489,7 66 
195499 69 
195627,7 75 
196070,49 64 
196082,82 68 
196288,12 74 
196288,12 65 
196288,12 3 
196596,92 66 
196599,9 69 
197667,25 75 
197769,08 66 
197784,08 69 
199523,14 75 
200249,74 66 
200252,71 69 
200302,93 68 
202715,51 74 
202715,51 65 
202715,51 3 
203692,1 66 
203705,46 69 
206724,29 68 
207451,64 74 
207451,64 4 
208212,82 66 
208225,33 69 
210567,67 75 
211005,04 66 
211010,85 69 
211461,44 68 
214951,07 74 
214951,07 65 
214951,07 3 
215368,68 66 
215380,78 69 
217683,81 75 
217972,7 66 
217982,83 69 
218135,56 75 
218380,75 66 
218383,36 69 
218967,37 68 
219303,95 74 
219303,95 65 
219303,95 3 
219393,55 66 
219400,54 69 
222475,67 75 
222798,21 66 
222803,83 69 
222867,02 75 
223128,76 66 
223136,96 69 
223320,83 68 
223501,81 74 
223501,81 65 
223501,81 3 
223928,84 66 
223937,42 69 
224175,33 75 
224441,09 66 
224454,74 69 
225423,37 75 
225652,81 66 
225655,75 69 
225923,79 75 
226028,83 66 
226039,23 69 
226384,57 75 
226592,69 66 
226606,04 69 
227019,2 75 
227088,66 66 
227106,5 69 
227451,71 75 
227628,68 64 
227640,47 68 
228400,41 74 
228400,41 65 
228400,41 3 
228566,33 66 
228574,23 69 
230159,15 75 
230244,89 66 
230258,85 69 
232410,83 68 
233551,58 74 
233551,58 65 
233551,58 3 
234776,24 66 
234779,14 69 
235887,27 75 
236109,61 66 
236113,32 69 
236835,77 75 
237088,89 66 
237097,43 69 
237540,37 75 
237745,49 64 
237748,43 68 
237787,94 74 
237787,94 65 
237787,94 3 
237909,3 66 
237914,79 69 
238109,24 75 
238225,1 66 
238231,58 69 
239071,2 75 
239122,34 66 
239132,57 69 
241801,24 68 
242631,47 74 
242631,47 65 
242631,47 3 
243708,79 66 
243719,05 69 
245911 75 
246116,87 66 
246121,06 69 
246488,73 75 
246756,67 64 
246771,71 68 
246867,41 74 
246867,41 65 
246867,41 3 
247088,91 66 
247105,28 69 
247495,42 75 
247660,9 66 
247672,87 69 
250759,35 75 
251204,38 64 
251208,45 68 
251287,4 74 
251287,4 65 
251287,4 3 
251492,73 66 
251508,39 69 
252028,83 75 
252144,92 66 
252158,87 69 
255295,06 68 
