********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,05-Feb-21,Time,15:36
Core random seed,  83945806
*******************
Selected Configuration,  1
Session Type,  6
Moyenne Des Sessions,  40


8,22 201
8,22 150
8,22 179
1001,85 68 
1080,97 74 
1080,97 65 
1080,97 3 
1316,95 66 
1334,55 69 
2156,24 75 
2415,3 66 
2418,68 69 
4303,05 75 
4764,99 66 
4770,49 69 
4871,61 75 
5052,88 66 
5070,59 69 
5104,4 68 
5509,33 74 
5509,33 4 
5593,61 66 
5604,51 69 
5740,29 75 
5992,72 66 
6004,63 69 
6161,38 75 
6629,31 66 
6638,74 69 
6737,98 75 
6964,67 66 
6972,03 69 
7279,51 75 
7384,74 66 
7389,24 69 
7776,09 75 
7916,71 66 
7922,88 69 
8443,1 75 
8564,2 66 
8573,39 69 
8634,97 75 
9024,37 66 
9040,44 69 
9183,18 75 
9384,29 66 
9390,59 69 
9524,12 68 
9896,57 74 
9896,57 65 
9896,57 3 
10048,54 66 
10058,07 69 
11623,04 75 
11744,63 66 
11759,34 69 
12468,85 75 
12543,95 66 
12559,64 69 
13910,88 68 
14999,2 74 
14999,2 65 
14999,2 3 
15983,72 66 
15995,55 69 
16095,25 75 
16286,02 66 
16295,89 69 
16633,2 75 
16812,86 66 
16829,59 69 
17069,51 75 
17161,7 66 
17163,13 69 
17567,25 75 
17700,68 66 
17713,61 69 
18032,66 75 
18269 66 
18280,68 69 
18388,33 75 
18584,63 66 
18597,57 69 
18900,64 75 
19201,25 64 
19214,74 68 
19281 74 
19281 65 
19281 3 
19508,9 66 
19514,93 69 
19812,9 75 
20144,71 66 
20148,8 69 
20424,5 75 
20533,08 66 
20549,07 69 
21875,29 75 
22200,39 66 
22216,99 69 
22309,5 75 
22526,21 66 
22533,91 69 
22865,44 75 
23512,75 64 
23518,06 68 
23872,82 74 
23872,82 65 
23872,82 3 
24162,56 66 
24168,56 69 
24307,5 75 
24520,87 66 
24535,44 69 
27888,14 68 
28666,6 74 
28666,6 4 
29184,39 66 
29189,63 69 
29279,6 75 
29444,8 66 
29456,25 69 
30191,14 75 
30804,32 66 
30807,5 69 
32675,02 68 
33032,3 74 
33032,3 65 
33032,3 3 
33204,24 66 
33209,1 69 
33345,92 75 
33470,68 66 
33475,79 69 
34603,41 75 
34772,74 66 
34776,66 69 
36407,22 75 
36613,43 66 
36628 69 
37045,17 68 
37092,47 74 
37092,47 65 
37092,47 3 
37184,06 66 
37195,04 69 
38037,41 75 
38135,14 66 
38145,82 69 
41047,53 75 
41392,11 64 
41398,44 68 
41486,88 74 
41486,88 65 
41486,88 3 
41664,75 66 
41681,85 69 
42079,1 75 
42465,14 66 
42482,48 69 
45501,6 68 
50596,55 74 
50596,55 65 
50596,55 3 
50940,89 66 
50955,55 69 
51683,16 75 
51904,6 66 
51906,35 69 
52284,6 75 
52381,89 66 
52390,15 69 
52455,96 75 
52680,6 66 
52690,43 69 
52980,03 75 
53188,91 66 
53190,68 69 
53328,23 75 
53569,3 66 
53574,7 69 
53785,04 75 
54057,55 66 
54074,91 69 
54285,09 75 
54556,82 66 
54559,18 69 
54608,48 68 
56524,37 74 
56524,37 4 
57016,6 66 
57026,87 69 
57164,57 75 
57352,66 66 
57360,57 69 
58232,29 75 
58441,31 66 
58444,65 69 
58829,35 75 
59025,34 66 
59028,51 69 
59216,44 75 
59441,4 66 
59445,43 69 
60287,35 75 
60448,63 66 
60462,86 69 
60529,65 68 
60756,54 74 
60756,54 65 
60756,54 3 
60924,69 66 
60930,01 69 
61071,84 75 
61261,04 66 
61263,79 69 
64766,54 68 
65428,29 74 
65428,29 65 
65428,29 3 
65517,99 66 
65533,34 69 
65568,3 75 
66144,76 66 
66150,61 69 
66583,64 75 
66726,45 66 
66734,34 69 
67715,05 75 
67796,72 66 
67802,06 69 
68543,35 75 
68704,62 66 
68719,16 69 
69116,33 75 
69263,41 66 
69269,58 69 
69396,81 75 
69584,67 64 
69586,67 68 
70964,79 74 
70964,79 65 
70964,79 3 
71148,75 66 
71154,43 69 
71407,25 75 
71876,29 66 
71888,33 69 
74756,32 75 
75084,93 64 
75090,86 68 
75171,06 74 
75171,06 65 
75171,06 3 
75340,74 66 
75357,97 69 
76867,1 75 
77072,79 66 
77075,67 69 
77743,48 75 
77908,64 66 
77926,23 69 
78364,81 75 
78512,95 66 
78526,7 69 
78719,63 75 
78884,71 66 
78893,59 69 
79177,17 68 
79436,15 74 
79436,15 65 
79436,15 3 
79532,21 66 
79544,06 69 
79736,97 75 
80388,28 66 
80394,8 69 
80559,03 75 
80780,7 66 
80795,04 69 
82891,93 75 
83108,9 66 
83113,68 69 
83447,36 68 
83507,44 74 
83507,44 65 
83507,44 3 
83642,51 66 
83647,48 69 
84671,35 75 
84782,25 66 
84798,11 69 
87328,7 75 
87517,8 64 
87533,54 68 
87776,6 74 
87776,6 65 
87776,6 3 
87980,96 66 
87984,2 69 
88111,47 75 
88532,61 66 
88535,04 69 
88999,04 75 
89208,71 66 
89218,13 69 
89412,74 75 
89680,66 66 
89685,26 69 
90812,6 75 
90992,7 66 
91002,85 69 
91436,88 75 
91513,05 66 
91520,31 69 
91727,05 75 
91908,54 64 
91920,58 68 
92854,75 74 
92854,75 65 
92854,75 3 
93136,18 66 
93137,9 69 
93415,27 75 
93627,75 66 
93638,26 69 
94253,05 75 
94509,7 66 
94538,94 69 
96874,08 68 
97458,48 74 
97458,48 65 
97458,48 3 
97991,99 66 
98008,6 69 
98036,74 75 
98484,13 66 
98491,97 69 
101477,82 68 
101739,42 74 
101739,42 65 
101739,42 3 
101879,59 66 
101894,45 69 
102037,48 75 
102528,72 66 
102544,99 69 
102645,03 75 
102688,57 66 
102695,42 69 
102837,76 75 
103416,52 66 
103429 69 
104263,12 75 
104472,86 66 
104479,81 69 
104843,65 75 
105008,79 66 
105013,88 69 
105180,53 75 
105265,96 66 
105280,4 69 
105368,52 75 
106228,31 64 
106232 68 
106323,77 74 
106323,77 65 
106323,77 3 
106568,69 66 
106581,38 69 
106808,67 75 
106970,16 66 
106981,69 69 
109883,59 75 
110069,02 66 
110084,08 69 
110334,58 68 
110835,34 74 
110835,34 65 
110835,34 3 
111443,39 66 
111451,72 69 
111955,31 75 
112321,35 66 
112335,8 69 
112657,54 75 
112741,89 66 
112752,78 69 
114579,87 75 
114748,71 66 
114754,37 69 
114854,65 68 
115440,21 74 
115440,21 65 
115440,21 3 
115668,78 66 
115671,69 69 
119458,08 68 
121559,84 74 
121559,84 65 
121559,84 3 
122692,64 66 
122710,33 69 
122831,08 75 
123116,07 66 
123127,36 69 
123199,81 75 
123306,11 66 
123311,15 69 
123720,17 75 
123868,71 66 
123877,93 69 
124531,58 75 
124656,81 66 
124661,99 69 
125491,05 75 
125721,23 64 
125729,36 68 
126395,03 74 
126395,03 65 
126395,03 3 
126612,49 66 
126630,02 69 
127091,31 75 
127200,97 66 
127213,8 69 
127264,5 75 
127315,61 66 
127330,55 69 
130024,19 75 
130188,7 66 
130199,43 69 
130248,03 75 
130400,6 66 
130416,25 69 
130449,65 68 
130534,38 74 
130534,38 65 
130534,38 3 
130716,63 66 
130733,1 69 
131142,11 75 
131448,97 66 
131450,4 69 
133943,7 75 
134098,03 66 
134102,51 69 
134151,21 75 
134278,34 66 
134285,94 69 
134377,65 75 
134592,66 64 
134602,81 68 
135012,85 74 
135012,85 65 
135012,85 3 
135461,32 66 
135470,12 69 
136003,15 75 
136199,78 66 
136204,07 69 
138237,7 75 
138312,64 66 
138322,29 69 
138375,37 75 
138524,32 66 
138539,12 69 
138731,79 75 
138857,03 66 
138872,84 69 
139023,43 68 
139679,89 74 
139679,89 65 
139679,89 3 
139816,89 66 
139823,39 69 
140876,03 75 
140968,85 66 
140974,46 69 
141754,87 75 
141880,51 66 
141891,93 69 
143693,07 68 
144248,36 74 
144248,36 65 
144248,36 3 
144753,06 66 
144760,48 69 
145251,37 75 
145404,67 66 
145411,09 69 
145940,08 75 
146020,59 66 
146028,25 69 
146970,97 75 
147061,48 66 
147078,97 69 
147538,81 75 
147741,68 66 
147746,54 69 
148026,83 75 
148181,19 66 
148196,5 69 
148263,53 68 
148531,52 74 
148531,52 4 
149059,75 66 
149063,79 69 
149196,62 75 
149401,02 66 
149414,09 69 
149852,67 75 
149996,59 66 
150014,57 69 
150484,43 75 
150596,78 66 
150598,27 69 
150752,54 75 
150908,71 66 
150915,24 69 
152549,87 68 
153432,82 74 
153432,82 65 
153432,82 3 
154285,69 66 
154301,1 69 
154463,44 75 
154564,93 66 
154568,09 69 
154952,43 75 
155036,72 66 
155051,71 69 
157454 68 
158427,17 74 
158427,17 65 
158427,17 3 
158456,77 66 
158470,96 69 
158523,27 75 
159076,65 66 
159088,44 69 
159618,78 75 
159825,52 66 
159838,74 69 
160047,19 75 
160104,4 66 
160122,27 69 
162338,76 75 
162560,67 64 
162574,41 68 
163003,49 74 
163003,49 65 
163003,49 3 
163192,65 66 
163208,4 69 
167010,99 68 
167369,26 74 
167369,26 65 
167369,26 3 
167576,8 66 
167594,58 69 
167988,67 75 
168164,96 66 
168178,51 69 
168263,66 75 
168468,72 66 
168478,68 69 
170947,54 75 
171221,49 66 
171230,73 69 
171381,04 68 
171412,87 74 
171412,87 65 
171412,87 3 
171516,04 66 
171530,9 69 
173000,54 75 
173105,19 66 
173115,53 69 
173311,5 75 
173565,06 66 
173582,55 69 
173708,73 75 
173893,38 66 
173899,46 69 
174067,65 75 
174180,68 66 
174183,19 69 
174495,36 75 
174715,88 66 
174733,41 69 
174883,32 75 
174961,73 66 
174967,14 69 
175434,23 68 
175438,46 74 
175438,46 65 
175438,46 3 
175504,09 66 
175517,72 69 
177055,63 75 
177164,89 66 
177168,64 69 
177863,81 75 
177972,78 66 
177985,89 69 
178403,23 75 
178584,37 66 
178586,63 69 
178655,62 75 
178755,34 66 
178769,94 69 
178935,16 75 
179140,68 66 
179153,48 69 
179470,64 68 
179499,92 74 
179499,92 65 
179499,92 3 
180062,81 66 
180070,78 69 
180156,74 75 
180226,24 66 
180237,64 69 
180360,49 75 
180504,17 66 
180521,18 69 
181178,88 75 
181428,82 66 
181438,54 69 
181449,18 75 
181744,67 66 
181755,44 69 
181979,04 75 
182088,56 66 
182105,76 69 
182391,31 75 
182517,58 66 
182523,03 69 
182916,49 75 
183001,39 66 
183007,06 69 
183139,81 75 
183356,56 66 
183373,43 69 
183507,61 68 
183607,21 74 
183607,21 4 
184073,59 66 
184090,6 69 
184348,82 75 
184708,63 66 
184724,59 69 
184882,99 75 
185055,71 66 
185058,56 69 
187626,76 68 
188099,39 74 
188099,39 65 
188099,39 3 
188792,65 66 
188810,78 69 
190387,33 75 
190699,24 66 
190712,28 69 
190947,48 75 
191176,77 66 
191179,63 69 
191447,24 75 
191720,89 66 
191729,72 69 
192084,82 75 
192288,69 64 
192296,89 68 
192421,36 74 
192421,36 65 
192421,36 3 
192762,17 66 
192763,77 69 
195619,21 75 
195935,89 66 
195949,64 69 
196151,69 75 
196316,73 66 
196333,23 69 
196433,49 68 
196711,44 74 
196711,44 65 
196711,44 3 
196830,95 66 
196833,73 69 
198523,33 75 
198625,95 66 
198635 69 
199619,22 75 
199836,77 66 
199852,58 69 
200253,47 75 
200384,61 66 
200386,84 69 
200720,1 68 
200787,68 74 
200787,68 65 
200787,68 3 
200920,74 66 
200936,69 69 
201544,58 75 
201641,52 66 
201653,95 69 
202523,35 75 
202636,99 66 
202654,72 69 
203587,24 75 
203732,81 66 
203739,01 69 
204074,88 75 
204169,15 66 
204172,54 69 
204619,49 75 
204976,85 64 
204989,92 68 
205500,37 74 
205500,37 65 
205500,37 3 
205633,25 66 
205640,59 69 
206019,26 75 
206269,1 66 
206274,26 69 
207207,29 75 
207329,86 66 
207341,91 69 
208592,14 75 
208661,26 66 
208675,98 69 
209509,99 68 
209564,08 74 
209564,08 65 
209564,08 3 
209732,66 66 
209743,41 69 
209992,52 75 
210121,56 66 
210127,21 69 
211329,31 75 
211425,79 66 
211428,66 69 
212268,69 75 
212352,95 66 
212362,14 69 
213579,95 68 
213844,21 74 
213844,21 65 
213844,21 3 
214147,69 66 
214163,49 69 
214939,41 75 
215109,57 66 
215114,54 69 
217850,25 68 
217967,82 74 
217967,82 65 
217967,82 3 
218472,89 66 
218483,42 69 
219315,03 75 
219508,54 66 
219517,63 69 
219668,82 75 
219773,03 66 
219784,48 69 
221986,48 68 
222003,91 74 
222003,91 65 
222003,91 3 
222929,03 66 
222936,87 69 
223077,55 75 
223233,38 66 
223237,13 69 
223741,29 75 
223792,72 66 
223804,21 69 
224033,47 75 
224171,86 66 
224187,89 69 
224490,92 75 
224676,64 66 
224688,32 69 
225112,75 75 
225133,08 66 
225155,62 69 
225428,04 75 
225604,62 66 
225622,24 69 
226022,95 68 
226483,22 74 
226483,22 65 
226483,22 3 
226680,56 66 
226689,79 69 
227064,73 75 
227324,7 66 
227340,36 69 
227680,34 75 
227876,82 66 
227890,9 69 
230492,65 68 
236183,03 74 
236183,03 65 
236183,03 3 
236656,86 66 
236663,96 69 
237671,81 75 
238104,54 66 
238115,12 69 
239183,75 75 
239633,87 66 
239649,64 69 
239740,7 75 
240000,63 66 
240016,58 69 
240200,21 68 
240348,96 74 
240348,96 65 
240348,96 3 
240626,22 66 
240633,67 69 
242103,02 75 
242205,18 66 
242218,31 69 
242239,19 75 
242376,43 66 
242385,07 69 
242604,33 75 
242768,85 66 
242785,36 69 
243197,15 75 
243349,05 66 
243352,62 69 
243533,35 75 
243728,94 66 
243736,52 69 
244117,3 75 
244266,66 66 
244269,89 69 
244370,01 68 
244374,01 74 
244374,01 65 
244374,01 3 
244525,17 66 
244536,65 69 
244816,98 75 
244937,12 66 
244953,69 69 
245595,14 75 
245768,65 66 
245771,37 69 
245964,69 75 
246038,55 66 
246054,52 69 
246113,78 75 
246249,15 66 
246254,73 69 
248406,56 68 
248699,46 74 
248699,46 65 
248699,46 3 
249017,31 66 
249023,53 69 
249400,4 75 
249506,31 66 
249524,14 69 
252709,61 68 
253663,4 74 
