********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,23-Feb-21,Time,12:44
Core random seed,  1775512646
*******************
Selected Configuration,  1
Session Type,  6
Moyenne Des Sessions,  40


233568,32 75 
233669,04 66 
233678,28 69 
234285,9 75 
234830,51 64 
234845,87 68 
235385,68 74 
235385,68 65 
235385,68 3 
235488,01 66 
235496,33 69 
236195,79 75 
236419,29 66 
236430,49 69 
236518,34 75 
236587,3 66 
236597,23 69 
239399,34 68 
240393,59 74 
240393,59 65 
240393,59 3 
241607,22 66 
241617,63 69 
241718,02 75 
241919,27 66 
241934,56 69 
244403,28 68 
245449,72 74 
245449,72 65 
245449,72 3 
245763,59 66 
245770,83 69 
246317,62 75 
246413,59 66 
246421,36 69 
249457,18 68 
249937,67 74 
249937,67 65 
249937,67 3 
250232,33 66 
250240,87 69 
250967,44 75 
251055,41 66 
251058,51 69 
253943,8 68 
254053,05 74 
254053,05 65 
254053,05 3 
254787,22 66 
254794,35 69 
256913,47 75 
256975,63 66 
256979,4 69 
257625,86 75 
257834,74 66 
257846,79 69 
258063,7 68 
258586,24 74 
258586,24 65 
258586,24 3 
258718,32 66 
258730,73 69 
262600,36 68 
262802,98 74 
262802,98 65 
262802,98 3 
263822,17 66 
263834,56 69 
265086,89 75 
265159,17 66 
265169,06 69 
265545,41 75 
265739,21 66 
265752,81 69 
266193,44 75 
266467,72 66 
266470,33 69 
266766,34 75 
266928,03 64 
266937 68 
267651,66 74 
267651,66 65 
267651,66 3 
267663,82 66 
267687,58 69 
267866,76 75 
268170,33 66 
268187,93 69 
271657,41 68 
273778,15 74 
273778,15 65 
273778,15 3 
274079,69 66 
274092,39 69 
277250,43 75 
277286,99 66 
277295,29 69 
277637,39 75 
277722,03 66 
277728,85 69 
277795,42 68 
277925,81 74 
277925,81 4 
278054,74 66 
278062,08 69 
278690,1 75 
278899,55 66 
278912,78 69 
281706 75 
282563,48 64 
282565,88 68 
287125,69 74 
287125,69 65 
287125,69 3 
288151,47 66 
288153,45 69 
291138,98 68 
304061,49 74 
304061,49 65 
304061,49 3 
304743,07 66 
304749,1 69 
305133,2 75 
305291,11 66 
305299,76 69 
307174,4 75 
307755,98 66 
307768,14 69 
307818,7 75 
308201,18 64 
308218,49 68 
310981,41 74 
310981,41 65 
310981,41 3 
311991,66 66 
312004,71 69 
312101,94 75 
312311,74 66 
312321,68 69 
313717,46 75 
313903,29 66 
313906,24 69 
314373,35 75 
314767,45 66 
314773,47 69 
314885,38 75 
315108,43 64 
315123,75 68 
317229,5 74 
317229,5 65 
317229,5 3 
318415,98 66 
318426,26 69 
320675,5 75 
321033,54 66 
321044,93 69 
321129,48 75 
321459,28 64 
321462,53 68 
321818,04 74 
321818,04 65 
321818,04 3 
322475,53 66 
322479,38 69 
323078,59 75 
323134,95 66 
323146,53 69 
323490,39 75 
323698,38 66 
323713,71 69 
325832,35 68 
325834,82 74 
325834,82 65 
325834,82 3 
326785,73 66 
326799,44 69 
329868,6 68 
330357,63 74 
330357,63 65 
330357,63 3 
331291,49 66 
331302,71 69 
331605,53 202
331605,53 155
331605,53 175
332604,38 68 
334857,64 74 
334857,64 65 
334857,64 3 
335864,44 66 
335872,85 69 
338875,22 68 
339576,27 74 
339576,27 4 
339879,6 66 
339892,6 69 
339954,02 75 
340238,71 66 
340243,21 69 
340437,11 75 
340647,17 66 
340659,92 69 
341087,57 75 
341252,46 66 
341260,33 69 
341747,14 75 
341932,32 66 
341944,2 69 
343037,38 75 
343163,75 66 
343178,51 69 
343595,65 68 
343810,1 74 
343810,1 4 
343884,26 66 
343895,67 69 
344922,07 75 
345072,8 66 
345079,99 69 
346073,59 75 
346207,18 66 
346214,24 69 
346485,99 75 
346546,16 66 
346547,75 69 
347815,36 68 
348393,83 74 
348393,83 4 
348647,03 66 
348649,33 69 
350933,58 75 
351191,72 66 
351201,26 69 
351521,91 75 
351815,2 66 
351818,47 69 
352402,51 68 
353525,47 74 
353525,47 65 
353525,47 3 
353708,05 66 
353719,81 69 
357539,63 68 
358093 74 
358093 4 
359071,91 66 
359074,08 69 
360703,63 65 
360703,63 1 
362109,76 68 
365503,66 65 
365503,66 1 
371603,68 65 
371603,68 1 
374903,68 65 
374903,68 1 
403705,55 74 
403705,55 65 
403705,55 3 
404235,2 66 
404242,01 69 
407711,46 68 
408818,11 74 
408818,11 4 
409047,61 66 
409062,03 69 
409194,45 75 
409291,17 66 
409295,99 69 
410430,75 75 
410511,18 66 
410513,48 69 
412831,78 68 
415003,71 65 
415003,71 1 
420945,65 74 
420945,65 65 
420945,65 3 
421354,94 66 
421371,43 69 
424425,87 75 
424556,17 66 
424573,92 69 
424957,73 68 
425185,87 74 
425185,87 4 
425518,38 66 
425524,58 69 
425627,46 75 
426071,55 66 
426075,05 69 
426225,46 75 
426339,88 66 
426342,29 69 
427881,41 75 
428000,61 66 
428009,87 69 
429194,17 68 
431810,27 74 
431810,27 4 
432646,33 66 
432663,37 69 
432818,97 75 
432903,09 66 
432913,67 69 
435815,83 68 
443465,45 74 
443465,45 65 
443465,45 3 
444446,53 66 
444455,71 69 
444509,49 75 
444692,58 66 
444705,96 69 
445029,58 75 
445081,38 66 
445089,65 69 
445270,88 75 
445300,22 66 
445307,08 69 
447270,22 75 
447618,41 64 
447625,04 68 
447741,4 74 
447741,4 4 
448201,45 66 
448208,66 69 
448429,78 75 
448595,31 66 
448608,94 69 
448893,89 75 
448958,92 66 
448975,86 69 
449303,7 65 
449303,7 1 
451761,38 68 
453270,84 74 
453270,84 65 
453270,84 3 
453458,59 66 
453462,63 69 
453775,96 75 
453906,25 66 
453912,95 69 
456425,77 75 
456955,85 66 
456965,55 69 
457282,3 68 
458772,91 74 
458772,91 4 
458907,28 66 
458916,72 69 
459965,78 75 
460039,21 66 
460051,02 69 
461022,08 75 
461131,53 66 
461135,12 69 
462279,08 75 
462397,47 66 
462402,87 69 
462786,58 68 
463503,78 65 
463503,78 1 
466766,9 74 
466766,9 4 
466871,41 66 
466872,73 69 
470775,99 68 
475225,94 74 
475225,94 65 
475225,94 3 
476204,88 66 
476213,25 69 
476385,69 75 
476707,58 66 
476713,74 69 
477449,25 75 
477560,27 66 
477564,51 69 
477703,71 65 
477703,71 1 
479232,34 68 
481657,93 74 
481657,93 65 
481657,93 3 
482684,55 66 
482701,58 69 
482795,01 75 
482903,58 65 
482903,58 1 
482943 66 
482951,82 69 
483934,57 75 
484249,68 66 
484252,9 69 
484685,85 75 
484762,64 66 
484770,03 69 
485670,68 68 
486721,85 74 
486721,85 65 
486721,85 3 
487191,63 66 
487204,96 69 
490474,09 75 
490595,14 66 
490607,61 69 
490741,09 68 
491259,05 74 
491259,05 4 
491412,74 66 
491424,87 69 
492434,14 75 
492663,46 66 
492675,85 69 
495278,1 68 
498391,1 74 
498391,1 4 
498596,07 66 
498613,74 69 
502399,97 68 
502797,39 74 
502797,39 65 
502797,39 3 
503003,23 66 
503017,03 69 
506803,36 68 
507441,83 74 
507441,83 4 
508154,77 66 
508170,95 69 
508266,79 75 
508459,56 66 
508471,33 69 
509477,4 75 
509721,69 66 
509738,89 69 
510694,17 75 
511136,23 66 
511140,13 69 
511457,06 68 
515698,15 74 
515698,15 4 
515810,81 66 
515826,84 69 
519713,24 68 
524925,54 74 
524925,54 65 
524925,54 3 
525451,25 66 
525467,48 69 
528937,08 68 
529203,79 65 
529203,79 1 
534245,54 74 
534245,54 4 
534391,53 66 
534407,66 69 
538260,96 68 
541803,7 65 
541803,7 1 
548903,69 65 
548903,69 1 
559113,26 74 
559113,26 4 
559479 66 
559493,46 69 
563129,77 68 
569703,67 65 
569703,67 1 
578303,63 65 
578303,63 1 
580103,6 65 
580103,6 1 
583003,78 65 
583003,78 1 
587403,7 65 
587403,7 1 
588003,66 65 
588003,66 1 
608849,17 74 
608849,17 4 
609027,6 66 
609031,3 69 
612867,58 68 
629457,74 74 
629457,74 65 
629457,74 3 
629579,65 66 
629597,06 69 
633466,69 68 
642074,74 74 
642074,74 4 
642535,4 66 
642540,29 69 
644603,76 65 
644603,76 1 
646093,06 68 
659579,49 74 
659579,49 4 
659965,81 66 
659970,23 69 
663589,69 68 
681303,63 65 
681303,63 1 
686790,02 74 
686790,02 65 
686790,02 3 
687775,65 66 
687791,31 69 
687962,74 75 
688142,45 66 
688158,32 69 
689993,03 75 
690464,44 203
690464,44 150
690464,44 179
691461,66 68 
691829,56 74 
691829,56 65 
691829,56 3 
691891,73 66 
691894,69 69 
694409,9 75 
694567,53 66 
694579,88 69 
695422,69 75 
695714,91 66 
695730,81 69 
695847,84 68 
696153,32 74 
696153,32 65 
696153,32 3 
696447,28 66 
696464,74 69 
697442,02 75 
697682,91 66 
697699,2 69 
698641,38 75 
698814,85 66 
698816,81 69 
700167,51 68 
700953,36 74 
700953,36 4 
701526,12 66 
701535,19 69 
702961,85 75 
703294,26 66 
703303,23 69 
703533,67 75 
703590,78 66 
703603,44 69 
703857,87 75 
704019,54 66 
704037,27 69 
704971,4 68 
708272,2 74 
708272,2 65 
708272,2 3 
709300,87 66 
709307,79 69 
709474,41 75 
709775,22 66 
709791,5 69 
710333,43 75 
710475,87 66 
710492,06 69 
711090,61 75 
711762,77 66 
