********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,02-Feb-21,Time,13:35
Core random seed,  1601729934
*******************
Selected Configuration,  1
Session Type,  3
Moyenne Des Sessions,  40


8,6 201
8,6 150
8,6 179
1001,68 68 
2693,24 74 
2693,24 65 
2693,24 3 
3518,79 66 
3536,03 69 
3666,62 75 
3770,37 66 
3786,04 69 
5581,97 75 
5734,76 66 
5737,62 69 
6002,5 75 
6139,2 66 
6154,52 69 
6297,25 75 
6769,53 64 
6772,56 68 
6873,67 74 
6873,67 65 
6873,67 3 
8173,64 66 
8189,76 69 
10891,55 68 
18158,43 74 
18158,43 65 
18158,43 3 
18423,62 66 
18430,47 69 
19092,12 75 
19162,33 66 
19164,89 69 
22023,87 75 
22570,01 64 
22583,7 68 
22686,51 74 
22686,51 65 
22686,51 3 
22997,9 66 
23017,35 69 
23458,84 75 
23606,11 66 
23617,83 69 
26524,44 75 
26783 64 
26787 68 
27532,41 74 
27532,41 65 
27532,41 3 
27674,14 66 
27687,56 69 
31540,63 68 
33945,32 74 
33945,32 65 
33945,32 3 
34722,87 66 
34726,22 69 
34789,92 75 
34906,11 66 
34909,9 69 
37962,34 68 
38747,11 74 
38747,11 65 
38747,11 3 
39514,49 66 
39529,92 69 
42766,38 68 
48304,63 74 
48304,63 65 
48304,63 3 
48965,87 66 
48970,71 69 
52228,27 75 
52686,73 64 
52690,45 68 
54286,85 74 
54286,85 65 
54286,85 3 
54701,86 66 
54708,18 69 
58294,46 68 
65588,87 74 
65588,87 65 
65588,87 3 
65966,58 66 
65983,33 69 
69603,22 68 
75123,27 74 
75123,27 65 
75123,27 3 
75297,78 66 
75307,3 69 
76197,62 75 
76362,25 66 
76374,64 69 
78896,14 75 
79354 64 
79360,41 68 
79457,18 74 
79457,18 65 
79457,18 3 
79687,01 66 
79693,82 69 
80181,95 75 
80450,89 66 
80461,07 69 
80544,77 75 
80842,03 66 
80844,81 69 
81056,52 75 
81210,84 66 
81228,32 69 
82310,13 75 
82573,98 66 
82579,45 69 
82740,05 75 
82950,7 66 
82962,98 69 
83321,73 75 
83665,73 64 
83680,25 68 
86380,47 74 
86380,47 65 
86380,47 3 
86470,26 66 
86482,37 69 
87384,29 75 
87470,68 66 
87483,14 69 
87901,87 75 
87934,91 66 
87950,26 69 
88164,44 75 
88218,81 66 
88233,65 69 
89768,26 75 
89858,25 66 
89868,28 69 
90385,49 68 
90797,23 74 
90797,23 65 
90797,23 3 
90909,82 66 
90919 69 
92353,81 75 
92434,64 66 
92437,09 69 
92565,82 75 
93005,52 66 
93020,72 69 
94805,96 68 
95613,26 74 
95613,26 65 
95613,26 3 
95747,19 66 
95756,22 69 
96273,29 75 
96425,73 66 
96440,23 69 
99625,74 68 
99895,98 74 
99895,98 65 
99895,98 3 
99966,44 66 
99975,87 69 
103432,41 75 
103530,66 66 
103545,31 69 
103912,49 68 
106452,56 74 
106452,56 65 
106452,56 3 
107305,56 66 
107314,81 69 
110467,45 68 
111098,1 74 
111098,1 65 
111098,1 3 
111517,8 66 
111534,66 69 
111535,27 75 
111569,53 66 
111602,68 69 
111655,98 75 
112133,77 66 
112151,88 69 
115104,16 68 
116264,69 74 
116264,69 4 
117162,34 66 
117172,39 69 
117575,53 75 
117731,08 66 
117739,68 69 
119077,46 75 
119473,77 66 
119490,93 69 
120274,74 68 
124542,49 74 
124542,49 65 
124542,49 3 
124965,6 66 
124978,23 69 
128547,9 68 
130633,71 74 
130633,71 65 
130633,71 3 
131089,81 66 
131099,64 69 
134652,54 68 
144641,91 74 
144641,91 65 
144641,91 3 
145021,61 66 
145026,9 69 
148437,13 75 
148977,09 64 
148980,36 68 
149099,19 74 
149099,19 65 
149099,19 3 
149326,11 66 
149330,75 69 
151689,06 75 
151877,74 66 
151882,3 69 
152417,32 75 
152649,93 66 
152666,05 69 
152960,24 75 
153130,47 64 
153133,44 68 
153718,6 74 
153718,6 65 
153718,6 3 
153846,69 66 
153850,32 69 
154184,71 75 
154461,74 66 
154467,47 69 
157736,83 68 
160240,69 74 
160240,69 65 
160240,69 3 
160833,46 66 
160839,02 69 
161620,91 75 
161801,65 66 
161806,55 69 
162101,61 75 
162177,52 66 
162190,42 69 
162514,02 75 
162609,95 66 
162623,99 69 
164039,32 75 
164169,55 66 
164174,87 69 
164258,23 68 
165064,39 74 
165064,39 65 
165064,39 3 
165161,62 66 
165175,5 69 
168813,18 75 
169173,96 64 
169178,67 68 
170037,27 74 
170037,27 65 
170037,27 3 
170145,51 66 
170162,74 69 
174049,28 68 
179980,57 74 
179980,57 65 
179980,57 3 
180122,88 66 
180136,9 69 
180239,3 75 
180565,12 66 
180570,75 69 
183446,34 75 
183586,12 66 
183589,61 69 
183990,15 68 
187277,63 74 
187277,63 65 
187277,63 3 
187916,89 66 
187926,16 69 
190422,95 75 
190813,6 66 
190828,42 69 
191295,65 68 
192434,7 74 
192434,7 4 
192543,36 66 
192546,39 69 
192937,94 75 
192958,21 66 
192980,19 69 
195436,19 75 
195633,54 66 
195648,75 69 
196449,59 68 
196625,24 74 
196625,24 65 
196625,24 3 
196798,28 66 
