********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,18-Feb-21,Time,14:26
Core random seed,  1425616664
*******************
Selected Configuration,  1
Session Type,  3
Moyenne Des Sessions,  40


8,75 201
8,75 150
8,75 179
1001,73 68 
2623,22 74 
2623,22 65 
2623,22 3 
3444,07 66 
3453,15 69 
6638,79 68 
6955,24 74 
6955,24 4 
8116,13 66 
8122,79 69 
10975,02 68 
16378,65 74 
16378,65 65 
16378,65 3 
17332,39 66 
17346,48 69 
19299,33 75 
19690,87 66 
19698,29 69 
19732,18 75 
20108,06 66 
20115,32 69 
20256,28 75 
20436,44 64 
20448,87 68 
20879,94 74 
20879,94 65 
20879,94 3 
21227,57 66 
21232,84 69 
21303,74 75 
21423,75 66 
21432,94 69 
24116,12 75 
24586,98 66 
24602,34 69 
24682,38 75 
24848,24 66 
24852,24 69 
24886,01 68 
25752,55 74 
25752,55 65 
25752,55 3 
26192,62 66 
26203,28 69 
26227,82 75 
26392,22 66 
26403,41 69 
28513,54 75 
28743,79 66 
28755,61 69 
29446,29 75 
29763,73 66 
29772,66 69 
29806,36 68 
31222,27 74 
31222,27 65 
31222,27 3 
32203,52 66 
32207,97 69 
35243,75 68 
36212,82 74 
36212,82 65 
36212,82 3 
36641,25 66 
36644,54 69 
40230,78 68 
41287,68 74 
41287,68 65 
41287,68 3 
42021,62 66 
42031,91 69 
44719,31 75 
45215,61 66 
45218,12 69 
45301,44 68 
45308,91 74 
45308,91 65 
45308,91 3 
45503,64 66 
45517,99 69 
49337,57 68 
50354,6 74 
50354,6 65 
50354,6 3 
51536,01 66 
51539,26 69 
54374,74 68 
55278,19 74 
55278,19 65 
55278,19 3 
56855,79 66 
56859,89 69 
59295,39 68 
59322,77 74 
59322,77 65 
59322,77 3 
60717,93 66 
60729,47 69 
63332,04 68 
66791,71 74 
66791,71 65 
66791,71 3 
68100,09 66 
68102,27 69 
70803,91 68 
71130,95 74 
71130,95 65 
71130,95 3 
72723,87 66 
72738,62 69 
73082,33 75 
73283,57 66 
73289,28 69 
73688,05 75 
73895,78 66 
73906,29 69 
74083,52 75 
74312,1 66 
74323,24 69 
74918,06 75 
75048,7 66 
75057,12 69 
75110,49 75 
75564,33 64 
75574,19 68 
76326,88 74 
76326,88 65 
76326,88 3 
76472,1 66 
76475,14 69 
80344,67 68 
81250,56 74 
81250,56 65 
81250,56 3 
82522,93 66 
82529,42 69 
85265,11 68 
87330,06 74 
87330,06 65 
87330,06 3 
88591,75 66 
88600,79 69 
88698,31 75 
88772,19 66 
88784,3 69 
91336,22 68 
93211,22 74 
93211,22 4 
93919,38 66 
93921,77 69 
94050,79 75 
94255,74 66 
94271,75 69 
94714,98 75 
95125,11 66 
95139,08 69 
95885,29 75 
95964,19 66 
95973,12 69 
96346,3 75 
96575,58 66 
96590,21 69 
97224,11 68 
97562,43 74 
97562,43 65 
97562,43 3 
97670,72 66 
97674,32 69 
101446,19 75 
101901,96 64 
101910,93 68 
101989,44 74 
101989,44 65 
101989,44 3 
102191,71 66 
102194,57 69 
102571 75 
103030,83 66 
103045,13 69 
105997,58 68 
106502,79 74 
106502,79 65 
106502,79 3 
107915,49 66 
107932,11 69 
110298,65 75 
110846,95 64 
110851,49 68 
110942 74 
110942 65 
110942 3 
111108,54 66 
111118,01 69 
114954,18 68 
122682,33 74 
122682,33 65 
122682,33 3 
123559,85 66 
123577,34 69 
125407 75 
125758,99 66 
125762,4 69 
125818,21 75 
126035,64 66 
126045,96 69 
126408,49 75 
126612,37 66 
126629,73 69 
126696,55 68 
127037,85 74 
127037,85 65 
127037,85 3 
127388,27 66 
127396,91 69 
127514,67 75 
127620,18 66 
127630,48 69 
128807,7 75 
128885,64 66 
128898,1 69 
131049,89 68 
131785,97 74 
131785,97 65 
131785,97 3 
132800,5 66 
132817,98 69 
132894,61 75 
133052,06 66 
133068,1 69 
133342,38 75 
133399,86 66 
133402,38 69 
135803,43 68 
136193,86 74 
136193,86 65 
136193,86 3 
137229,99 66 
137237,74 69 
137342,5 75 
137503,55 66 
137521,35 69 
140206,81 68 
140342,75 74 
140342,75 65 
140342,75 3 
140491,11 66 
140506,93 69 
142526,19 75 
142622,44 66 
142625,51 69 
143854,36 75 
144023,51 66 
144026,4 69 
144297,58 75 
144394,75 64 
144409,97 68 
144585,97 74 
144585,97 65 
144585,97 3 
144759,83 66 
144776,87 69 
145174,74 75 
145440,29 66 
145444,05 69 
145778,16 75 
145910,8 66 
145927,76 69 
148596,62 68 
153914,99 74 
153914,99 65 
153914,99 3 
154875,67 66 
154884,65 69 
157920,27 68 
162515,58 74 
162515,58 65 
162515,58 3 
163343,81 66 
163357,65 69 
166526,91 68 
173634,37 74 
173634,37 4 
174311,89 66 
174316,43 69 
175240,44 75 
175307,94 66 
175316,81 69 
175381,67 75 
175816,65 66 
175833,92 69 
175950,93 75 
176108,2 66 
176117,55 69 
176615,63 75 
177169,53 66 
177185,22 69 
177283,53 75 
177456,05 66 
177468,84 69 
177652,02 68 
183698,59 74 
183698,59 65 
183698,59 3 
184695,5 66 
184707,34 69 
187709,62 68 
189323,43 74 
189323,43 65 
189323,43 3 
190287,59 66 
190294,82 69 
193330,82 68 
196929,91 74 
196929,91 65 
196929,91 3 
197871,53 66 
197884 69 
200936,38 68 
204910,71 74 
204910,71 65 
204910,71 3 
205931,78 66 
205940,08 69 
208626,97 75 
208934,81 64 
208942,73 68 
209633,37 74 
209633,37 65 
209633,37 3 
209875,11 66 
209893,14 69 
212518,67 75 
212555,28 66 
212562,48 69 
212674,57 75 
212850,99 66 
212862,08 69 
212965,78 75 
213255,96 66 
213262,45 69 
213593,85 75 
213667,04 64 
213679,36 68 
214114,45 74 
214114,45 4 
214391,64 66 
