********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,03-Feb-21,Time,14:50
Core random seed,  1723472128
*******************
Selected Configuration,  1
Session Type,  4
Moyenne Des Sessions,  40


11,21 201
11,21 150
11,21 179
1001,87 68 
2389,91 74 
2389,91 4 
2645,04 66 
2652,61 69 
3043,84 75 
3107,99 66 
3119,07 69 
4607,64 75 
4664,48 66 
4670,39 69 
4715,32 75 
5122,93 66 
5137,3 69 
5224,42 75 
5468,76 66 
5471,31 69 
6405,17 68 
6827,01 74 
6827,01 65 
6827,01 3 
6948,38 66 
6955,28 69 
7667,97 75 
7856,56 66 
7872,64 69 
10034,82 75 
10476,12 66 
10491,33 69 
10547,54 75 
10801,2 66 
10808,22 69 
10841,89 68 
11651,45 74 
11651,45 65 
11651,45 3 
11909,18 66 
11925,7 69 
12047,61 75 
12178,55 66 
12192,6 69 
15299,02 75 
15684,38 64 
15695,32 68 
15791,03 74 
15791,03 4 
15929,26 66 
15945,46 69 
16467,07 75 
16800,21 66 
16812,9 69 
16907,92 75 
17424,32 66 
17430,38 69 
19798,87 68 
25336,55 74 
25336,55 65 
25336,55 3 
25664,98 66 
25669,7 69 
26136,51 75 
26275,92 66 
26286,69 69 
29091,18 75 
29532,14 64 
29539,22 68 
29594,57 74 
29594,57 65 
29594,57 3 
29836,56 66 
29839,57 69 
31443,15 75 
31876,17 66 
31890,94 69 
33609,04 68 
34051,35 74 
34051,35 65 
34051,35 3 
35064,97 66 
35076,66 69 
35183,5 75 
35301,03 66 
35310,22 69 
36359,39 75 
36440,55 66 
36444,44 69 
37075,21 75 
37232,58 66 
37245,03 69 
37712,56 75 
37940,34 66 
37945,87 69 
38062,44 68 
38166,16 74 
38166,16 65 
38166,16 3 
38424,84 66 
38429,57 69 
41183,15 75 
41479,42 66 
41481,88 69 
41543,15 75 
41607,48 66 
41615,07 69 
42182,58 68 
42380,87 74 
42380,87 65 
42380,87 3 
42960,49 66 
42966,05 69 
43500,47 75 
43624,77 66 
43633,56 69 
44112,14 75 
44635,15 66 
44650,99 69 
45055,25 75 
45226,42 66 
45234,47 69 
45916,2 75 
46104,57 66 
46118,44 69 
46402,03 68 
46599,51 74 
46599,51 65 
46599,51 3 
47008,35 66 
47019,11 69 
47898,62 75 
48010,59 66 
48020,01 69 
50605,35 68 
51267,8 74 
51267,8 65 
51267,8 3 
52376,09 66 
52389,88 69 
52495 75 
52701,12 66 
52706,85 69 
53223,07 75 
53348,4 66 
53357,28 69 
54155,95 75 
54345,1 66 
54358,07 69 
54674,8 75 
54875,88 66 
54891,83 69 
55007,61 75 
55209,02 66 
55225,41 69 
55275,49 68 
56048,57 74 
56048,57 65 
56048,57 3 
56225,08 66 
56242,78 69 
56720,24 75 
56875,02 66 
56877 69 
57181,13 75 
57268,7 66 
57276,95 69 
59811,07 75 
60004,08 66 
60012,36 69 
60062,59 68 
60279,46 74 
60279,46 65 
60279,46 3 
60511,39 66 
60529,45 69 
64299,3 68 
64995,13 74 
64995,13 4 
65177,75 66 
65183,25 69 
65494,73 75 
65571,23 66 
65583,74 69 
65744,25 75 
65912,66 66 
65916,93 69 
66911,67 75 
67104,36 66 
67118,03 69 
67391,89 75 
67652,43 66 
67668,22 69 
68555,13 75 
68772,51 66 
68785,73 69 
69002,55 68 
69016,95 74 
69016,95 65 
69016,95 3 
69180,41 66 
69186,09 69 
70228,61 75 
70256,81 66 
70270,23 69 
72807,45 75 
73044,57 64 
73055,67 68 
73543,46 74 
73543,46 65 
73543,46 3 
74024,33 66 
74039,7 69 
74127,09 75 
74359,57 66 
74373,33 69 
77559,23 68 
77622,58 74 
77622,58 65 
77622,58 3 
77983,92 66 
77992,74 69 
78081,49 75 
78301,48 66 
78309,62 69 
78900,46 75 
78933,11 66 
78944,69 69 
79716,06 75 
79876,43 66 
79894,2 69 
80251,64 75 
80568,17 66 
80578,04 69 
80703,16 75 
80872,8 66 
80878,34 69 
81456,48 75 
81606,97 66 
81612,49 69 
81645,63 68 
81709,35 74 
81709,35 4 
81896,53 66 
