********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,05-Mar-21,Time,12:09
Core random seed,  1060000047
*******************
Selected Configuration,  1
Session Type,  2
Moyenne Des Sessions,  40


9,34 201
9,34 150
9,34 179
1001,78 68 
62922,78 74 
62922,78 65 
62922,78 3 
63881,31 66 
63899,48 69 
63929,42 75 
64016,34 66 
64032,22 69 
66934,88 68 
68936,93 74 
68936,93 65 
68936,93 3 
69024,8 66 
69035,96 69 
72956,94 68 
72960,64 74 
72960,64 65 
72960,64 3 
72990,93 66 
73006,18 69 
76751,85 75 
76900,23 66 
76908,71 69 
76992,41 68 
77246,43 74 
77246,43 65 
77246,43 3 
77324,34 66 
77342,31 69 
77488,42 75 
77580,37 66 
77592,54 69 
81262,85 68 
81775,25 74 
81775,25 65 
81775,25 3 
82772,46 66 
82780,12 69 
85782,16 68 
89740,12 74 
89740,12 4 
90506,09 66 
90519,06 69 
90595,98 75 
90784,01 66 
90786,23 69 
92208,16 75 
92760,73 66 
92770,84 69 
93755,35 68 
95840,2 74 
95840,2 65 
95840,2 3 
96952,7 66 
96957,47 69 
99859,89 68 
99870,9 74 
99870,9 65 
99870,9 3 
100900,04 66 
100910,29 69 
101010,93 75 
101165,28 66 
101177,23 69 
102267,37 75 
102669,44 66 
102678,35 69 
103896,37 68 
104694,94 74 
104694,94 65 
104694,94 3 
104861,25 66 
104863,66 69 
108716,37 68 
109401,34 74 
109401,34 65 
109401,34 3 
111280,21 66 
111285,32 69 
113420,16 68 
114075,1 74 
114075,1 65 
114075,1 3 
115600,19 66 
115605,26 69 
118090,53 68 
121391,21 74 
121391,21 65 
121391,21 3 
122372,45 66 
122376,77 69 
125263,31 75 
125857,26 64 
125862,9 68 
126024,01 74 
126024,01 65 
126024,01 3 
126168,1 66 
126179,74 69 
127114,96 75 
127292,65 66 
127297,46 69 
127536,82 75 
127708,4 66 
127714,27 69 
127983,05 75 
128152,35 66 
128165,15 69 
129274,63 75 
129360,24 66 
129365,67 69 
129638,77 75 
129908,47 66 
129915,79 69 
130032,57 68 
130787,1 74 
130787,1 4 
130992,2 66 
130999,97 69 
131775,67 75 
132176,94 66 
132184,27 69 
133706,61 75 
136996,79 64 
137004,57 68 
137136,02 74 
137136,02 4 
137260,49 66 
137271,37 69 
137782,73 75 
137996,47 66 
138005,34 69 
138480,76 75 
138817,6 66 
138822,96 69 
138908,38 75 
139053,39 66 
139056,33 69 
139567,77 75 
139760,37 66 
139773,33 69 
141141,28 68 
142982,73 74 
142982,73 65 
142982,73 3 
143880,45 66 
143893,12 69 
144315,18 75 
144414,66 66 
144426,86 69 
146995,72 68 
148891,63 74 
148891,63 65 
148891,63 3 
150113,18 66 
150131,34 69 
152900,05 68 
153300,3 74 
153300,3 65 
153300,3 3 
154784,47 66 
154801,43 69 
157320,46 68 
158074,96 74 
158074,96 65 
158074,96 3 
159100,28 66 
159105,08 69 
161084,35 75 
161654,22 66 
161657,04 69 
161747,07 75 
161880,21 66 
161890,16 69 
162090,59 68 
162106,82 74 
162106,82 65 
162106,82 3 
162225,12 66 
162240,43 69 
