********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,08-Feb-21,Time,11:37
Core random seed,  747441591
*******************
Selected Configuration,  1
Session Type,  1
Moyenne Des Sessions,  40


18,08 201
18,08 150
18,08 179
1001,79 68 
11332,38 74 
11332,38 65 
11332,38 3 
12449,67 66 
12459,71 69 
15345,55 68 
24521,57 74 
24521,57 65 
24521,57 3 
24645,34 66 
24652,17 69 
28538,7 68 
28710,14 74 
28710,14 65 
28710,14 3 
29906,42 66 
29922,97 69 
29972,99 75 
30542,22 66 
30556,89 69 
32056,57 75 
32569,05 66 
32575,25 69 
32725,19 68 
32726,88 74 
32726,88 65 
32726,88 3 
32930,19 66 
32941,79 69 
34616,69 75 
34778,17 66 
34793,27 69 
35248,33 75 
35490,64 66 
35493,89 69 
35664,77 75 
35907,32 66 
35910,82 69 
36148,43 75 
36379,43 66 
36394,56 69 
36606,86 75 
37034,9 64 
37045,16 68 
37125,74 74 
37125,74 65 
37125,74 3 
37601,96 66 
37612,1 69 
37820,61 75 
38105,01 66 
38112,53 69 
38245,37 75 
38311,35 66 
38329,3 69 
41131,63 68 
71256,69 74 
71256,69 65 
71256,69 3 
72226,32 66 
72238,47 69 
72268,95 75 
72292,34 66 
72306,1 69 
72347,12 75 
72485,74 66 
72488,86 69 
74009,65 75 
74420,93 66 
74424,05 69 
74500,32 75 
74778,62 66 
74790,55 69 
75118,35 75 
75370,47 64 
75374,56 68 
76192,95 74 
76192,95 65 
76192,95 3 
76368,89 66 
76375,34 69 
76693,8 75 
76978,15 66 
76992,18 69 
80178,2 75 
80617,12 64 
80628,38 68 
90128,68 74 
90128,68 65 
90128,68 3 
90159,52 66 
90168,88 69 
90184,75 75 
90325,99 66 
90335,74 69 
94138,77 68 
97704,24 74 
97704,24 65 
97704,24 3 
98542,23 66 
98558,59 69 
98683,98 75 
98922,13 66 
98925,74 69 
99050,52 75 
99510,15 66 
99526,21 69 
99592,49 75 
99978,49 66 
99993,05 69 
101711,34 68 
105436,25 74 
105436,25 65 
105436,25 3 
105757,65 66 
105764,07 69 
109450,37 68 
116160,22 74 
116160,22 65 
116160,22 3 
116843,09 66 
116855,99 69 
120008,78 75 
120682,46 64 
120692,23 68 
121613,07 74 
121613,07 65 
121613,07 3 
122830,22 66 
122843,84 69 
125629,6 68 
138268,7 74 
138268,7 65 
138268,7 3 
139129,99 66 
139139,6 69 
142275,47 68 
150164,23 74 
150164,23 65 
150164,23 3 
150741,99 66 
150748,44 69 
150771,26 75 
150841,77 66 
150848,74 69 
150994,37 75 
151070,93 66 
151082,07 69 
151117,97 75 
151185,44 66 
151198,82 69 
154184,81 68 
157626,08 74 
157626,08 65 
157626,08 3 
157730,3 66 
157737,18 69 
158440,33 75 
158554,14 66 
158571,1 69 
161640,25 68 
174276,84 74 
174276,84 65 
174276,84 3 
175233,17 66 
175250,47 69 
178286,25 68 
179048,38 74 
179048,38 65 
179048,38 3 
179334,15 66 
179337 69 
183056,63 68 
198548,36 74 
198548,36 65 
198548,36 3 
198970,37 66 
198985,27 69 
202554,81 68 
205152,22 74 
205152,22 65 
205152,22 3 
205246,89 66 
205256,87 69 
208500,3 75 
209093,16 66 
209109,71 69 
209160,18 68 
213282,16 74 
213282,16 65 
213282,16 3 
213314,85 66 
213329,53 69 
213338,81 75 
213379,52 66 
213413,03 69 
217299,59 68 
301268,98 74 
301268,98 65 
301268,98 3 
301750,36 66 
301763,72 69 
305283,19 68 
306701,14 74 
306701,14 65 
306701,14 3 
307685,3 66 
307701,58 69 
310720,7 68 
311132,41 74 
311132,41 65 
311132,41 3 
312186,15 66 
312188,49 69 
315140,69 68 
321981,24 74 
321981,24 65 
321981,24 3 
322730,39 66 
322746,4 69 
325999,4 68 
351600,8 74 
351600,8 4 
352182,92 66 
352185,87 69 
352210,56 75 
352625,96 66 
352636 69 
355621,76 68 
356632,63 74 
356632,63 4 
357126,6 66 
357139,46 69 
357237,27 75 
357467,71 66 
357473,31 69 
357584,12 75 
357770,56 66 
357773,56 69 
360642,1 68 
363477,76 74 
363477,76 65 
363477,76 3 
364518,02 66 
364528,33 69 
364683,04 75 
364858,6 66 
364862 69 
367497,48 68 
376425,22 74 
376425,22 65 
376425,22 3 
377058,52 66 
377071,22 69 
380440,63 68 
380888,18 74 
380888,18 65 
380888,18 3 
381706,43 66 
381708,07 69 
384894,09 68 
388799,08 202
388799,08 159
388799,08 170
389798,23 68 
390069,99 74 
390069,99 4 
390209,62 66 
390214,99 69 
390888,32 75 
390966,7 66 
390981,89 69 
394084,56 68 
395328,37 74 
395328,37 4 
395825,67 66 
395835,55 69 
396081,21 75 
396307,01 66 
396319,3 69 
396490,82 75 
396626,66 66 
396636,25 69 
399338,42 68 
400145,69 74 
400145,69 4 
400743,4 66 
400756 69 
400804,53 75 
401185,96 66 
401189,83 69 
404158,72 68 
409332,35 74 
409332,35 4 
409490,21 66 
409496,16 69 
413349,27 68 
415365,05 74 
415365,05 4 
415777,66 66 
415784,13 69 
416897,67 73 
419370,32 68 
423398,36 65 
423398,36 1 
424828,52 74 
424828,52 4 
424950,23 66 
424958,05 69 
428844,28 68 
434197,98 65 
434197,98 1 
443192,82 74 
443192,82 4 
443898,38 66 
443905,65 69 
445997,7 65 
