********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,01-Feb-21,Time,15:47
Core random seed,  2009907010
*******************
Selected Configuration,  1
Session Type,  2
Moyenne Des Sessions,  40


8,38 201
8,38 150
8,38 179
1001,79 68 
6388,81 74 
6388,81 65 
6388,81 3 
7435,27 66 
7439,49 69 
7491,46 75 
7707,02 66 
7722,59 69 
9273,49 75 
9358,63 66 
9373,83 69 
9436,68 75 
9627 66 
9640,88 69 
9800,91 75 
10011,09 66 
10024,36 69 
10408,27 68 
10411,14 74 
10411,14 65 
10411,14 3 
10470,79 66 
10491,43 69 
10864,76 75 
11411,06 66 
11425,43 69 
12132,47 75 
12222,48 66 
12226,06 69 
12922,38 75 
13106,83 66 
13110,18 69 
13821,19 75 
14042,99 66 
14044 69 
14314,93 75 
14675,21 64 
14678,43 68 
14758,52 74 
14758,52 65 
14758,52 3 
14899,07 66 
14911,4 69 
15037,75 75 
15459,19 66 
15462,33 69 
15705,85 75 
15787,6 66 
15795,42 69 
16561,18 75 
17299,29 66 
17313,27 69 
18261,96 75 
18785,42 64 
18797,74 68 
18877,18 74 
18877,18 65 
18877,18 3 
19130,88 66 
19147,97 69 
19419,8 75 
19832 66 
19848,51 69 
20003,08 75 
20226,95 66 
20232,28 69 
22493,14 75 
22919,67 64 
22934,21 68 
22992,93 74 
22992,93 65 
22992,93 3 
23172,28 66 
23184,39 69 
24104,63 75 
24182,22 66 
24185,32 69 
24230,89 75 
24370,92 66 
24385,33 69 
27004,11 68 
27225,73 74 
27225,73 65 
27225,73 3 
27320,89 66 
27337,78 69 
27381,05 75 
27557,51 66 
27571,37 69 
27640,86 75 
27742,48 66 
27754,83 69 
31240,61 68 
35033,16 74 
35033,16 65 
35033,16 3 
36161,66 66 
36177,58 69 
38108,6 75 
38332,43 66 
38345,95 69 
38813,65 75 
39271,83 64 
39280,02 68 
39396,22 74 
39396,22 65 
39396,22 3 
39690,83 66 
39697,01 69 
40023,1 75 
40115,16 66 
40130,67 69 
40190,99 75 
40239,75 66 
40247,68 69 
43416,65 68 
44713,9 74 
44713,9 65 
44713,9 3 
44886,09 66 
44900,91 69 
45508,76 75 
45617,39 66 
45634,87 69 
47157,87 75 
47405,91 66 
47419,63 69 
47554,23 75 
47731,25 66 
47736,7 69 
48720,66 68 
50464,99 74 
50464,99 65 
50464,99 3 
50714,94 66 
50722,06 69 
51169,52 75 
51410,97 66 
51422,62 69 
54475,1 68 
56155,18 74 
56155,18 65 
56155,18 3 
56234,95 66 
56242,93 69 
56418,73 75 
56459,4 66 
56476,45 69 
60162,82 68 
60233,53 74 
60233,53 65 
60233,53 3 
60358,12 66 
60363,12 69 
60408,95 75 
60493,88 66 
60496,56 69 
60778,6 75 
60883,14 66 
60896,51 69 
62164,71 75 
62394,95 66 
62397,8 69 
62539,08 75 
62894,22 66 
62898,06 69 
63173,67 75 
63271,49 66 
63281,66 69 
63572,84 75 
63830,76 66 
63832,73 69 
64249,67 68 
64612,57 74 
64612,57 65 
64612,57 3 
64802,97 66 
64816,11 69 
68308,89 75 
68750,39 64 
68752,81 68 
72130,7 74 
72130,7 65 
72130,7 3 
72323,81 66 
72338,58 69 
73008,72 75 
73110,44 66 
73122,53 69 
75836,93 75 
76611,32 64 
76625,25 68 
76728,31 74 
76728,31 65 
76728,31 3 
76923,68 66 
76925,73 69 
77317,15 75 
77440,09 66 
77442,94 69 
77525,36 75 
77782,83 66 
77792,73 69 
78329,84 75 
78478,76 66 
78493,37 69 
80705,81 75 
80910,76 64 
80928,46 68 
81638,11 74 
81638,11 65 
81638,11 3 
81891,82 66 
81896,03 69 
84140,72 75 
84673,84 66 
84681,32 69 
84860,98 75 
84958,88 66 
84964,92 69 
85648,8 68 
85678,7 74 
85678,7 4 
86527,87 66 
86533,08 69 
86633,42 75 
87384,39 66 
87400,08 69 
87849,67 75 
88446,84 66 
88450,9 69 
89685,18 68 
91517,47 74 
91517,47 65 
91517,47 3 
92198,75 66 
92204,37 69 
95523,06 68 
102883,12 74 
102883,12 65 
102883,12 3 
103398,71 66 
103412,22 69 
103952,38 75 
104098,78 66 
104112,89 69 
106068,74 75 
106445,47 66 
106448,38 69 
106513,03 75 
106827,3 66 
106831,81 69 
106899,31 68 
107184,34 74 
107184,34 65 
107184,34 3 
107519,21 66 
107532,09 69 
107728,7 75 
107793,85 66 
107799,47 69 
109110,84 75 
109165,76 66 
109183,42 69 
111201,85 68 
112801,06 74 
112801,06 65 
112801,06 3 
113546,99 66 
113553,39 69 
116264,48 75 
116870,19 64 
116872,51 68 
118137,6 74 
118137,6 65 
118137,6 3 
