********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,03-Mar-21,Time,12:58
Core random seed,  146157486
*******************
Selected Configuration,  1
Session Type,  6
Moyenne Des Sessions,  40


8,44 201
8,44 150
8,44 179
1001,76 68 
1591,12 74 
1591,12 65 
1591,12 3 
2318,89 66 
2335,28 69 
4207,46 75 
4950,68 66 
4953,81 69 
5604,66 68 
11748,99 74 
11748,99 4 
12278,45 66 
12292,69 69 
14024,87 75 
14510,91 66 
14527,8 69 
14589,12 75 
14806,68 66 
14811,68 69 
15198,49 75 
15619,33 66 
15628,6 69 
15762,55 68 
15764,26 74 
15764,26 65 
15764,26 3 
15930,69 66 
15945,45 69 
16312,74 75 
16393,51 66 
16396,16 69 
19798,77 68 
21817,47 74 
21817,47 65 
21817,47 3 
22674,37 66 
22683,96 69 
25836,66 68 
26361,99 74 
26361,99 65 
26361,99 3 
27536,02 66 
27537,8 69 
29929,21 75 
30504,61 64 
30507,23 68 
30595,58 74 
30595,58 4 
30794,4 66 
30807,03 69 
31158,46 75 
31970,32 66 
31974,79 69 
32638,46 75 
33040,88 66 
33058,85 69 
34609,78 68 
35016,52 74 
35016,52 65 
35016,52 3 
36106,46 66 
36111,06 69 
36250,47 75 
36315,49 66 
36327,73 69 
36425,58 75 
36522,69 66 
36527,91 69 
39030,14 68 
41061,04 74 
41061,04 65 
41061,04 3 
42246,6 66 
42249 69 
45067,95 68 
47873,02 74 
47873,02 65 
47873,02 3 
48919,03 66 
48920,77 69 
51889,94 68 
56395,32 74 
56395,32 65 
56395,32 3 
56678,56 66 
56693,31 69 
57258,4 75 
57322,69 66 
57327,24 69 
60413,18 68 
60785,02 74 
60785,02 65 
60785,02 3 
62034,63 66 
62047,28 69 
62514,16 75 
62651,59 66 
62664,49 69 
64799,7 68 
65765,13 74 
65765,13 65 
65765,13 3 
66803,94 66 
66817,58 69 
66905,69 75 
66998,47 66 
67001,21 69 
67688,07 75 
67778,87 66 
67785,1 69 
68865,07 75 
69051,22 66 
69053,42 69 
69593,29 75 
69798,15 64 
69803,33 68 
69958,7 74 
69958,7 65 
69958,7 3 
70166,67 66 
70170,22 69 
73973,37 68 
74033,22 74 
74033,22 65 
74033,22 3 
74482,47 66 
74490,17 69 
74918,77 75 
74996,33 66 
75007,3 69 
75105,58 75 
