********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,28-Jan-21,Time,14:12
Core random seed,  756749378
*******************
Selected Configuration,  1
Session Type,  6
Moyenne Des Sessions,  40


8,17 201
8,17 150
8,17 179
1002,33 68 
21037 74 
21037 4 
21172,74 66 
21183,04 69 
21507,1 75 
21736,65 66 
21749,98 69 
25052,58 68 
39891,04 74 
39891,04 65 
39891,04 3 
39963,93 66 
39980,57 69 
40466,59 75 
40555,45 66 
40564,38 69 
43901,06 68 
50517,24 74 
50517,24 65 
50517,24 3 
50780,89 66 
50788,77 69 
53053,68 75 
53193,89 66 
53207,4 69 
54525,15 68 
66382,22 74 
66382,22 65 
66382,22 3 
66664,75 66 
66668,13 69 
70403,85 68 
77877,48 74 
77877,48 65 
77877,48 3 
78237,65 66 
78243,35 69 
81896,08 68 
143524,95 74 
143524,95 65 
143524,95 3 
143699,32 66 
143709,88 69 
147546,43 68 
169125,04 74 
169125,04 65 
169125,04 3 
169218,27 66 
169229,39 69 
173132,86 68 
195152,7 74 
195152,7 65 
195152,7 3 
195270,49 66 
195282,65 69 
199169,17 68 
219837,29 74 
219837,29 65 
219837,29 3 
219982 66 
219985 69 
223854,58 68 
232513,99 74 
232513,99 65 
232513,99 3 
232613,68 66 
232627,88 69 
236531,22 68 
237675,9 74 
237675,9 65 
237675,9 3 
237890,14 66 
237898,6 69 
238169,45 75 
238262,06 66 
238265,63 69 
241685,51 68 
256180,77 74 
256180,77 4 
256321,21 66 
256329,4 69 
260199,34 68 
263844,16 74 
263844,16 65 
263844,16 3 
263910,19 66 
263918,52 69 
267854,93 68 
343889,81 74 
343889,81 65 
343889,81 3 
343950,87 66 
343963,08 69 
347899,52 68 
361676,76 74 
361676,76 65 
361676,76 3 
361846,21 66 
361860,09 69 
362286,4 75 
362364,96 66 
362377,21 69 
362941,55 75 
363218,17 66 
363227,86 69 
363358,55 75 
363518,71 66 
363528,11 69 
364390,3 75 
365191,15 66 
365196,28 69 
365696,61 68 
365915,98 202
365915,98 155
365915,98 175
366914,49 68 
367152,14 74 
367152,14 4 
367270,26 66 
367280,97 69 
367692,79 75 
367942,24 66 
367948,2 69 
368130,28 75 
368442,35 66 
368448,57 69 
368704,76 75 
368783,01 66 
368798,78 69 
369413,84 65 
369413,84 1 
371167,53 68 
372660,86 74 
372660,86 4 
372726,29 66 
372735,17 69 
373616,06 75 
373762,72 66 
373769,54 69 
376671,5 68 
407314,03 65 
407314,03 1 
410478,55 74 
410478,55 65 
410478,55 3 
410534,72 66 
410547,35 69 
411813,82 65 
411813,82 1 
414483,93 68 
417714,05 65 
417714,05 1 
418813,89 65 
418813,89 1 
427330,25 74 
427330,25 4 
427522,18 66 
427527,15 69 
431346,79 68 
432089,63 74 
432089,63 65 
432089,63 3 
432261,52 66 
432264,29 69 
433352,91 75 
433598,34 66 
433615,05 69 
434460,89 75 
434691,99 66 
434699,22 69 
435631,07 75 
435707,05 66 
