********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,11-Feb-21,Time,14:21
Core random seed,  668384986
*******************
Selected Configuration,  1
Session Type,  4
Moyenne Des Sessions,  40


9,88 201
9,88 150
9,88 179
1001,77 68 
14292,48 74 
14292,48 65 
14292,48 3 
15046,17 66 
15061,66 69 
17405,38 75 
18350,16 64 
18364,05 68 
18424,74 74 
18424,74 65 
18424,74 3 
18630,08 66 
18647,66 69 
19082,2 75 
19302,7 66 
19314,76 69 
22434,01 68 
22725,24 74 
22725,24 65 
22725,24 3 
23856,66 66 
23868,2 69 
23949,98 75 
24110,38 66 
24118,54 69 
26737,5 68 
28248,17 74 
28248,17 65 
28248,17 3 
29427,17 66 
29439,33 69 
29593,81 75 
29730,67 66 
29739,84 69 
32258,03 68 
50574,05 74 
50574,05 65 
50574,05 3 
51158,6 66 
51172,45 69 
51612,38 75 
51833,86 66 
51839,68 69 
53211,94 75 
54153,05 66 
54158,01 69 
54263,86 75 
54462,56 66 
54474,88 69 
54591,92 68 
54829,97 74 
54829,97 65 
54829,97 3 
55197,1 66 
55208,69 69 
55258,92 75 
55497,33 66 
55509,01 69 
57457,57 75 
57802,43 66 
57810,79 69 
57916 75 
58097,89 66 
58110,96 69 
58486,24 75 
58781,9 66 
58794,8 69 
58845,23 68 
59376,83 74 
59376,83 65 
59376,83 3 
59693,94 66 
59695,99 69 
60104,42 75 
60301,7 66 
60312,65 69 
63264,27 75 
63306,49 66 
63315,5 69 
63381,79 68 
63705,7 74 
63705,7 65 
63705,7 3 
63909,86 66 
63915,38 69 
64398,33 75 
64635,37 66 
64649,33 69 
67016,57 75 
67445,81 66 
67451,48 69 
67533,2 75 
67738,33 64 
67751,66 68 
68174,06 74 
68174,06 65 
68174,06 3 
68517,52 66 
68518,9 69 
68585,4 75 
68763,47 66 
68769,11 69 
70768,22 75 
71062,07 66 
71070,82 69 
71337,8 75 
72333,45 64 
72338,82 68 
72368,55 74 
72368,55 65 
72368,55 3 
73009,27 66 
73022,43 69 
73141,55 75 
73211,1 66 
73222,67 69 
76340,54 75 
76535,12 64 
76541,93 68 
77605,19 74 
77605,19 65 
77605,19 3 
77673,88 66 
77675,99 69 
77809,47 75 
77910,31 66 
77926,03 69 
81612,38 68 
81689,74 74 
81689,74 4 
82106,02 66 
82112,53 69 
82204,69 75 
82417,82 66 
82429,46 69 
82800,49 75 
83111,35 66 
83113,58 69 
83246,08 75 
83703,64 66 
83713,78 69 
84720,71 75 
85613,44 66 
85615,42 69 
85698,98 68 
85901,42 74 
85901,42 65 
85901,42 3 
86009,03 66 
86015,5 69 
87384,39 75 
87478,41 66 
87483,52 69 
88961,16 75 
89198,01 66 
89201,67 69 
89489,97 75 
89770,21 66 
89785,25 69 
89860,15 75 
90117,9 64 
90135,36 68 
90489,86 74 
90489,86 65 
90489,86 3 
90847,6 66 
90852,73 69 
90940,68 75 
91030,25 66 
91036,25 69 
94312,24 75 
94845,98 64 
94855,73 68 
94920,68 74 
94920,68 65 
94920,68 3 
95154,71 66 
95172,73 69 
98942,29 68 
99792,41 74 
99792,41 4 
100306,79 66 
100310,05 69 
100393,86 75 
102183,07 66 
102194,52 69 
102416,35 75 
102629,76 66 
102644,86 69 
103812,54 68 
105560,34 74 
105560,34 65 
105560,34 3 
106793,9 66 
106798,07 69 
109567,24 68 
109942,56 74 
109942,56 65 
109942,56 3 
111029,99 66 
111034,78 69 
113396,23 75 
113741,67 66 
113753,33 69 
113794,39 75 
114109,69 64 
114120,26 68 
114493,78 74 
114493,78 65 
114493,78 3 
114849,77 66 
114854,59 69 
114893,61 75 
114955,32 66 
114971 69 
118507,02 68 
127257,28 74 
127257,28 65 
127257,28 3 
128430,2 66 
128447,79 69 
129955,82 75 
130370,09 66 
130382,64 69 
130458,14 75 
130686,78 66 
130699,55 69 
131266,89 68 
131305,2 74 
131305,2 65 
131305,2 3 
131381,52 66 
131383,47 69 
131496,92 75 
131777,93 66 
131783,85 69 
132884,28 75 
133029,42 66 
133034,78 69 
135319,91 68 
135878,15 74 
135878,15 65 
135878,15 3 
137318,46 66 
137321,58 69 
137534,01 75 
137578,52 66 
137588,59 69 
137712,82 75 
138162,23 66 
138171,96 69 
138875,63 75 
139061,8 66 
139072,86 69 
139492,11 75 
139759,97 66 
139773,4 69 
139844,75 75 
140016,98 64 
140023,4 68 
140088,26 74 
140088,26 65 
140088,26 3 
140192,87 66 
140207,08 69 
140595,6 75 
140741,84 66 
140757,27 69 
141316,55 75 
141383,32 66 
141391,27 69 
144109,94 68 
144354,28 74 
144354,28 65 
144354,28 3 
145396,8 66 
145410,7 69 
145536,89 75 
145661,7 66 
145677,66 69 
147667,81 75 
147890,13 66 
147895,98 69 
148209,86 75 
148582,23 64 
148596,52 68 
148676,65 74 
148676,65 4 
148804,24 66 
148813,36 69 
149849,5 75 
150015,91 66 
150030,93 69 
150132,96 75 
150529,01 66 
150531,61 69 
152683,15 68 
153036,4 74 
153036,4 65 
153036,4 3 
154169,69 66 
154184,06 69 
156524,38 75 
157065,8 64 
157069,81 68 
158948,33 74 
158948,33 65 
158948,33 3 
159989,43 66 
160005,34 69 
160779,98 75 
161017,75 66 
161022,9 69 
161296,96 75 
161473,82 66 
161489,95 69 
162957,49 68 
163804,31 74 
163804,31 65 
163804,31 3 
164617,95 66 
164625,37 69 
167811,35 68 
167821,1 74 
167821,1 65 
167821,1 3 
168501,57 66 
168511,64 69 
171324,57 75 
171581,82 66 
171597,39 69 
171848,18 68 
172369,3 74 
172369,3 65 
172369,3 3 
172491,1 66 
172497,98 69 
176384,63 68 
177732,2 74 
177732,2 65 
177732,2 3 
178937,73 66 
178952,9 69 
181621,49 75 
182187,04 64 
182188,87 68 
182333,25 74 
182333,25 65 
182333,25 3 
182537,87 66 
182555,94 69 
183263,58 75 
183366,61 66 
183373,07 69 
185866,01 75 
186085,84 66 
186091,81 69 
186341,92 68 
186513,61 74 
186513,61 65 
186513,61 3 
186681,83 66 
186692,15 69 
186868,53 75 
187063,04 66 
187075,82 69 
187988,85 75 
188137,91 66 
188143,48 69 
189436,2 75 
189500,84 66 
189510,98 69 
189548,02 75 
189677,8 66 
189694,49 69 
189833,27 75 
190033,94 66 
190044,77 69 
190528,48 68 
190836,11 74 
190836,11 65 
190836,11 3 
191038,35 66 
191045,57 69 
191453,81 75 
191769,66 66 
191779,38 69 
194848,54 68 
195987,91 74 
195987,91 65 
195987,91 3 
197009,59 66 
197016,65 69 
200002,59 68 
200928,04 74 
200928,04 65 
200928,04 3 
201749,65 66 
201753,62 69 
204939,53 68 
208453,11 74 
208453,11 65 
208453,11 3 
208769,59 66 
208775,6 69 
212276,87 75 
212890,17 64 
212895,59 68 
213000,07 74 
213000,07 65 
213000,07 3 
213198,18 66 
213212,37 69 
217015,43 68 
217817,73 74 
217817,73 4 
218253,66 66 
218266,2 69 
218355,79 75 
218538 66 
218549,76 69 
219887,47 75 
220065,57 66 
220067,81 69 
221005,2 75 
221078,77 66 
221085,03 69 
221539,78 75 
221725,71 66 
221735,52 69 
