********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,21-Jan-21,Time,14:59
Core random seed,  55453060
*******************
Selected Configuration,  1
Session Type,  1
Moyenne Des Sessions,  40


9,1 201
9,1 150
9,1 179
1001,93 68 
16871,56 74 
16871,56 65 
16871,56 3 
17730,25 66 
17747,14 69 
17893,02 75 
18536,52 66 
18547,57 69 
20202,25 75 
20522,76 66 
20532,7 69 
20678,34 75 
20869,69 66 
20882,83 69 
20900,12 68 
21003,69 74 
21003,69 65 
21003,69 3 
21386,06 66 
21399,91 69 
21534,56 75 
22054,71 66 
22067,2 69 
22255,46 75 
22327,52 66 
22333,89 69 
23373,08 75 
23583,97 66 
23601,8 69 
24086,51 75 
24282,23 66 
24285,38 69 
24303,11 75 
24379,24 66 
24385,69 69 
24476,53 75 
24745,95 66 
24752,34 69 
25019,46 68 
25616,44 74 
25616,44 65 
25616,44 3 
25975,59 66 
25986,52 69 
26169,94 75 
26899,08 66 
26904,37 69 
27055,88 75 
27310,05 66 
27320,99 69 
28600,13 75 
29292,62 66 
29305,77 69 
29310,49 75 
29478,96 66 
29489,29 69 
29622,96 68 
29912,32 74 
29912,32 65 
29912,32 3 
30246,04 66 
30256,45 69 
31366,13 75 
31475,78 66 
31490,82 69 
32265,52 75 
32463,97 66 
32474,87 69 
33228,75 75 
33538,54 66 
33542,36 69 
33926,24 68 
33969,19 74 
33969,19 65 
33969,19 3 
34197,61 66 
34209,48 69 
34472,59 75 
34889,34 66 
34893,61 69 
37113,26 75 
37301,19 66 
37311,94 69 
37427,25 75 
37526,78 66 
37528,96 69 
37677,25 75 
38026,17 64 
38029,51 68 
38185,44 74 
38185,44 65 
38185,44 3 
38380 66 
38396,08 69 
39975,66 75 
40063,49 66 
40080,67 69 
41226,13 75 
41402,92 66 
41415,13 69 
42249,13 68 
42409,3 74 
42409,3 65 
42409,3 3 
42810,13 66 
42816,21 69 
43063,08 75 
43408,44 66 
43416,84 69 
43520,28 75 
43622,01 66 
43634,67 69 
44531,01 75 
44590,29 66 
44601,05 69 
45571,57 75 
45660,07 66 
45668,32 69 
46418,87 68 
47877 74 
47877 65 
47877 3 
48234,04 66 
48236,91 69 
48674,39 75 
48793,52 66 
48804,07 69 
49450,42 75 
49642,13 66 
49654,8 69 
51889,94 68 
68576,45 74 
68576,45 65 
68576,45 3 
68730,5 66 
68736,02 69 
69689,84 75 
69822,6 66 
69836,69 69 
71934,17 75 
72064,35 66 
72071,82 69 
72242,95 75 
72738,3 64 
72755,79 68 
73145,47 74 
73145,47 65 
73145,47 3 
73409,71 66 
73422,76 69 
74355,4 75 
74458,65 66 
74473,58 69 
75814,19 75 
76068,67 66 
76074,81 69 
76186,71 75 
76272 66 
76275,03 69 
76402,34 75 
76455,62 66 
76458,54 69 
76728,38 75 
76886,18 66 
76892,07 69 
77159 68 
77845,26 74 
77845,26 65 
77845,26 3 
78065,85 66 
78076,25 69 
78374,66 75 
78578,41 66 
78593,36 69 
79437,1 75 
79518,54 66 
79527,42 69 
79892,64 75 
80018,67 66 
80027,83 69 
80845,73 75 
80980,75 66 
80995,21 69 
81862,72 68 
81942,54 74 
81942,54 65 
81942,54 3 
82613,59 66 
82629,74 69 
83842,44 75 
84183,92 66 
84197,65 69 
84658,36 75 
85168,38 66 
85181,85 69 
85949,54 68 
86534,1 74 
86534,1 65 
86534,1 3 
86809,96 66 
86816,52 69 
86856,3 75 
86977,93 66 
86983,21 69 
87726,06 75 
87773,79 66 
87784,19 69 
88808,5 75 
89066,9 66 
89084,78 69 
89184,25 75 
89398,44 66 
89401,6 69 
90222,22 75 
90625,7 64 
90635,89 68 
90802,53 74 
90802,53 65 
90802,53 3 
91309,73 66 
91319,75 69 
91412,82 75 
91649,51 66 
91653,51 69 
91744,19 75 
91798,9 66 
91803,84 69 
92009,47 75 
92131,77 66 
92137,11 69 
94822,43 68 
95023 74 
95023 65 
95023 3 
95394,1 66 
95406,63 69 
95938,98 75 
96082,19 66 
96090,05 69 
96204,69 75 
96357,88 66 
96373,61 69 
96884,45 75 
96937,5 66 
96940,79 69 
97528,49 75 
97770,05 66 
97775,02 69 
98165,09 75 
98230,65 66 
98241,69 69 
98661,76 75 
98910,02 66 
98925,55 69 
99042,51 68 
99138,67 74 
99138,67 65 
99138,67 3 
99234,58 66 
99242,42 69 
99745,45 75 
99954,84 66 
99959,86 69 
100500,18 75 
100666,73 66 
100676,88 69 
102297,2 75 
102487,97 66 
102494,94 69 
102657,23 75 
102847,58 66 
102861,91 69 
103145,52 68 
