********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,29-Jan-21,Time,13:34
Core random seed,  1378712729
*******************
Selected Configuration,  1
Session Type,  1
Moyenne Des Sessions,  40


7,88 201
7,88 150
7,88 179
1001,89 68 
38301,03 74 
38301,03 65 
38301,03 3 
38747,7 66 
38763 69 
39354,75 75 
39531,73 66 
39546,97 69 
41238,63 75 
41933,93 66 
41949,04 69 
42018,77 75 
42248,56 66 
42266,04 69 
42315,78 68 
42819,41 74 
42819,41 65 
42819,41 3 
43050,19 66 
43066,1 69 
43173,86 75 
43405,21 66 
43416,41 69 
46562,24 75 
47292,04 64 
47302,73 68 
47389,88 74 
47389,88 65 
47389,88 3 
47735,59 66 
47753,05 69 
48598,74 75 
49012,96 66 
49020,75 69 
49131,17 75 
49232,41 66 
49237,58 69 
50962,28 75 
51424,27 64 
51439,21 68 
51483,13 74 
51483,13 65 
51483,13 3 
51646,92 66 
51656,12 69 
52166,65 75 
52526,76 66 
52540,05 69 
52706,27 75 
52836,28 66 
52840,53 69 
54555,17 75 
54766,61 66 
54775,09 69 
55126,31 75 
55494,5 64 
55509,02 68 
55701,81 74 
55701,81 65 
55701,81 3 
55770,93 66 
55776,01 69 
56246,19 75 
56396,62 66 
56409,67 69 
59712,35 68 
60965,74 74 
60965,74 65 
60965,74 3 
61711,46 66 
61714,19 69 
63934,01 75 
64453,36 66 
64465,96 69 
64982,89 68 
65050,08 74 
65050,08 65 
65050,08 3 
65827,98 66 
65834,23 69 
66502,78 75 
66592,62 66 
66600,78 69 
66691,49 75 
66835,77 66 
66850,96 69 
69069,55 68 
69334,47 74 
69334,47 65 
69334,47 3 
70123,74 66 
70136,83 69 
71509,98 75 
71683,56 66 
71688,23 69 
72025,87 75 
72155,63 66 
72171,68 69 
72545,96 75 
72840,7 66 
72855,55 69 
73122,93 75 
73329,88 66 
73339,24 69 
73372,85 68 
73669,78 74 
73669,78 65 
73669,78 3 
73820,55 66 
73823,26 69 
74378,56 75 
74490,87 66 
74506,81 69 
74638,23 75 
74751,09 66 
74757,12 69 
77289,65 75 
77827,93 64 
77842,71 68 
77922,85 74 
77922,85 65 
77922,85 3 
78088,32 66 
78093,09 69 
78683,55 75 
78995,58 66 
79010,27 69 
81297,86 75 
81782,65 66 
81795,7 69 
81929,4 68 
82506,33 74 
82506,33 65 
82506,33 3 
82768,36 66 
82779,73 69 
86516,1 68 
95227,44 74 
95227,44 65 
95227,44 3 
95379,03 66 
95389,36 69 
99242,48 68 
100486,18 74 
100486,18 65 
100486,18 3 
100735,85 66 
100743,44 69 
104146,1 75 
104656,24 64 
104663,29 68 
104746,11 74 
104746,11 65 
104746,11 3 
104967,53 66 
104980,13 69 
106182,56 75 
106483,72 66 
106498,15 69 
106802,42 75 
107000,81 66 
107015,26 69 
107106,62 75 
107275,36 66 
107281,83 69 
108025,41 75 
108323,19 66 
108332,62 69 
108722,43 75 
108974,77 64 
108983,38 68 
109663,7 74 
109663,7 65 
109663,7 3 
109743,99 66 
109750,8 69 
113670,36 68 
114333,27 74 
114333,27 65 
114333,27 3 
114698,79 66 
114704,36 69 
116229,56 75 
116599,94 66 
116605,68 69 
118269,62 75 
119091,35 64 
119107,5 68 
119829,07 74 
119829,07 65 
119829,07 3 
120943,47 66 
120958,94 69 
123844,73 68 
127020,15 74 
127020,15 65 
127020,15 3 
128149,36 66 
128164,68 69 
128278,39 75 
128447,01 66 
128464,9 69 
130598,89 75 
131047,44 64 
131066,64 68 
131122,64 74 
131122,64 65 
131122,64 3 
131379,52 66 
131383,58 69 
131921,56 75 
131995,47 66 
132000,78 69 
132427,99 75 
132490,84 66 
132501,06 69 
133413,83 75 
133587,9 66 
133601,88 69 
133917,95 75 
134172,02 66 
134185,67 69 
134390,36 75 
134579,46 66 
134586,02 69 
134790,03 75 
135221,06 64 
135236,48 68 
135358,71 74 
135358,71 65 
135358,71 3 
135631,4 66 
135637,17 69 
135943,6 75 
136061,08 66 
136070,48 69 
138826,34 75 
139071,53 66 
139089,42 69 
139373,13 68 
140303,27 74 
140303,27 65 
140303,27 3 
140543,96 66 
140557,13 69 
141042,79 75 
141311,76 66 
141324,46 69 
144310,37 68 
145870,39 74 
145870,39 65 
145870,39 3 
146643,84 66 
146645,1 69 
147470,18 75 
147584,27 66 
147595,9 69 
147846,86 75 
147963,68 66 
147979,53 69 
149881,3 68 
150495 74 
150495 65 
150495 3 
151415,37 66 
151432,38 69 
154501,23 68 
154954,57 74 
154954,57 65 
154954,57 3 
156035,58 66 
156052,31 69 
158971,51 68 
159082,58 74 
159082,58 65 
159082,58 3 
159695,44 66 
159705,16 69 
163091,44 68 
164574,01 74 
164574,01 65 
164574,01 3 
164749,21 66 
164758,95 69 
168595,58 68 
171883,13 74 
171883,13 65 
171883,13 3 
172175,93 66 
172181,41 69 
175900,89 68 
183124,15 74 
183124,15 65 
183124,15 3 
183507,5 66 
183523,25 69 
185923,21 75 
186295,41 66 
186308,84 69 
186382,4 75 
186551,39 66 
186558,96 69 
187143,1 68 
187505,78 74 
187505,78 65 
187505,78 3 
187683,52 66 
187693,12 69 
188115,36 75 
188485,32 66 
188493,78 69 
188699,33 75 
188929,01 66 
188944,11 69 
189566,19 75 
189763,89 66 
189778,14 69 
190543,19 75 
190728,19 66 
190745,48 69 
191005,93 75 
191452,99 66 
191462,7 69 
191512,99 68 
191562,06 74 
191562,06 65 
191562,06 3 
191719,6 66 
191729,53 69 
192331,66 75 
192581,4 66 
192596,95 69 
192973,96 75 
193127,56 66 
193130,68 69 
193930,11 75 
194079,43 66 
194081,85 69 
194295,6 75 
194671,07 66 
194682,09 69 
194795,06 75 
194916,6 66 
194932,31 69 
195451,56 75 
195507,63 66 
195516,5 69 
195582,65 68 
195806,35 74 
195806,35 65 
195806,35 3 
195963,56 66 
195966,6 69 
196587,69 75 
196648,4 66 
196666,96 69 
199819,48 68 
201050,11 74 
201050,11 65 
201050,11 3 
201247,49 66 
201253,67 69 
202934,49 75 
202987,64 66 
203004,86 69 
203962,34 75 
204142,78 66 
204155,73 69 
205056,69 68 
205542,97 74 
205542,97 65 
205542,97 3 
205624,22 66 
205640,15 69 
206097,96 75 
206307,62 66 
206324,04 69 
208010,16 75 
208075,49 66 
208092,04 69 
208450,99 75 
208591,29 66 
208609,13 69 
208969,98 75 
209249,1 66 
209259,64 69 
209560,22 68 
209850,06 74 
209850,06 65 
209850,06 3 
210039,87 66 
210043,58 69 
212795,7 75 
212891,98 66 
212895,74 69 
213694,04 75 
213759,64 66 
213763,04 69 
213863,5 68 
214330,59 74 
214330,59 65 
214330,59 3 
214466,31 66 
214480,34 69 
218350,11 68 
220281,47 74 
220281,47 65 
220281,47 3 
220503,04 66 
220518,16 69 
224287,99 68 
226522,39 74 
226522,39 65 
226522,39 3 
226728,06 66 
226739,58 69 
230542,78 68 
231838,38 74 
231838,38 65 
231838,38 3 
232002,92 66 
232010,31 69 
233228,09 75 
233395,45 66 
233411,36 69 
234038,12 75 
234203,42 66 
234212,02 69 
234475,69 75 
234756,49 66 
234762,46 69 
234906 75 
235043,44 66 
235046,3 69 
235681,9 75 
235847,5 64 
235863,46 68 
236645,82 74 
236645,82 4 
236791,36 66 
236797,35 69 
237621,58 75 
237721,03 66 
237731,63 69 
238586,47 75 
239096,16 66 
239099,25 69 
239286,49 75 
239507,81 66 
239516,13 69 
