********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,25-Jan-21,Time,13:04
Core random seed,  238181717
*******************
Selected Configuration,  1
Session Type,  3
Moyenne Des Sessions,  40


13,27 201
13,27 150
13,27 179
1001,71 68 
13039,34 74 
13039,34 65 
13039,34 3 
13470,3 66 
13477 69 
14006,35 75 
14180,81 66 
14194,08 69 
14247,37 75 
14286,39 66 
14294,66 69 
16736,17 75 
17343,2 64 
17346,88 68 
17484,06 74 
17484,06 65 
17484,06 3 
17827,15 66 
17830,27 69 
20013,1 75 
20491,19 66 
20498,89 69 
20635,68 75 
21006,71 66 
21015,91 69 
21106,13 75 
21620 64 
21633,12 68 
21773,53 74 
21773,53 65 
21773,53 3 
22905,61 66 
22917,39 69 
23032,8 75 
23317,99 66 
23334,36 69 
23762,6 75 
24090,73 66 
24101,6 69 
25786,44 68 
26492,36 74 
26492,36 65 
26492,36 3 
26781,96 66 
26787,6 69 
28079,12 75 
28196,89 66 
28204,78 69 
28937,11 75 
29158,09 66 
29172,29 69 
29989,15 75 
30162,31 66 
30173,17 69 
30506,6 68 
31360,7 74 
31360,7 65 
31360,7 3 
31582,54 66 
31590,72 69 
33273,03 75 
33310,67 66 
33325,63 69 
35376,98 68 
35752,12 74 
35752,12 65 
35752,12 3 
36626,64 66 
36627,71 69 
38588,61 75 
38762,22 66 
38779,49 69 
39763,73 68 
40710,1 74 
40710,1 65 
40710,1 3 
40759,05 66 
40764,54 69 
42373,79 75 
42538,55 66 
42549,1 69 
44173,25 75 
44725,86 64 
44734,08 68 
44865,88 74 
44865,88 65 
44865,88 3 
45146,75 66 
45151,08 69 
48887,55 68 
84768,9 74 
84768,9 65 
84768,9 3 
85178,43 66 
85181,86 69 
85422,12 75 
85774,29 66 
85782,02 69 
85943,33 75 
86074,19 66 
86082,3 69 
87531,32 75 
88097,79 66 
88100,73 69 
88216,9 75 
88669,18 66 
88684,23 69 
88784,77 68 
88795,86 74 
88795,86 65 
88795,86 3 
89286,5 66 
89301,29 69 
89693,57 75 
89905,5 66 
89918,51 69 
90857,93 75 
91191,35 66 
91202,81 69 
91929,23 75 
92246,06 66 
92253,62 69 
92436,26 75 
92718,03 66 
92720,79 69 
92820,9 68 
93109,71 74 
93109,71 65 
93109,71 3 
93289,69 66 
93304,36 69 
97124,14 68 
97334,92 74 
97334,92 65 
97334,92 3 
97540 66 
97557,59 69 
98088,3 75 
98177,36 66 
98191,48 69 
101068,57 75 
101627,62 64 
101644,13 68 
101753,94 74 
101753,94 65 
101753,94 3 
102278,4 66 
102294,61 69 
102992,48 75 
103150,13 66 
103162,1 69 
104114,12 75 
104921,57 66 
104929,96 69 
105132,44 75 
105555,99 66 
105563,76 69 
105732,51 75 
106153,61 64 
106164,28 68 
106900,02 74 
106900,02 65 
106900,02 3 
107498,58 66 
107515,25 69 
108276,76 75 
108546,24 66 
108549,48 69 
110918,21 68 
111092,5 74 
111092,5 65 
111092,5 3 
111323,26 66 
111334,87 69 
111648,96 75 
112229,9 66 
112235,53 69 
113675,84 75 
113782,05 66 
113787,1 69 
114838,33 75 
114994,43 66 
115004,48 69 
115104,65 68 
115492,4 74 
115492,4 4 
115622,54 66 
115638,12 69 
116428,6 75 
116742,69 66 
116755,78 69 
118165,29 75 
118482,41 66 
118490,56 69 
119507,79 68 
119573,79 74 
119573,79 65 
119573,79 3 
119702,49 66 
119708,21 69 
120908,59 75 
121058,09 66 
121075,59 69 
123594,53 68 
124488,66 74 
124488,66 4 
124634,36 66 
124644,96 69 
124861,63 75 
124931,52 66 
124945,22 69 
126476,44 75 
126599,27 66 
126613,18 69 
128221,92 75 
128290,84 66 
128297,79 69 
128498,05 68 
129540,92 74 
129540,92 65 
129540,92 3 
129737,56 66 
129748,95 69 
133552,01 68 
133633,62 74 
133633,62 65 
133633,62 3 
134650,39 66 
134653,25 69 
135096,61 75 
135221,91 66 
135236,4 69 
135278,61 75 
135876,48 66 
135886,92 69 
137268,15 75 
137401,99 66 
137405,16 69 
137655,47 68 
137940,5 74 
137940,5 65 
137940,5 3 
138235,94 66 
138239,01 69 
140108,7 75 
140537,48 66 
140540,68 69 
140801,13 75 
140954,98 66 
140957,72 69 
141164,78 75 
141354,04 66 
141357,82 69 
141958,34 68 
142459,5 74 
142459,5 4 
143259,49 66 
143275,87 69 
143488,73 75 
143690,19 66 
143693,31 69 
144704,85 75 
144775,84 66 
144793,73 69 
146228,14 75 
146338,05 66 
146344,88 69 
146478,76 68 
147148,77 74 
147148,77 65 
147148,77 3 
147237,39 66 
