********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,04-Mar-21,Time,13:10
Core random seed,  178056780
*******************
Selected Configuration,  1
Session Type,  1
Moyenne Des Sessions,  40


17,04 201
17,04 150
17,04 179
1018,43 68 
2942,36 74 
2942,36 65 
2942,36 3 
3252,43 66 
3269,69 69 
6112,22 75 
6862,94 66 
6871,9 69 
6955,57 68 
14230,28 74 
14230,28 65 
14230,28 3 
15149,66 66 
15161,55 69 
15184,86 75 
15279,37 66 
15294,97 69 
18247,39 68 
18522,79 74 
18522,79 65 
18522,79 3 
19665,04 66 
19681,6 69 
19777,56 75 
19973,76 66 
19981,95 69 
22533,96 68 
40300,85 74 
40300,85 65 
40300,85 3 
41320,11 66 
41331,43 69 
41352,72 75 
41513,78 66 
41531,7 69 
44317,15 68 
44963,76 74 
44963,76 65 
44963,76 3 
45957,85 66 
45968,45 69 
46108,23 75 
46261,61 66 
46268,57 69 
48970,9 68 
49524,05 74 
49524,05 65 
49524,05 3 
50532,06 66 
50538,69 69 
50621,47 75 
50785,79 66 
50789,02 69 
51001,56 75 
51048,2 66 
51055,67 69 
51111,85 75 
51229,97 66 
51239,04 69 
53540,87 68 
55675,98 74 
55675,98 65 
55675,98 3 
56729,5 66 
56743,18 69 
59695,64 68 
61124,91 74 
61124,91 65 
61124,91 3 
62039,11 66 
62047,23 69 
62138,53 75 
62282,03 66 
62297,45 69 
63160,18 75 
63420,79 66 
63431,63 69 
63528,34 75 
63705,41 66 
63715,21 69 
64609,49 75 
64825,69 66 
64832,8 69 
65133,17 68 
65183,95 74 
65183,95 65 
65183,95 3 
65658,44 66 
65666,73 69 
65827,99 75 
66231,32 66 
66234,4 69 
69202,79 68 
70501,03 74 
70501,03 65 
70501,03 3 
71589,89 66 
71604,49 69 
74506,98 68 
79252,28 74 
79252,28 4 
80477,98 66 
80494,61 69 
80609,59 75 
80849,73 66 
80861,59 69 
81603,78 75 
81854,62 66 
81862,37 69 
81997,13 75 
82226,94 66 
82229,6 69 
82682,03 75 
83089,06 66 
83096,63 69 
83225,31 75 
83401,97 64 
83413,59 68 
85292,15 74 
85292,15 65 
85292,15 3 
86326,77 66 
86332,79 69 
88572,68 75 
89046,25 66 
89051,61 69 
89126,5 75 
89641,4 64 
89651,84 68 
94460,03 74 
94460,03 65 
94460,03 3 
95233,22 66 
95239,36 69 
98475,2 68 
99611,69 74 
99611,69 65 
99611,69 3 
100547,02 66 
100559,94 69 
100661,35 75 
100737,99 66 
100743,58 69 
103629,21 68 
103649,23 74 
103649,23 65 
103649,23 3 
104620,37 66 
104629,68 69 
104734,26 75 
104865,92 66 
104879,91 69 
106019,32 75 
106242,47 66 
106247,62 69 
106673,72 75 
107028,39 66 
107031,75 69 
107665,53 68 
107763,92 74 
107763,92 4 
107953,43 66 
107965,53 69 
108225,96 75 
109066,09 66 
109083,32 69 
111212,5 75 
112061,47 64 
112069,11 68 
114389,53 74 
114389,53 4 
114998,32 66 
115004,33 69 
115089,73 75 
115411,49 66 
115421,33 69 
118406,93 68 
118652 74 
118652 65 
118652 3 
119010,15 66 
119023,96 69 
122660,18 68 
123327,79 74 
123327,79 4 
123929,89 66 
123944,41 69 
124020,59 75 
124197,84 66 
124211,29 69 
124545,55 75 
124861,48 66 
124878,48 69 
127347,18 68 
128500,98 74 
128500,98 65 
128500,98 3 
129565,29 66 
129582 69 
132517,67 68 
138568,48 74 
138568,48 65 
138568,48 3 
139585,33 66 
139590,02 69 
139702,45 75 
139803,61 66 
139806,63 69 
139855,94 75 
139981,61 66 
139990,03 69 
142575,42 68 
143144,4 74 
143144,4 4 
143713,75 66 
143726,11 69 
143828,04 75 
144158,39 66 
144176,52 69 
145741,21 75 
145949,28 66 
145961,21 69 
146740,4 75 
146861,05 66 
146878,59 69 
147162,18 68 
147215,92 74 
147215,92 4 
147369,7 66 
147378,97 69 
148206,93 75 
148381,73 66 
148396,38 69 
149231,72 75 
149405,37 66 
149413,84 69 
149941,51 75 
150073,95 66 
150081,02 69 
150387,96 75 
150509,53 66 
150514,71 69 
151231,96 68 
151322,91 74 
151322,91 65 
151322,91 3 
151576,49 66 
151582,34 69 
152076,7 75 
152147,54 66 
152149,65 69 
152289,72 75 
152418,52 66 
152432,86 69 
153928,84 75 
154041,54 66 
154051,06 69 
155335,02 68 
155696,41 74 
155696,41 65 
155696,41 3 
156493,94 66 
156502,5 69 
156589,97 75 
156757,52 66 
156769,59 69 
157065,84 75 
157453,67 66 
157470,02 69 
157600,84 75 
157702,79 66 
157720,17 69 
158343,66 75 
158573,74 66 
158587,52 69 
158856,12 75 
158985,53 66 
158988,15 69 
159705,19 68 
160788,2 74 
160788,2 65 
160788,2 3 
161406,59 66 
161422,92 69 
161529,1 75 
161673,83 66 
161689,91 69 
164068,47 75 
164257,87 66 
164275,15 69 
164809,16 68 
165668,17 74 
165668,17 4 
166363,25 66 
166376,69 69 
166551,82 75 
166637,51 66 
166643,63 69 
167459,93 75 
167541,32 66 
167544,43 69 
167812,31 75 
167894,76 66 
167911,26 69 
169679,33 68 
170801,07 74 
170801,07 65 
170801,07 3 
171177,86 66 
171180,57 69 
174816,68 68 
175164,91 74 
175164,91 65 
175164,91 3 
176228,63 66 
176234,42 69 
176320,51 75 
176453,16 66 
176468,08 69 
179169,89 68 
179358,08 74 
179358,08 65 
179358,08 3 
179533,67 66 
179536,87 69 
180325,58 75 
180417,45 66 
180420,84 69 
181168,08 75 
181325,43 66 
181338,28 69 
181789,45 75 
181993,89 66 
182005,32 69 
182873,34 75 
183073,91 66 
183089,5 69 
183373,28 68 
183389,77 74 
183389,77 65 
183389,77 3 
183577,71 66 
183589,95 69 
184149,47 75 
184517,12 66 
184523,91 69 
187409,58 68 
188316,34 74 
188316,34 65 
188316,34 3 
189263,27 66 
189277,48 69 
189384,1 75 
189477,55 66 
189494,37 69 
190728,47 75 
190929,39 66 
190945,47 69 
191225,62 75 
191481,42 66 
191495,88 69 
191897,43 75 
191930,36 66 
191946,25 69 
192276,89 75 
192477,39 64 
192480,74 68 
192857,65 74 
192857,65 65 
192857,65 3 
193245,46 66 
193247,4 69 
193585,32 75 
193717,38 66 
193730,93 69 
194101,37 75 
194298,59 66 
194314,7 69 
194887,97 75 
195484,9 66 
195498,94 69 
196866,84 68 
197796,32 74 
197796,32 65 
197796,32 3 
198653,97 66 
198668,22 69 
198796,4 75 
198918,24 66 
198935,11 69 
201104,38 75 
201472,61 66 
201486,83 69 
201804,05 68 
202043,37 74 
202043,37 65 
202043,37 3 
202217,27 66 
202220,77 69 
202726,32 75 
202902,05 66 
202904,74 69 
203253,39 75 
203381,76 66 
203388,28 69 
206057,19 68 
207180,17 74 
207180,17 65 
207180,17 3 
208102,02 66 
208108,52 69 
208213,27 75 
208445,58 66 
208458,8 69 
209333,48 75 
209533,8 66 
209542,96 69 
209948,72 75 
210069,33 66 
210076,77 69 
210708,75 75 
211010,01 66 
211027,43 69 
211152,75 75 
212065,7 64 
212078,23 68 
212188,17 74 
212188,17 65 
212188,17 3 
212458,27 66 
212461,87 69 
216198,16 68 
216200,07 74 
216200,07 65 
216200,07 3 
216417,34 66 
216431,51 69 
220234,5 68 
222419,87 74 
222419,87 65 
222419,87 3 
223337,25 66 
223353,45 69 
224336,83 75 
224522,48 66 
224537,78 69 
225495,7 75 
225705,26 66 
225721,96 69 
226439,3 68 
226508,27 74 
226508,27 65 
226508,27 3 
227697,38 66 
227706,78 69 
228356,9 75 
228561,38 66 
228574,12 69 
229063,71 75 
229293,49 66 
229308,03 69 
229420,79 75 
229597,68 66 
229608,26 69 
230037,4 75 
230402,94 66 
230409,07 69 
230511,28 75 
230885,41 64 
230892,59 68 
231045,66 74 
231045,66 65 
231045,66 3 
231246,97 66 
231259,6 69 
234472,11 75 
234549,66 66 
234562,02 69 
235062,49 68 
235123,65 74 
235123,65 65 
235123,65 3 
235204,51 66 
235212,47 69 
239132,3 68 
239912,65 74 
239912,65 4 
240413,62 66 
240416,77 69 
243919,38 68 
245483,55 74 
245483,55 65 
245483,55 3 
245697,37 66 
245703,89 69 
249490,32 68 
250496,05 74 
250496,05 65 
250496,05 3 
250857,63 66 
250874,41 69 
254510,75 68 
255091,73 74 
255091,73 65 
255091,73 3 
255385,25 66 
255394,51 69 
259097,47 68 
259912,88 74 
259912,88 65 
259912,88 3 
260577,22 66 
260582 69 
263934,51 68 
270688,21 74 
270688,21 65 
270688,21 3 
271181,2 66 
271189,94 69 
274709,39 68 
277892,03 74 
277892,03 65 
277892,03 3 
278665,84 66 
278678,98 69 
281779,91 75 
282286,03 64 
282298,41 68 
282855,58 74 
282855,58 65 
282855,58 3 
282914,14 66 
282915,58 69 
284896,15 75 
285053,87 66 
285067,45 69 
285867,8 75 
285969,24 66 
285985 69 
286368,78 75 
286469,11 66 
286485,15 69 
286652,65 75 
287545,79 64 
287552,69 68 
289083,87 74 
289083,87 65 
289083,87 3 
289212,66 66 
289220,38 69 
292651,75 75 
292753,39 66 
292756,45 69 
293090,16 68 
293496,18 74 
293496,18 65 
293496,18 3 
293662,4 66 
293673,67 69 
293924,05 75 
294393,88 66 
294407,64 69 
296848,6 75 
297033,36 66 
297042,98 69 
297293,07 75 
297853,1 64 
297860,82 68 
301544,3 74 
301544,3 65 
301544,3 3 
302193,39 66 
302196,89 69 
305549,91 68 
309248,15 74 
309248,15 65 
309248,15 3 
309565,17 66 
309585,79 69 
313255,59 68 
315403,61 74 
315403,61 65 
315403,61 3 
315889,2 66 
315891,18 69 
319410,19 68 
319511,38 74 
319511,38 65 
319511,38 3 
320061,16 66 
320077,14 69 
320831,51 75 
321053,14 66 
321061,29 69 
321316,26 75 
