********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,22-Feb-21,Time,13:08
Core random seed,  668330114
*******************
Selected Configuration,  1
Session Type,  5
Moyenne Des Sessions,  40


9,16 201
9,16 150
9,16 179
1001,9 68 
2835,77 74 
2835,77 65 
2835,77 3 
3401,22 66 
3402,9 69 
6855,42 68 
13039,68 74 
13039,68 65 
13039,68 3 
13123,33 66 
13126,65 69 
13225,05 75 
13722,91 66 
13727,28 69 
17046,53 68 
38580,9 74 
38580,9 65 
38580,9 3 
39109,51 66 
39113,15 69 
42599,49 68 
43775,3 74 
43775,3 65 
43775,3 3 
44949,47 66 
44951,04 69 
47786,49 68 
49707,9 74 
49707,9 65 
49707,9 3 
50772,9 66 
50788,77 69 
53724,52 68 
63409,23 74 
63409,23 65 
63409,23 3 
63964,96 66 
63982,16 69 
67418,24 68 
83611,73 74 
83611,73 65 
83611,73 3 
84112,94 66 
84114,16 69 
87617,07 68 
88849,86 74 
88849,86 65 
88849,86 3 
89768,2 66 
89785,26 69 
89883,65 75 
90053,13 66 
90068,9 69 
91071,73 75 
91196,85 66 
91203,24 69 
92563,89 75 
93022,32 64 
93037,83 68 
93108,57 74 
93108,57 65 
93108,57 3 
93341,68 66 
93354,61 69 
97125,11 68 
101048,38 74 
101048,38 4 
101728,49 66 
101744,31 69 
101851,1 75 
101976,22 66 
101977,89 69 
105063,62 68 
106191,69 74 
106191,69 4 
106509 66 
106515,02 69 
110201,17 68 
118044,01 74 
118044,01 65 
118044,01 3 
118153,56 66 
118156,82 69 
122060,05 68 
127239,4 74 
127239,4 65 
127239,4 3 
128238,01 66 
128247,86 69 
131250,49 68 
145640,44 74 
145640,44 65 
145640,44 3 
145972,94 66 
145978,25 69 
149648 68 
150295,57 74 
150295,57 65 
150295,57 3 
150809,54 66 
150815,19 69 
154301,24 68 
156303,26 74 
156303,26 65 
156303,26 3 
157077,25 66 
157086,54 69 
157160,57 75 
157261,43 66 
157270,16 69 
160322,59 68 
161263,38 74 
161263,38 65 
161263,38 3 
161640,74 66 
161656,71 69 
165293,14 68 
165840,29 74 
165840,29 65 
165840,29 3 
166813,36 66 
166827,3 69 
166979,52 75 
167129,58 66 
167144,36 69 
169846,52 68 
170383,88 74 
170383,88 65 
170383,88 3 
170663,04 66 
170680,38 69 
174400,41 68 
182455,94 74 
182455,94 65 
182455,94 3 
182632,2 66 
182639,63 69 
186475,74 68 
187561,22 74 
187561,22 65 
187561,22 3 
187593,54 66 
187609,93 69 
191579,63 68 
208696,38 74 
208696,38 65 
208696,38 3 
208934,31 66 
208942,79 69 
212712,66 68 
215459,45 74 
215459,45 65 
215459,45 3 
216113,54 66 
216114,96 69 
219467,66 68 
220668,65 74 
220668,65 4 
221244,78 66 
221252,21 69 
221375,46 75 
221517 66 
221519,28 69 
222048,76 75 
222152,51 66 
222169,87 69 
224688,62 68 
241817,21 74 
241817,21 65 
241817,21 3 
242464,93 66 
242468,48 69 
245838,36 68 
246731,52 74 
246731,52 65 
246731,52 3 
247857,43 66 
247872,51 69 
250741,61 68 
253179,65 74 
253179,65 65 
253179,65 3 
254097,06 66 
254110,66 69 
254264,57 75 
254372,93 66 
254377,97 69 
255304,94 75 
255513,17 66 
255528,46 69 
256463,4 75 
256573,12 66 
256579,21 69 
257055,61 75 
257198,81 64 
257213,03 68 
257591,9 74 
257591,9 65 
257591,9 3 
257776,86 66 
257780,21 69 
258225,23 75 
258657,45 66 
258664,14 69 
261175,01 75 
261309,26 66 
261316,18 69 
261600,12 68 
261692,15 74 
261692,15 65 
261692,15 3 
261864,78 66 
261867,02 69 
263619,42 75 
263782,29 66 
263784,85 69 
264163,51 75 
264300,04 66 
264301,81 69 
264727,58 75 
264896,92 66 
264902,42 69 
265289,21 75 
265734,98 64 
265752,94 68 
266007,06 74 
266007,06 65 
266007,06 3 
266181,19 66 
266186,85 69 
267200,27 75 
267306,81 66 
267320,81 69 
269032,28 75 
269148,02 66 
269155,47 69 
269675,92 75 
269785,88 66 
269789,38 69 
270023 68 
270171,65 74 
270171,65 65 
270171,65 3 
270336,39 66 
270339,79 69 
270991,7 75 
271069,7 66 
271074,04 69 
271528,51 75 
271721,35 66 
271724,22 69 
272171,49 75 
272409,48 66 
272424,65 69 
272715,58 75 
272848,83 66 
272858,37 69 
273843,23 75 
274001,23 66 
274009,21 69 
274192,8 68 
275103,78 74 
275103,78 65 
275103,78 3 
275276,88 66 
275293,44 69 
276059,63 75 
276157,46 66 
276160,86 69 
277452,13 75 
277743,05 66 
277745,8 69 
278016,85 75 
278184,91 66 
278195,74 69 
279059,49 75 
279269,08 64 
279279,92 68 
279719,7 74 
279719,7 65 
279719,7 3 
280193,75 66 
280197,29 69 
281608,06 75 
281848,89 66 
281865,2 69 
283733,5 68 
290163,99 74 
290163,99 65 
290163,99 3 
290517,74 66 
290521,77 69 
294174,67 68 
307192,11 74 
307192,11 65 
307192,11 3 
307469,04 66 
307484,94 69 
311204,46 68 
319421,21 74 
319421,21 65 
319421,21 3 
319756,91 66 
319760,76 69 
323430,53 68 
323466,97 202
323466,97 155
323466,97 175
324464,87 68 
326588,41 74 
326588,41 65 
326588,41 3 
326821,01 66 
326832,81 69 
330602,47 68 
341675,39 74 
341675,39 4 
342092,42 66 
342094,79 69 
345680,92 68 
346315,6 74 
346315,6 4 
346857,78 66 
346864,76 69 
347025,79 75 
347172,99 66 
347181,73 69 
348296,65 75 
348496,91 66 
348499,66 69 
349429,14 75 
349709,76 66 
349717,14 69 
350010,07 75 
350073,98 66 
350084,07 69 
350334,29 68 
359864,38 65 
359864,38 1 
364264,27 65 
364264,27 1 
371764,83 65 
371764,83 1 
375664,25 65 
375664,25 1 
381064,34 65 
381064,34 1 
388164,2 65 
388164,2 1 
401364,42 65 
401364,42 1 
406164,41 65 
406164,41 1 
425679,8 74 
425679,8 4 
425845,15 66 
425858,43 69 
429694,98 68 
438672,62 74 
438672,62 4 
438861,27 66 
438869,22 69 
442688,3 68 
461064,42 65 
461064,42 1 
470764,28 65 
470764,28 1 
474463,28 74 
474463,28 4 
474589,93 66 
474595,62 69 
478482,34 68 
495264,31 65 
495264,31 1 
498364,24 65 
498364,24 1 
503064,21 65 
503064,21 1 
520291,84 74 
520291,84 65 
520291,84 3 
520496,96 66 
520514 69 
524301,29 68 
524843,27 74 
524843,27 4 
525264,8 65 
525264,8 1 
525469,11 66 
525484,61 69 
525609,57 75 
525709,14 66 
525718,32 69 
527682,86 75 
527903,46 66 
527919,75 69 
528584,21 75 
528769,97 66 
528787,03 69 
528853,92 68 
528892,12 74 
528892,12 4 
529080,91 66 
529087,24 69 
529987,57 75 
530141,21 66 
530154,75 69 
531095,22 75 
531303,41 66 
531305,84 69 
531799,9 75 
532119,22 66 
532122,95 69 
532907,03 68 
536063,38 74 
536063,38 65 
536063,38 3 
537114,38 66 
537126,69 69 
540079,09 68 
540171,62 74 
540171,62 4 
540725,41 66 
540729,48 69 
540824,26 75 
541002,78 66 
541013,07 69 
541705,27 75 
541934,38 66 
541947,08 69 
542384,89 75 
542576,92 66 
542581,03 69 
542987,48 75 
543164,81 66 
543181,37 69 
543831,75 75 
543912,24 66 
543915,51 69 
544182,42 68 
544312,2 74 
544312,2 4 
544500,77 66 
544515,66 69 
545471,21 75 
545565,47 66 
545583,21 69 
546151,28 75 
546316,91 66 
546333,82 69 
546847,62 75 
546973,81 66 
546984,41 69 
547576,87 75 
547817,92 66 
547835,2 69 
548110 75 
548197,25 66 
548201,98 69 
548318,74 68 
548653,1 74 
548653,1 65 
548653,1 3 
548788,7 66 
548802,64 69 
552647,76 75 
552808,92 64 
552822,08 68 
553205,32 74 
553205,32 4 
553257,46 66 
553272,43 69 
553647,71 75 
553833,37 66 
553839,5 69 
554883,7 75 
554964,45 66 
554973,69 69 
557043,61 75 
557284,45 64 
557292,44 68 
