********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,25-Feb-21,Time,12:44
Core random seed,  1527741633
*******************
Selected Configuration,  1
Session Type,  2
Moyenne Des Sessions,  40


15,21 201
15,21 150
15,21 179
1001,77 68 
3267,21 74 
3267,21 4 
3771,95 66 
3786,9 69 
7289,05 68 
7728,37 74 
7728,37 4 
7793,18 66 
7805,89 69 
7828,67 75 
8217,14 66 
8222,91 69 
11742,68 68 
15639,12 74 
15639,12 65 
15639,12 3 
16390,14 66 
16396,04 69 
19352,81 75 
20405,73 64 
20415,63 68 
21036,42 74 
21036,42 65 
21036,42 3 
21381,65 66 
21382,97 69 
21988,33 75 
22537,8 66 
22550,52 69 
25052,49 68 
26605,04 74 
26605,04 65 
26605,04 3 
27651,52 66 
27654,63 69 
29232,13 75 
29334,21 66 
29339,32 69 
29857,34 75 
30234,86 66 
30240,01 69 
30623,58 68 
31466,21 74 
31466,21 65 
31466,21 3 
32196,7 66 
32207,85 69 
32307,81 75 
32489,71 66 
32491,82 69 
35477,24 68 
37316,71 74 
37316,71 65 
37316,71 3 
38291,22 66 
38296,17 69 
38363,92 75 
38513,87 66 
38529,48 69 
38840,7 75 
38946,35 66 
38963,13 69 
41331,57 68 
42856,13 74 
42856,13 65 
42856,13 3 
44145,51 66 
44150,58 69 
46869,32 68 
47792,17 74 
47792,17 65 
47792,17 3 
48812,96 66 
48820,55 69 
51806,26 68 
62499,91 74 
62499,91 65 
62499,91 3 
63389,94 66 
63398,68 69 
63461,73 75 
63525,85 66 
63532,04 69 
63572,68 75 
63685,22 66 
63698,78 69 
66517,63 68 
66780,39 74 
66780,39 65 
66780,39 3 
67816,58 66 
67818,47 69 
67936,22 75 
68337,38 66 
68352,16 69 
70605,23 75 
70885,75 64 
70887,49 68 
71004,11 74 
71004,11 4 
71169,55 66 
71170,97 69 
74292,12 75 
79029,12 64 
79043,68 68 
79072,77 74 
79072,77 65 
79072,77 3 
80601,68 66 
80611,54 69 
83080,19 68 
83640,14 74 
83640,14 65 
83640,14 3 
84782,06 66 
84798,23 69 
87650,23 68 
88116,22 74 
88116,22 65 
88116,22 3 
89425,44 66 
89434,9 69 
92137,04 68 
92967,95 74 
92967,95 65 
92967,95 3 
94439,26 66 
94455,38 69 
96974,32 68 
97516,21 74 
97516,21 4 
97578,2 66 
97591,1 69 
97655,54 75 
98158,93 66 
98174,98 69 
98265,05 75 
98401,61 66 
98408,44 69 
98976,13 75 
99761,6 66 
99776,16 69 
101527,58 68 
102241,4 74 
102241,4 65 
102241,4 3 
103197,64 66 
103212,07 69 
106247,81 68 
106647,44 74 
106647,44 4 
107125,32 66 
107132,02 69 
107197,74 75 
107446,88 66 
107448,78 69 
107740,1 75 
108192,73 66 
108199,29 69 
108868,57 75 
109025,74 66 
109033,23 69 
110520,15 75 
110716,12 64 
110717,86 68 
111656,75 74 
111656,75 65 
111656,75 3 
