********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,09-Feb-21,Time,14:04
Core random seed,  776152881
*******************
Selected Configuration,  1
Session Type,  2
Moyenne Des Sessions,  40


27,34 201
27,34 150
27,34 179
1001,87 68 
18181,35 74 
18181,35 65 
18181,35 3 
19621,88 66 
19631,96 69 
22200,77 68 
23383,47 74 
23383,47 65 
23383,47 3 
24304,12 66 
24318,57 69 
27404,94 68 
37941,26 74 
37941,26 65 
37941,26 3 
39217,18 66 
39229,95 69 
41044,46 75 
41622,62 66 
41631,82 69 
41708,63 75 
41933,58 66 
41948,72 69 
41982,26 68 
42279,95 74 
42279,95 65 
42279,95 3 
42508,55 66 
42515,76 69 
42723,88 75 
42958,02 66 
42966,18 69 
46285,73 68 
47128,46 74 
47128,46 65 
47128,46 3 
47297,43 66 
47302,9 69 
47444,3 75 
47621,56 66 
47636,44 69 
48099,55 75 
48212,78 66 
48220,22 69 
48456,48 75 
48590,55 66 
48603,86 69 
48807,89 75 
48864,93 66 
48871,54 69 
50991,66 75 
51875,1 64 
51889,72 68 
52751,65 74 
52751,65 65 
52751,65 3 
53592,58 66 
53607,62 69 
55729,15 75 
56060,04 66 
56076,21 69 
56183,72 75 
56357,09 66 
56359,87 69 
56725 75 
56849,16 64 
56860,14 68 
57563,8 74 
57563,8 65 
57563,8 3 
57821,33 66 
57827,53 69 
61580,73 68 
65755,65 74 
65755,65 65 
65755,65 3 
66249,1 66 
66250,59 69 
69770,29 68 
69773,83 74 
69773,83 65 
69773,83 3 
70837,22 66 
70854,12 69 
70952,68 75 
71129,02 66 
71137,74 69 
71424,52 75 
71521,24 66 
71538,28 69 
73806,42 68 
74887,24 74 
74887,24 65 
74887,24 3 
76139 66 
76141,7 69 
76271,64 75 
76472,93 66 
76475,55 69 
76661,7 75 
76753,42 66 
76758,63 69 
77104,06 75 
77337,33 66 
77342,57 69 
78079,5 75 
78285,17 66 
78293,26 69 
78693,58 75 
78865,48 66 
78876,92 69 
78894,15 68 
79941,09 74 
79941,09 65 
79941,09 3 
80304,46 66 
80311,28 69 
80563,19 75 
80946,19 66 
80961,9 69 
83947,73 68 
85364,3 74 
85364,3 65 
85364,3 3 
87081,13 66 
87083,33 69 
87445,9 75 
87495,62 66 
87500,73 69 
87620,76 75 
87841,63 66 
87850,47 69 
88496,71 75 
88681,12 66 
88684,42 69 
89213,07 75 
89535,56 64 
89551,73 68 
89648,29 74 
89648,29 65 
89648,29 3 
90301,02 66 
90318,98 69 
93654,98 68 
105987,7 74 
105987,7 65 
105987,7 3 
106988,05 66 
106998,32 69 
107041,49 75 
107241,11 66 
107248,59 69 
108155,89 75 
108514 66 
108516,43 69 
108597,03 75 
108969,85 66 
108983,31 69 
109163,6 75 
109615,92 66 
109633,75 69 
109720,96 75 
110093,45 64 
110100,92 68 
110219,72 74 
110219,72 65 
110219,72 3 
110622,05 66 
110634,47 69 
110753,28 75 
111025,17 66 
111034,77 69 
111287,68 75 
111358,12 66 
111368,37 69 
113875,78 75 
114245,76 64 
114253,97 68 
114327,53 74 
114327,53 65 
114327,53 3 
114556,99 66 
114570,93 69 
115021,12 75 
115309,79 66 
115321,59 69 
116016,41 75 
116149,41 66 
116155,48 69 
116916,98 75 
117049,27 66 
117056,05 69 
118340,42 68 
118465,06 74 
118465,06 65 
118465,06 3 
118541,57 66 
118557,14 69 
119672,28 75 
119929,14 66 
119941,59 69 
120083,22 75 
120325,69 66 
120341,88 69 
120848,13 75 
120963,77 66 
120975,72 69 
121128,69 75 
121397,08 66 
121409,36 69 
122135,39 75 
122405,11 66 
122410,46 69 
122477,11 68 
122783,92 74 
122783,92 65 
122783,92 3 
122988,59 66 
122994,18 69 
124436,35 75 
124496,7 66 
124511,76 69 
125379,97 75 
125569,48 66 
125579,27 69 
126037,03 75 
126200,17 66 
126213,05 69 
126512,3 75 
127078,27 64 
127097,07 68 
127188,48 74 
127188,48 65 
127188,48 3 
127377,16 66 
127380,6 69 
128007,96 75 
128102,04 66 
128114,5 69 
128200,16 75 
128280,43 66 
128297,98 69 
131200,71 68 
132788,5 74 
132788,5 65 
132788,5 3 
133966,22 66 
133969 69 
134105,49 75 
134261,03 66 
134269,2 69 
134588,11 75 
134749,27 66 
134752,98 69 
136805,06 68 
137857,5 74 
137857,5 65 
137857,5 3 
138858,29 66 
138873,04 69 
141875,02 68 
143391,88 74 
143391,88 65 
143391,88 3 
144455,14 66 
144460,74 69 
147172,23 75 
147873,95 64 
147879,9 68 
148030,07 74 
148030,07 65 
148030,07 3 
148241,08 66 
148246,65 69 
148657,27 75 
148792,19 66 
148797,29 69 
148828,97 75 
149013,19 66 
149030,51 69 
152049,59 68 
157940,84 74 
157940,84 4 
157996,51 66 
158003,94 69 
158271,72 75 
158469,26 66 
158471,48 69 
158599,34 75 
158857,08 66 
158871,5 69 
160628,08 75 
160847,21 66 
160856,38 69 
161015,71 75 
161345,32 66 
161356,95 69 
161844,54 75 
161950,85 66 
161957,32 69 
161990,66 68 
164811,93 74 
164811,93 65 
164811,93 3 
165785,61 66 
165793,18 69 
165883,84 75 
166640,08 66 
166643,97 69 
167463,8 75 
167661,23 66 
167678,02 69 
168663,9 75 
168954,1 64 
168962,34 68 
169175,6 74 
169175,6 65 
169175,6 3 
169576,77 66 
169579,71 69 
170487,18 75 
170604,77 66 
170613,58 69 
172201,14 75 
172593,13 66 
172598,52 69 
172723,81 75 
172960,91 66 
172965,66 69 
173182,58 68 
173253,04 74 
173253,04 65 
173253,04 3 
173414,01 66 
173415,9 69 
174887,82 75 
175105,05 66 
175117,04 69 
175428,34 75 
175710,3 66 
175717,49 69 
175995,58 75 
176217,74 66 
176234,65 69 
176585,09 75 
176908,46 66 
176918,44 69 
177091,61 75 
177225,01 66 
177235,47 69 
177269,35 68 
177584,82 74 
177584,82 65 
177584,82 3 
177764,85 66 
177769,48 69 
177983,64 75 
178059,13 66 
178069,32 69 
178236,16 75 
178299,25 66 
178302,83 69 
178784,71 75 
178976,96 66 
178986,65 69 
179205,25 75 
179556,63 66 
179570,42 69 
179589,13 75 
179880 66 
179887,4 69 
180167,21 75 
180256,53 66 
180271,1 69 
180643,57 75 
180978,01 66 
180988,3 69 
181605,44 68 
181692,69 74 
181692,69 65 
181692,69 3 
181954,03 66 
181955,54 69 
184035,38 75 
184329,38 66 
184340,78 69 
184483,33 75 
184552,67 66 
184557,65 69 
184758,98 75 
184908,83 66 
184924,52 69 
185113,13 75 
185402,39 66 
185408,36 69 
185708,72 68 
185722,73 74 
185722,73 65 
185722,73 3 
186041,46 66 
186058,65 69 
186147,3 75 
186261,14 66 
186275,62 69 
188963,89 75 
189322,08 66 
189327,99 69 
189444,46 75 
189625,91 66 
189628,35 69 
189745,67 68 
190161,08 74 
190161,08 65 
190161,08 3 
190581,22 66 
190595,47 69 
190716,19 75 
190885,07 66 
190895,79 69 
194181,85 68 
195984,48 74 
195984,48 65 
195984,48 3 
196976,95 66 
196983,68 69 
198664,61 75 
198837,21 66 
198851,83 69 
199400,92 75 
199608,45 66 
199619,08 69 
199779,88 75 
200053,38 64 
200069,4 68 
200728,07 74 
200728,07 65 
200728,07 3 
200821,05 66 
200836,66 69 
204739,73 68 
206296,26 74 
206296,26 65 
206296,26 3 
207564,76 66 
207575,1 69 
207784,21 75 
207897,01 66 
207908,83 69 
208297,06 75 
208400,99 66 
208409,09 69 
210311,21 68 
213940,33 74 
213940,33 65 
213940,33 3 
215129,1 66 
215131,03 69 
215967,59 75 
216104,82 66 
216114,98 69 
217128,41 75 
217298,39 66 
217315,91 69 
217863,69 75 
218249,42 64 
218266,67 68 
218451,37 74 
218451,37 65 
218451,37 3 
219242,76 66 
219250,73 69 
221519,99 75 
221637,57 66 
221652,56 69 
222383,49 75 
222709,18 64 
222720,05 68 
223287,25 74 
223287,25 65 
223287,25 3 
223505,5 66 
223520,71 69 
223926,57 75 
224205,36 66 
224221,22 69 
224333,53 75 
224533,04 66 
224538,44 69 
224859,93 75 
225061,12 66 
225072,13 69 
225367,73 75 
225649,27 66 
225655,85 69 
225876,7 75 
226109,03 66 
226122,91 69 
226535,82 75 
226676,49 66 
226690,07 69 
226835,49 75 
227016,84 66 
227023,31 69 
227306,89 68 
227601,2 74 
227601,2 65 
227601,2 3 
227741,43 66 
227757,18 69 
227932,82 75 
227998,79 66 
228007,38 69 
231610,62 68 
231735,47 74 
231735,47 65 
231735,47 3 
232760,93 66 
232777,67 69 
235746,87 68 
237291,47 74 
237291,47 4 
238258,1 66 
238265,21 69 
240323,45 75 
241242,01 66 
241250,84 69 
241301,33 68 
245263,24 74 
245263,24 65 
245263,24 3 
245772,97 66 
245787,68 69 
247335,06 75 
247437,24 66 
247439,44 69 
247915,32 75 
248033,67 66 
248039,42 69 
249273,63 68 
253411,68 74 
253411,68 65 
253411,68 3 
253552,93 66 
253560,22 69 
257430,4 68 
264016,2 74 
264016,2 65 
264016,2 3 
264557,02 66 
264568,85 69 
268021,71 68 
270036,68 74 
270036,68 65 
270036,68 3 
270197,9 66 
270206,49 69 
274042,95 68 
275043,91 74 
275043,91 65 
275043,91 3 
275357,8 66 
275360,47 69 
279063,29 68 
279080,56 74 
279080,56 65 
279080,56 3 
279665,02 66 
279680,16 69 
280799,74 75 
280909,06 66 
280914,47 69 
281791,45 75 
281985,43 66 
281998,59 69 
282423,86 75 
282552,73 66 
282565,69 69 
282936,56 75 
283109,54 64 
283116,28 68 
283540,02 74 
283540,02 4 
283620,31 66 
283633,17 69 
283927,88 75 
284125,53 66 
284133,56 69 
284959,71 75 
285033,78 66 
285050,94 69 
285452,41 75 
285632,81 66 
285634,78 69 
285678,69 75 
286008,58 66 
286018,35 69 
287553,06 68 
289415,64 74 
289415,64 65 
289415,64 3 
290365,79 66 
290371,75 69 
291108,87 75 
291381,53 66 
291389,4 69 
291671,11 75 
291978,3 66 
291989,83 69 
292167,08 75 
292389,4 66 
292406,79 69 
292865,32 75 
293067,08 66 
293073,99 69 
293221,15 75 
293468,88 64 
293474,13 68 
293787,26 74 
293787,26 65 
293787,26 3 
294213,6 66 
294224,59 69 
294975,47 75 
295060,95 66 
295075,24 69 
295551,79 75 
295841,85 66 
295859,23 69 
296036,32 75 
