********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,16-Feb-21,Time,12:03
Core random seed,  1429360647
*******************
Selected Configuration,  1
Session Type,  1
Moyenne Des Sessions,  40


15,29 201
15,29 150
15,29 179
1001,68 68 
3579,6 74 
3579,6 65 
3579,6 3 
3882,53 66 
3886,43 69 
7021,97 75 
7622,17 64 
7639,03 68 
7672,1 74 
7672,1 65 
7672,1 3 
8718,08 66 
8723,56 69 
9788,71 75 
9914,73 66 
9924,11 69 
11692,4 68 
12908,06 74 
12908,06 65 
12908,06 3 
14033,27 66 
14043,86 69 
16929,77 68 
25878,02 74 
25878,02 65 
25878,02 3 
26241,94 66 
26253,52 69 
29889,5 68 
30448,68 74 
30448,68 65 
30448,68 3 
31233,95 66 
31240,3 69 
33465,44 75 
33935,47 66 
33942,44 69 
34109,56 75 
34234,88 66 
34242,64 69 
34459,65 68 
34791,19 74 
34791,19 65 
34791,19 3 
35036,79 66 
35043,18 69 
35197,92 75 
35373,88 66 
35376,94 69 
38796,3 68 
41736,47 74 
41736,47 65 
41736,47 3 
41980,82 66 
41998,65 69 
42540,07 75 
42654,4 66 
42665,71 69 
44764,26 75 
44901,96 66 
44917,42 69 
45656,47 75 
46265,71 64 
46269,02 68 
46336,66 74 
46336,66 65 
46336,66 3 
46610,58 66 
46618,72 69 
47516,38 75 
47598,73 66 
47602,98 69 
50355,27 68 
52088,85 74 
52088,85 65 
52088,85 3 
52733,85 66 
52740,06 69 
56109,65 68 
56144,93 74 
56144,93 65 
56144,93 3 
57361,98 66 
57376,9 69 
57524,86 75 
57677,95 66 
57693,83 69 
58549,27 75 
58626,04 66 
58628,08 69 
60148,69 75 
60361,81 64 
60379,23 68 
62585,31 74 
62585,31 65 
62585,31 3 
63562,02 66 
63565,28 69 
63676,7 75 
63926,23 66 
63931,97 69 
64382,49 75 
64646,05 66 
64649,32 69 
65842,2 75 
66022,38 66 
66033,54 69 
66472,59 75 
66609,03 64 
66617,63 68 
66986,75 74 
66986,75 4 
67057,31 66 
67067,67 69 
67582,15 75 
67770,19 66 
67784,88 69 
68107,01 75 
68223,37 66 
68235,22 69 
69164,53 75 
69714,74 66 
69720 69 
71004,06 68 
71592,04 74 
71592,04 65 
71592,04 3 
72030,11 66 
72038,07 69 
75356,46 75 
75887,09 64 
75891,33 68 
76005,4 74 
76005,4 65 
76005,4 3 
76218,27 66 
76224,65 69 
76689,99 75 
77054,34 66 
77058,9 69 
80011,11 68 
83160,36 74 
83160,36 4 
83485,91 66 
83496,9 69 
87166,33 68 
90585,99 74 
90585,99 65 
90585,99 3 
91293,89 66 
91302,75 69 
94605,82 68 
96183,9 74 
96183,9 65 
96183,9 3 
96291,3 66 
96306,56 69 
100193,37 68 
101481,3 74 
101481,3 65 
101481,3 3 
101799,97 66 
101810,75 69 
105497,13 68 
114313,4 74 
114313,4 65 
114313,4 3 
114722 66 
114737,29 69 
115348,25 75 
115497,76 66 
115504,58 69 
117622,12 75 
118081,32 66 
118089,98 69 
118169,62 75 
118589,71 64 
118606,96 68 
119405,98 74 
119405,98 65 
119405,98 3 
119657,88 66 
119674,41 69 
123427,39 68 
125244,68 74 
125244,68 65 
125244,68 3 
126753,77 66 
126763,28 69 
128975,04 75 
129109,9 66 
129115,12 69 
129265,17 68 
130249,37 74 
130249,37 65 
130249,37 3 
131258,2 66 
131266,55 69 
131360,88 75 
131621,82 66 
131633,74 69 
132420,42 75 
132565,45 66 
132567,91 69 
132694,2 75 
132934,78 66 
132951,21 69 
133656,43 75 
133797,92 66 
133801,9 69 
134268,9 68 
135627,76 74 
135627,76 65 
135627,76 3 
135990,53 66 
136003,51 69 
136512,91 75 
136694,6 66 
136704,07 69 
137573,57 75 
137691,79 66 
137704,86 69 
139639,75 68 
142815,95 74 
142815,95 65 
142815,95 3 
143938,32 66 
143943,04 69 
146676,66 75 
147225,44 64 
147228,98 68 
147404,53 74 
147404,53 65 
147404,53 3 
147900,7 66 
147912,63 69 
151415,41 68 
152552,34 74 
152552,34 65 
152552,34 3 
153077,36 66 
153083,24 69 
156569,9 68 
162040,6 74 
162040,6 65 
162040,6 3 
162410,24 66 
162423,62 69 
166060,21 68 
175504,25 74 
175504,25 4 
176010,11 66 
176017,33 69 
176071,9 75 
177117,83 66 
177134,89 69 
179520,38 68 
180605,83 74 
180605,83 65 
180605,83 3 
181505,97 66 
181521,53 69 
184624,17 68 
191600,81 74 
191600,81 65 
191600,81 3 
191698,58 66 
191712,64 69 
195147,83 75 
195208,16 66 
195215,73 69 
195615,74 68 
195677,61 74 
195677,61 65 
195677,61 3 
195861,75 66 
195865,85 69 
199685,73 68 
200280,15 74 
200280,15 65 
200280,15 3 
200662,51 66 
200669,79 69 
201212,61 75 
201363,53 66 
201370,09 69 
202960,27 75 
203026,86 66 
203037,99 69 
203281,07 75 
203494,31 66 
203505,45 69 
203985,52 75 
204157,65 66 
204172,2 69 
204289,91 68 
204294,74 74 
204294,74 65 
204294,74 3 
204522,09 66 
204539,09 69 
205053,72 75 
205245,8 66 
205256,36 69 
205771,06 75 
205791,16 66 
205806,85 69 
206024,39 75 
206257,73 66 
206273,8 69 
206490,38 75 
206650,31 66 
206657,41 69 
206916,78 75 
207226,66 66 
207241,19 69 
207871,53 75 
208402,95 64 
208408,78 68 
208536,87 74 
208536,87 65 
208536,87 3 
208757,86 66 
208775,71 69 
209237,94 75 
209441,93 66 
209459,57 69 
212545,63 68 
213272,91 74 
213272,91 65 
213272,91 3 
214325,22 66 
214330,45 69 
214540,26 75 
214729,84 66 
214747,01 69 
217282,29 68 
217340,21 74 
217340,21 65 
217340,21 3 
217437,17 66 
217449,16 69 
221352,26 68 
223909,67 74 
223909,67 65 
223909,67 3 
224538,13 66 
224554,35 69 
225151,85 75 
225244,84 66 
225254,93 69 
227923,69 68 
241856,33 74 
241856,33 65 
241856,33 3 
242278,04 66 
242284,52 69 
243044,33 75 
243170,3 66 
243185,32 69 
245870,77 68 
246757,76 74 
246757,76 65 
