********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,24-Feb-21,Time,14:32
Core random seed,  530056255
*******************
Selected Configuration,  1
Session Type,  1
Moyenne Des Sessions,  40


7,77 201
7,77 150
7,77 179
1002,14 68 
2987,64 74 
2987,64 4 
3329,74 66 
3336,17 69 
5995,02 75 
6617,12 66 
6622,03 69 
6663,63 75 
7016,03 64 
7022,29 68 
7360,11 74 
7360,11 65 
7360,11 3 
7817,88 66 
7822,89 69 
11375,84 68 
14420,45 74 
14420,45 4 
14865,44 66 
14878,04 69 
14931,97 75 
15074,21 66 
15078,35 69 
15628,6 75 
16157,7 66 
16162,38 69 
16356,34 75 
17179,47 66 
17196,5 69 
18431,17 68 
36385,88 74 
36385,88 65 
36385,88 3 
36918,07 66 
36928,28 69 
37465,84 75 
37650,09 66 
37662,13 69 
40388,83 75 
41013,74 64 
41031,41 68 
41036,55 74 
41036,55 65 
41036,55 3 
42451,12 66 
42465,81 69 
42513,01 75 
42798,52 66 
42816,07 69 
45067,92 68 
46207,64 74 
46207,64 65 
46207,64 3 
47302,06 66 
47319,47 69 
47420,6 75 
47542,17 66 
47553 69 
47572,63 75 
47725,86 66 
47736,48 69 
50216,59 75 
50992,53 64 
51005,65 68 
51120,74 74 
51120,74 65 
51120,74 3 
51287,26 66 
51289,53 69 
51596,54 75 
53009,3 66 
53023,87 69 
55125,86 68 
56479,55 74 
56479,55 65 
56479,55 3 
57785,84 66 
57794,41 69 
60496,33 68 
60739,87 74 
60739,87 65 
60739,87 3 
61909,34 66 
61914,54 69 
61997,41 75 
62170,06 66 
62180,86 69 
62246,38 75 
62295,7 66 
62314,28 69 
64534,04 75 
65140,73 64 
65150,1 68 
65232,68 74 
65232,68 65 
65232,68 3 
65466,19 66 
65483,4 69 
66226,39 75 
66407,91 66 
66417,44 69 
66441,65 75 
66558,28 66 
66567,53 69 
69253,09 68 
70571,66 74 
70571,66 65 
70571,66 3 
71838,27 66 
71854,85 69 
74491,62 75 
75070,55 64 
75074,31 68 
75144,35 74 
75144,35 4 
75334,15 66 
75340,91 69 
75902,17 75 
76358,05 66 
76375,04 69 
76396,97 75 
76681,88 66 
76691,92 69 
76949,96 75 
77440,61 66 
77442,67 69 
77540,25 75 
77753,88 66 
77759,47 69 
78648,03 75 
79389,98 64 
79394,51 68 
80428,18 74 
80428,18 65 
80428,18 3 
81588,46 66 
81595,78 69 
84447,98 68 
94017,44 74 
94017,44 65 
94017,44 3 
94925,99 66 
94939,23 69 
97411,65 75 
97889,01 66 
97891,74 69 
97939,97 75 
98262,54 64 
98275,09 68 
100473,06 74 
100473,06 65 
100473,06 3 
101578,06 66 
101594,63 69 
104496,55 68 
105656,33 74 
105656,33 65 
105656,33 3 
106738,24 66 
106748,15 69 
109667,43 68 
110107,81 74 
110107,81 65 
110107,81 3 
111266,48 66 
111268,47 69 
114120,99 68 
114340,31 74 
114340,31 65 
114340,31 3 
115617,8 66 
115621,65 69 
116503,54 75 
116681,86 66 
116689,18 69 
117069,82 75 
117357,41 66 
117372,99 69 
117998,06 75 
118833,74 64 
118841,09 68 
119205,88 74 
119205,88 4 
119544,18 66 
119557,99 69 
119628,57 75 
120173,55 66 
120175,22 69 
120394,23 75 
120578,58 66 
120592,11 69 
120961,97 75 
121129,75 66 
121142,61 69 
121364,06 75 
121553,97 66 
121559,73 69 
121962,12 75 
122117,84 66 
122126,65 69 
122352,07 75 
122906,72 66 
122910,9 69 
123210,85 68 
124704,32 74 
124704,32 65 
124704,32 3 
125589,51 66 
125596,1 69 
128280,22 75 
128664,85 66 
128681,65 69 
128715,76 68 
128752,87 74 
128752,87 65 
128752,87 3 
129740,84 66 
129749,07 69 
129860,44 75 
129990,15 66 
129999,3 69 
131396,72 75 
131462,74 66 
131467,35 69 
132564,95 75 
133089,71 64 
133101,69 68 
133179,29 74 
133179,29 65 
133179,29 3 
133358,49 66 
133368,54 69 
134244,19 75 
134317 66 
134319,42 69 
134416,16 75 
134562,13 66 
134569,53 69 
136872,47 75 
137354,63 64 
137371,6 68 
137407,96 74 
137407,96 65 
137407,96 3 
137681,85 66 
137688,51 69 
138640,07 75 
138785,85 66 
138789,35 69 
139620,35 75 
139858,38 66 
139873,53 69 
140835,99 75 
141026,08 66 
141041,07 69 
141424,93 68 
141525,91 74 
