********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,22-Jan-21,Time,14:16
Core random seed,  1127309314
*******************
Selected Configuration,  1
Session Type,  2
Moyenne Des Sessions,  40


8,43 201
8,43 150
8,43 179
1001,9 68 
7335,32 74 
7335,32 65 
7335,32 3 
8182,52 66 
8190,12 69 
11341,99 68 
22783,76 74 
22783,76 65 
22783,76 3 
23381,94 66 
23384,62 69 
23698,57 75 
24589,92 66 
24602,09 69 
26803,93 68 
56733,84 74 
56733,84 65 
56733,84 3 
57745,31 66 
57760,68 69 
58057,12 75 
58378,18 66 
58394,54 69 
59895,66 75 
60045,28 66 
60062,56 69 
60308,65 75 
60453,52 66 
60462,79 69 
60564,14 75 
60790,07 64 
60796,68 68 
61340,18 74 
61340,18 65 
61340,18 3 
61489,21 66 
61496,93 69 
61964,5 75 
62281,88 66 
62297,56 69 
65350,06 68 
66115,08 74 
66115,08 65 
66115,08 3 
67133,28 66 
67151,21 69 
67288,07 75 
67448,91 66 
67452,1 69 
67932,22 75 
68101,95 66 
68118,67 69 
69272,07 75 
69494,02 66 
69503,04 69 
69739,33 75 
70002,08 66 
70020,1 69 
70120,3 68 
70296,47 74 
70296,47 65 
70296,47 3 
70553,89 66 
70570,54 69 
74306,85 68 
74548,55 74 
74548,55 65 
74548,55 3 
75050,95 66 
75057,56 69 
78560 68 
79828,78 74 
79828,78 65 
79828,78 3 
81069,08 66 
81078,49 69 
81232,46 75 
81425,87 66 
81429,05 69 
82416,83 75 
82557,41 66 
82563,2 69 
83622,95 75 
84279,8 64 
84280,91 68 
84377,64 74 
84377,64 65 
84377,64 3 
84574,7 66 
84581,21 69 
85136,64 75 
85278,4 66 
85281,75 69 
88384,26 68 
120436,57 74 
120436,57 65 
120436,57 3 
121494,14 66 
121509,35 69 
121540,44 75 
121810,31 66 
121826,29 69 
124445,34 68 
154374,59 74 
154374,59 65 
154374,59 3 
155054,02 66 
155068,34 69 
158387,81 68 
159740,15 74 
159740,15 65 
159740,15 3 
159783,29 66 
159788,67 69 
159926,02 75 
160756,21 66 
160772,9 69 
160984,8 75 
161145,24 66 
161156,6 69 
162373,26 75 
162609,86 66 
162624,42 69 
163424,34 75 
163675,37 66 
163691,58 69 
163758,32 68 
163984,69 74 
163984,69 4 
164209,01 66 
164225,3 69 
164584,86 75 
164718,52 66 
164725,78 69 
165648,33 75 
165729,68 66 
165743,15 69 
166098,36 75 
166393,89 66 
166410,32 69 
166631,68 75 
166914,74 66 
166927,44 69 
167229,93 75 
167597,73 66 
167611,3 69 
167870,23 75 
168070,29 64 
168078,28 68 
168432,51 74 
168432,51 65 
168432,51 3 
168729,11 66 
168745,45 69 
168945,85 75 
169526,84 66 
169529,92 69 
169684,03 75 
169797,39 66 
169812,97 69 
169883,75 75 
170082,66 66 
170096,48 69 
172448,75 68 
172976,03 74 
172976,03 65 
172976,03 3 
174157,33 66 
174166,23 69 
174276,7 75 
174767,05 66 
