********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,12-Feb-21,Time,14:29
Core random seed,  2088813403
*******************
Selected Configuration,  1
Session Type,  5
Moyenne Des Sessions,  40


27,57 201
27,57 150
27,57 179
1001,77 68 
2994,97 74 
2994,97 65 
2994,97 3 
3928,9 66 
3936,55 69 
6339,39 75 
6952,03 66 
6955,36 69 
7005,41 68 
7091,62 74 
7091,62 4 
7296,91 66 
7305,5 69 
7567,4 75 
7740,32 66 
7756,03 69 
8418,3 75 
8660,7 66 
8673,26 69 
8927,71 75 
8992,32 66 
9006,83 69 
11108,51 68 
19814,85 74 
19814,85 4 
20404,81 66 
20415,62 69 
20479,33 75 
20664,68 66 
20682,39 69 
21346,7 75 
21416,81 66 
21432,97 69 
21708,31 75 
21952,55 66 
21966,71 69 
22424,13 75 
22538,05 66 
22550,48 69 
23835,22 68 
27628,86 74 
27628,86 65 
27628,86 3 
28496,65 66 
28504,98 69 
28518 75 
28633,86 66 
28639,13 69 
28725,11 75 
28893,77 66 
28905,34 69 
30583,47 75 
31053,81 66 
31057,15 69 
31119,43 75 
31412,8 66 
31424,02 69 
31641,29 68 
31810,83 74 
31810,83 65 
31810,83 3 
32082,02 66 
32091,11 69 
35083,43 75 
35477,61 66 
35493,68 69 
35567,35 75 
35748,6 66 
35760,56 69 
35827,35 68 
36115,12 74 
36115,12 65 
36115,12 3 
36995,22 66 
37011,43 69 
37123,08 75 
37149,18 66 
37161,94 69 
40130,58 68 
40967,34 74 
40967,34 4 
41549,32 66 
41564,92 69 
41648,62 75 
41832,58 66 
41848,5 69 
42228,91 75 
42304,63 66 
42315,52 69 
42635,51 75 
42776,54 66 
42782,56 69 
43196,78 75 
43479,47 66 
43483,88 69 
43591,27 75 
43976,41 66 
43983,51 69 
44067,25 75 
44188,97 66 
44200,3 69 
44984,53 68 
45966,9 74 
45966,9 65 
45966,9 3 
46116,53 66 
46118,78 69 
49988,29 68 
50734,64 74 
50734,64 65 
50734,64 3 
51792,94 66 
51806,08 69 
54741,74 68 
55047,23 74 
55047,23 65 
55047,23 3 
55925,53 66 
55942,84 69 
59061,73 68 
62975,4 74 
62975,4 65 
62975,4 3 
63792,54 66 
63798,61 69 
66984,61 68 
79839,39 74 
79839,39 65 
79839,39 3 
80854,13 66 
80861,65 69 
83702,6 75 
84198,46 64 
84214,12 68 
84339,11 74 
84339,11 4 
84580,7 66 
84597,72 69 
84925,08 75 
85251,94 66 
85264,94 69 
85413,7 75 
85580,66 66 
