********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,04-Feb-21,Time,15:31
Core random seed,  1170598432
*******************
Selected Configuration,  1
Session Type,  5
Moyenne Des Sessions,  40


10,49 201
10,49 150
10,49 179
1002,05 68 
2855,96 74 
2855,96 4 
2962,96 66 
2969,15 69 
3142,67 75 
4207,02 66 
4219,91 69 
5278,91 75 
5974,39 66 
5987,91 69 
6872,19 68 
8074,54 74 
8074,54 65 
8074,54 3 
9549,61 66 
9557,26 69 
9714,6 75 
10638,63 66 
10641,59 69 
11433,99 75 
11691,04 66 
11692,25 69 
12092,76 68 
12098,33 74 
12098,33 65 
12098,33 3 
12242,83 66 
12259,33 69 
12304,74 75 
12398,78 66 
12409,48 69 
12437,33 75 
13500,02 66 
13510,34 69 
15472,97 75 
15890,4 66 
15896,14 69 
15920,69 75 
16242,6 64 
16246,41 68 
16666,8 74 
16666,8 65 
16666,8 3 
17010,51 66 
17013,22 69 
17186,64 75 
17259,05 66 
17263,35 69 
17322,56 75 
17992,12 66 
17997,3 69 
20682,91 68 
23834,64 74 
23834,64 65 
23834,64 3 
24190,7 66 
24202 69 
26782,11 75 
27034,43 66 
27037,44 69 
27130,49 75 
27218,33 66 
27221,01 69 
27277,49 75 
27606,77 66 
27621,08 69 
27805,08 75 
27970,39 64 
27988,08 68 
28522,68 74 
28522,68 65 
28522,68 3 
28778,2 66 
28788,64 69 
28946,66 75 
29026,57 66 
29038,84 69 
31742,88 75 
32520,72 66 
32525,31 69 
32558,39 68 
32586,59 74 
32586,59 65 
32586,59 3 
32830,65 66 
32841,91 69 
33458,31 75 
33606,31 66 
33609,11 69 
33843,03 75 
33902,49 66 
33909,28 69 
34777,34 75 
34902,77 66 
34910,25 69 
35462,37 75 
35590,9 66 
35593,93 69 
35962,68 75 
36207,06 66 
36211,09 69 
36313,53 75 
36438,91 66 
36444,8 69 
36594,86 68 
36898,33 74 
36898,33 65 
36898,33 3 
37206,79 66 
37212,51 69 
37294,82 75 
37534,63 66 
37545,6 69 
37965,47 75 
38107,48 66 
38112,83 69 
38788,55 75 
38958,26 66 
38963,38 69 
39418,89 75 
39501,68 66 
39513,92 69 
39873,4 75 
40022,46 66 
40030,55 69 
40610,47 75 
40822,81 66 
40831,16 69 
40915,35 68 
41565,24 74 
41565,24 65 
41565,24 3 
42322,52 66 
42332,29 69 
45585,01 68 
50393,89 74 
50393,89 65 
50393,89 3 
51353,4 66 
51356,18 69 
51395,46 75 
51558,55 66 
51572,69 69 
54120,7 75 
54586,29 64 
54591,97 68 
54684,84 74 
54684,84 65 
54684,84 3 
54850,54 66 
54858,54 69 
55744,66 75 
55817,43 66 
55826 69 
55932,89 75 
56066,43 66 
56076,11 69 
58052,9 75 
58266,41 66 
58278,05 69 
58695,05 68 
58987,2 74 
58987,2 4 
59360,14 66 
59362,26 69 
60323,58 75 
60438,39 66 
60446,5 69 
60537,93 75 
60631,16 66 
60646,57 69 
60708,75 75 
60890,84 66 
60896,62 69 
62490,35 75 
63410,8 64 
63415,71 68 
63671,4 74 
63671,4 65 
63671,4 3 
64414,42 66 
64416,12 69 
67395,21 75 
67814,55 64 
67835,13 68 
67941,5 74 
67941,5 65 
67941,5 3 
68130,55 66 
68135,52 69 
69744,54 75 
70068,24 66 
70070,33 69 
70174,52 75 
70475,49 66 
70487,16 69 
70585,67 75 
70998,66 66 
71004,29 69 
71116,53 75 
71230,36 66 
71237,69 69 
71332,82 75 
71418,1 66 
71421,28 69 
71525 75 
72367,49 64 
72372,3 68 
72452,58 74 
72452,58 65 
72452,58 3 
73550,49 66 
73556,22 69 
74409,46 75 
74518,91 66 
74523,83 69 
74828,72 75 
74890,7 66 
74907,17 69 
75288,18 75 
75499,27 66 
75507,61 69 
76366,39 75 
76801,58 64 
76808,67 68 
78344,77 74 
78344,77 65 
78344,77 3 
78470,43 66 
78476,63 69 
78829,5 75 
78974,79 66 
78977,31 69 
82362,93 68 
82606,58 74 
82606,58 65 
82606,58 3 
83114,24 66 
83130,03 69 
83253 75 
83350,5 66 
83363,82 69 
83877,38 75 
84008,2 66 
84014,39 69 
84782,09 75 
84858,32 66 
84864,8 69 
85161,16 75 
85279,44 66 
85282,21 69 
86194,35 75 
86269,83 66 
86282,49 69 
86512,92 75 
86610,53 66 
86616,1 69 
86649,73 68 
86733,1 74 
86733,1 65 
86733,1 3 
86935,34 66 
86949,61 69 
89778,55 75 
90139,07 66 
90152,12 69 
90300,83 75 
90414,34 66 
90419,16 69 
90752,68 68 
91176,98 74 
91176,98 65 
91176,98 3 
92027,33 66 
92036,83 69 
93161,08 75 
93633,86 66 
93638,36 69 
94605,22 75 
95150,63 66 
95156,31 69 
95189,4 68 
95281,37 74 
95281,37 65 
95281,37 3 
95418,65 66 
95422,83 69 
95958,25 75 
96065,9 66 
96073,28 69 
96289,78 75 
96391,87 66 
96406,88 69 
98393,39 75 
98747,63 66 
98758,66 69 
98829,55 75 
99070,36 66 
99075,66 69 
99292,59 68 
99706,71 74 
99706,71 65 
99706,71 3 
99769,69 66 
99776,15 69 
100090,26 75 
100650,81 66 
100660,11 69 
101593,16 75 
101666,63 66 
101677,96 69 
103514,01 75 
103946,67 64 
103963,02 68 
104062,04 74 
104062,04 65 
104062,04 3 
104246,94 66 
104263,11 69 
105220,85 75 
105397,91 66 
105413,75 69 
107964,57 75 
108294,71 64 
108299,63 68 
108413,52 74 
108413,52 65 
108413,52 3 
108542,51 66 
108549,53 69 
109208,87 75 
109330,44 66 
109333,61 69 
109505,44 75 
109590,65 66 
109600,26 69 
109681,01 75 
109774,32 66 
109783,73 69 
110090,58 75 
110134,47 66 
110150,7 69 
110192,82 75 
110283,24 66 
110300,78 69 
110361,12 75 
110438,5 66 
110450,91 69 
110802,32 75 
110958,36 66 
110967,97 69 
111826,58 75 
111922,19 66 
111935,38 69 
112293,93 75 
112402,36 66 
112419,09 69 
112436,09 68 
112533,59 74 
112533,59 65 
112533,59 3 
112658,61 66 
112669,2 69 
113297,04 75 
113577,57 66 
113586,74 69 
114341 75 
114570,29 66 
114587,49 69 
116539,02 68 
116952,76 74 
116952,76 4 
117317,98 66 
117322,99 69 
117421,19 75 
117566,23 66 
117573,02 69 
118415,75 75 
118646,32 66 
118657,18 69 
120959,1 68 
124350,28 74 
124350,28 65 
124350,28 3 
124374,72 66 
124378,26 69 
124534,74 75 
124714,64 66 
124728,56 69 
126842,72 75 
127223,24 66 
127230,66 69 
127284,22 75 
127490,31 66 
127497,27 69 
127954,92 75 
128183,48 66 
128197,8 69 
128364,61 68 
128388,38 74 
128388,38 65 
128388,38 3 
128666,66 66 
128681,47 69 
131857,87 75 
132286,77 66 
132300,92 69 
132401,14 68 
134064,71 74 
134064,71 65 
134064,71 3 
135010,59 66 
135019,59 69 
135201,12 75 
135302,11 66 
135303,14 69 
135394,05 75 
135466,24 66 
135470 69 
138072,28 68 
138286,07 74 
138286,07 65 
138286,07 3 
138649,86 66 
138655,76 69 
138765,42 75 
138922,34 66 
138939,3 69 
142292,22 68 
142925,14 74 
142925,14 65 
142925,14 3 
143126,45 66 
143142,45 69 
143534,31 75 
143670,32 66 
143676,33 69 
144944,78 75 
145067,27 66 
145077,32 69 
145288,6 75 
145531,58 66 
145544,41 69 
145712,25 75 
145946,4 66 
145961,38 69 
146092,69 75 
146298,47 66 
146311,74 69 
146740,59 75 
146874,54 66 
146878,82 69 
146945,59 68 
147033,36 74 
147033,36 65 
147033,36 3 
147334,32 66 
147346,55 69 
147410,35 75 
147691,23 66 
147696,4 69 
148437,38 75 
148522,31 66 
148530,41 69 
149309,52 75 
149426,28 66 
149430,74 69 
151000,64 75 
151529,87 64 
151532,79 68 
151728,35 74 
151728,35 65 
151728,35 3 
151814,56 66 
151815,72 69 
154501,08 75 
154842,11 66 
154851,46 69 
155735,7 68 
156109,27 74 
156109,27 65 
156109,27 3 
157045,68 66 
157053,13 69 
157189,35 75 
157366,3 66 
157370,01 69 
158504,5 75 
159223,79 66 
159238,12 69 
159378,12 75 
160421,48 64 
160439,04 68 
160536,9 74 
160536,9 65 
160536,9 3 
161261,85 66 
161273,07 69 
161689,16 75 
162002,52 66 
162007,23 69 
162240,73 75 
162338,47 66 
162340,69 69 
164145,47 75 
164246,36 66 
164258,77 69 
164542,72 68 
165829,14 74 
165829,14 4 
166376,39 66 
166393,53 69 
169689,73 75 
170202,69 64 
170213,48 68 
170360,6 74 
170360,6 65 
170360,6 3 
170522,68 66 
170530,06 69 
174100,68 75 
174526,22 64 
174533,38 68 
174633,03 74 
174633,03 65 
174633,03 3 
174790,31 66 
174799,97 69 
175799,31 75 
175999,43 66 
176000,86 69 
177903,97 75 
178058,22 66 
178069,13 69 
178653,2 68 
178906,49 74 
178906,49 65 
178906,49 3 
179014,78 66 
179019,98 69 
179758,1 75 
179810,53 66 
179820,51 69 
182923 68 
185046,73 74 
185046,73 65 
185046,73 3 
185658,25 66 
185674,88 69 
185682,71 75 
185983,22 66 
185991,93 69 
186112,54 75 
186302,33 66 
186308,74 69 
186453,21 75 
186591,46 66 
186608,99 69 
188698,45 75 
188930,87 66 
188944,2 69 
189061,4 68 
189202,2 74 
189202,2 65 
189202,2 3 
189538,37 66 
189544,56 69 
192157,04 75 
192342,16 66 
192346,89 69 
192714,38 75 
192830,48 66 
192847,07 69 
193214,11 68 
194189,79 74 
194189,79 65 
194189,79 3 
194354,3 66 
194364,84 69 
195302,54 75 
195490,62 66 
195499,09 69 
195736,99 75 
195877,84 66 
195883,48 69 
196258,36 75 
196362,57 66 
196366,46 69 
196779,56 75 
196954,26 66 
196966,89 69 
197197,65 75 
197274,33 66 
197283,78 69 
197584,69 75 
197770,44 66 
197784,16 69 
197909,67 75 
198146,34 66 
198151,26 69 
198218,5 68 
198974,19 74 
198974,19 65 
198974,19 3 
199279,38 66 
199285,29 69 
199396,3 75 
199557,41 66 
199568,9 69 
199798,21 75 
199902,74 66 
199919,12 69 
201910,51 75 
202317,85 66 
202321,09 69 
202988,32 68 
204690,1 74 
204690,1 65 
204690,1 3 
205294,25 66 
205306,52 69 
208709,2 68 
209846,39 74 
209846,39 4 
210186,18 66 
210193,6 69 
210336,67 75 
210542,41 66 
210543,84 69 
210914,59 75 
211258,16 66 
211261,42 69 
211448,93 75 
211566,51 66 
211578,13 69 
211597,8 75 
211765,85 66 
211778,26 69 
213863,24 68 
216260,48 74 
216260,48 4 
216766,95 66 
216781,95 69 
216909,1 75 
217170,26 66 
217182,35 69 
217406,46 75 
217837,42 66 
217849,48 69 
217932,73 75 
218018,58 66 
218032,93 69 
218130,54 75 
218202,41 66 
218216,42 69 
220268,15 68 
226473,19 74 
226473,19 65 
226473,19 3 
226854,04 66 
226856,4 69 
229373,21 75 
229686,36 66 
229691,97 69 
229845,88 75 
230022,14 66 
230025,42 69 
230398,28 75 
230821,77 64 
230826,44 68 
231993,4 74 
231993,4 65 
231993,4 3 
232106,21 66 
232110,62 69 
232513,13 75 
232714,23 66 
232727,54 69 
232728,26 75 
232986,64 66 
232994,43 69 
235152,66 75 
235506,04 66 
235512,94 69 
235598,71 75 
235779,4 66 
235796,75 69 
236013,34 68 
236294,19 74 
236294,19 65 
236294,19 3 
236493,3 66 
236497,43 69 
236606,23 75 
236707,89 66 
236713,91 69 
236774,18 75 
237225,72 66 
237231,26 69 
240299,94 68 
242209,35 74 
242209,35 65 
242209,35 3 
242890,58 66 
242901,88 69 
242972,47 75 
243194,09 66 
243202,15 69 
243270,45 75 
243387,33 66 
243402,31 69 
246045,16 75 
246186,43 66 
246187,77 69 
246222,02 68 
246392,34 74 
246392,34 65 
246392,34 3 
246618,28 66 
246621,44 69 
247030,31 75 
247135,18 66 
247138,48 69 
250264,75 75 
250438,22 64 
250441,46 68 
250608,44 74 
250608,44 65 
250608,44 3 
250738,26 66 
250741,33 69 
254180,56 75 
254324,9 66 
254327,61 69 
254432,69 75 
254570,89 66 
254577,56 69 
254627,69 68 
254667,83 74 
254667,83 65 
254667,83 3 
254878,56 66 
254894,37 69 
255005,84 75 
255194,23 66 
255211,38 69 
255538,21 75 
255980,07 66 
255995,51 69 
256166,49 75 
256267,51 66 
256278,99 69 
258365,03 75 
258437,56 66 
258447,26 69 
258545,27 75 
258778,18 64 
258781,11 68 
259033,06 74 
259033,06 65 
259033,06 3 
259194,48 66 
259197,78 69 
260116,44 75 
260218,39 66 
260231,8 69 
263050,83 68 
264465,29 74 
264465,29 65 
264465,29 3 
265246,87 66 
265252,36 69 
268471,51 68 
268929,14 74 
268929,14 65 
268929,14 3 
269291,15 66 
269305,38 69 
270724,77 75 
270790,44 66 
270806,62 69 
272958,27 68 
275641,15 74 
275641,15 4 
276169,69 66 
276177,23 69 
276316,36 75 
276542,44 66 
276544,46 69 
276790,38 75 
276899,26 66 
276911,25 69 
277293,37 75 
277525,81 66 
277528,95 69 
279646,63 68 
282748,84 74 
282748,84 65 
282748,84 3 
283554,14 66 
283566,21 69 
286768,72 68 
288276,8 74 
288276,8 65 
288276,8 3 
289383,21 66 
289387,44 69 
291792,25 75 
292174,63 66 
292189,48 69 
292289,74 68 
292295,35 74 
292295,35 65 
292295,35 3 
292479,85 66 
292489,65 69 
292834,4 75 
293001,9 66 
293007,13 69 
293131,7 75 
293191,56 66 
293206,94 69 
296326,24 68 
300886,56 74 
300886,56 65 
300886,56 3 
300974,2 66 
300979,83 69 
303825,06 75 
304111,32 66 
304115,28 69 
304255,16 75 
304382,04 66 
304398,79 69 
304899,2 68 
305152,44 74 
305152,44 65 
305152,44 3 
305310,33 66 
305316,35 69 
306337,12 75 
306437,32 66 
306450,36 69 
308473,03 75 
308682,46 66 
308685,8 69 
309022,02 75 
309345,73 64 
309352,76 68 
309432,89 74 
309432,89 65 
309432,89 3 
309550,32 66 
309553,02 69 
310054,68 75 
310378,07 66 
310386,7 69 
310526,36 75 
310643,69 66 
310653,58 69 
312469,11 75 
312614,85 66 
312621,79 69 
313377,21 75 
313686,51 64 
313689,8 68 
313804,73 74 
313804,73 65 
313804,73 3 
314026,67 66 
314039,47 69 
314182,3 75 
314374,48 66 
314389,79 69 
314429,3 75 
314737,68 66 
314740,22 69 
316841,16 75 
316958,63 66 
316975,05 69 
317568,76 75 
317722,66 66 
317742,31 69 
317826,06 68 
318023,93 74 
318023,93 65 
318023,93 3 
318215,01 66 
318225,98 69 
318308,57 75 
318446,59 66 
318459,52 69 
319260,58 75 
320154,23 66 
320160,97 69 
322029,01 68 
324920,54 74 
324920,54 65 
324920,54 3 
325647,39 66 
325664,95 69 
328934,64 68 
329740,94 74 
329740,94 65 
329740,94 3 
330663,33 66 
330668,89 69 
330909,09 75 
331037,51 66 
331052,44 69 
331837,02 75 
331953,76 66 
331969,83 69 
332812,16 75 
333002,88 66 
333020,67 69 
333573,22 75 
333666,53 66 
333671,39 69 
333718,17 75 
333903,09 64 
333904,75 68 
334052,62 74 
334052,62 65 
334052,62 3 
334202,07 66 
334204,98 69 
334631,31 75 
334726,75 66 
334738,62 69 
336314,48 75 
336426,5 66 
336439,91 69 
337166,56 75 
337266,78 66 
337274 69 
337710,24 75 
337846,29 66 
337858,02 69 
338057,96 68 
338106,32 74 
338106,32 65 
338106,32 3 
338242,34 66 
338257,9 69 
338862,17 75 
339078,62 66 
339091,95 69 
339257,99 75 
339422,57 66 
339425,58 69 
339660,64 75 
339758,07 66 
339775,76 69 
340508,33 75 
340597,48 66 
340609,74 69 
342128,08 68 
342297,62 74 
342297,62 65 
342297,62 3 
342357,42 66 
342361,06 69 
342456,28 75 
342726,5 66 
342744,77 69 
342904,86 75 
343114,5 66 
343128,53 69 
343362,65 75 
343547,11 66 
343562,17 69 
343806,59 75 
343949,72 66 
343962,64 69 
344424,53 75 
344522,04 66 
344529,74 69 
345366,09 75 
345502,09 66 
345514,38 69 
346129,38 75 
346331,09 64 
346347,46 68 
346470,25 74 
346470,25 65 
346470,25 3 
346534,32 66 
346547,6 69 
346566,87 75 
346677,82 66 
346681,18 69 
350484,22 68 
351113,16 74 
351113,16 65 
351113,16 3 
351279,27 66 
351284,75 69 
355121,13 68 
359328,25 74 
359328,25 65 
359328,25 3 
359638,68 66 
359641 69 
363344,02 68 
363504,89 74 
363504,89 65 
363504,89 3 
364381,47 66 
364394,54 69 
365876,51 75 
366190,26 66 
366196,09 69 
366356,98 75 
366554,15 66 
366563,17 69 
366878,25 75 
367194,93 66 
367196,65 69 
367322,24 75 
367550,21 64 
367563,84 68 
367856,13 74 
367856,13 4 
368130,22 66 
368147,41 69 
368272,9 75 
368367,45 66 
368380,91 69 
368441,97 75 
368510,33 66 
368514,57 69 
369093,57 75 
369326,41 66 
369331,95 69 
369634,21 75 
369998,77 66 
370015,51 69 
370100,47 75 
370402 66 
370415,84 69 
370487,62 75 
370926,16 66 
370932,97 69 
371166,1 75 
371263,35 66 
371266,49 69 
371867,09 68 
372432,72 74 
372432,72 65 
372432,72 3 
372810,53 66 
372818,79 69 
373562,02 75 
373686,39 66 
373701,71 69 
373829,58 75 
373934,39 66 
373951,9 69 
375852,8 75 
376042,01 66 
376053,77 69 
376454,01 68 
376601,28 74 
376601,28 65 
376601,28 3 
376822,06 66 
376837,32 69 
377176,74 75 
377676,01 66 
377688,01 69 
379472,51 75 
379595,49 66 
379606,27 69 
380304,72 75 
380458,11 66 
380473,48 69 
380606,95 68 
380877,35 74 
380877,35 65 
380877,35 3 
381355,13 66 
381357,71 69 
382020,69 75 
382122,37 66 
382124,92 69 
383762,07 75 
383822,65 66 
383826,36 69 
384420,86 75 
384808,16 66 
384810,52 69 
384893,8 68 
384918,31 74 
384918,31 65 
384918,31 3 
385142,11 66 
385143,87 69 
385680,47 75 
385827,04 66 
385844,35 69 
386350,06 75 
386628,98 66 
386645,03 69 
388929,94 68 
389293,71 74 
389293,71 65 
389293,71 3 
389925,92 66 
389930,83 69 
393256,44 75 
393673,75 64 
393683,56 68 
393836,79 74 
393836,79 65 
393836,79 3 
393973,91 66 
393983,76 69 
394594,77 75 
394750,77 66 
394767,72 69 
395183,25 75 
395314,7 66 
395318,17 69 
396490,18 75 
396574,28 66 
396586,03 69 
397424,39 75 
397814,62 66 
397820,27 69 
397853,97 68 
399420,8 74 
399420,8 65 
399420,8 3 
400376,92 66 
400388,61 69 
400588,15 75 
400734,54 66 
400739,42 69 
403441,17 68 
404113,33 74 
404113,33 65 
404113,33 3 
404684,41 66 
404691,95 69 
404817,88 75 
404970,15 66 
404975,69 69 
407817,96 75 
407918,27 66 
407927,84 69 
408047,49 202
408047,49 155
408047,49 175
409046,03 68 
409052,14 74 
409052,14 4 
409146,14 66 
409162,19 69 
409290,8 75 
409422,11 66 
409429,22 69 
411492,48 75 
411830,65 66 
411847,53 69 
411986,27 75 
412158,1 66 
412164,31 69 
412500,74 75 
412570,13 66 
412581,57 69 
413081,75 68 
414564,74 74 
414564,74 4 
414770,53 66 
414782,91 69 
417702,38 75 
417978,59 66 
417985,47 69 
418569,37 68 
425937,24 74 
425937,24 65 
425937,24 3 
426554,05 66 
426558,76 69 
429944,73 68 
430800,84 74 
430800,84 4 
431176,04 66 
431178,97 69 
434782,57 75 
435381,69 64 
435398,71 68 
435460,67 74 
435460,67 4 
435682,99 66 
435698,92 69 
439468,64 68 
440540,63 74 
440540,63 4 
441182,72 66 
441186,44 69 
444493,47 75 
444822,44 64 
444839,22 68 
451940,82 74 
451940,82 65 
451940,82 3 
452258,03 66 
452261,59 69 
452445,2 65 
452445,2 1 
455947,79 68 
464277,09 74 
464277,09 65 
464277,09 3 
464614,29 66 
464620,98 69 
465797,52 75 
465914,27 66 
465921,99 69 
467228,54 75 
467782,59 66 
467790,04 69 
468290,69 68 
468468,38 74 
468468,38 65 
468468,38 3 
468995,81 66 
469007,59 69 
472477,16 68 
481545,1 65 
481545,1 1 
484677,03 74 
484677,03 65 
484677,03 3 
485398 66 
485403,52 69 
485770,38 75 
485898,22 66 
485903,88 69 
487937,24 75 
488348,24 66 
488355,77 69 
488476,7 75 
488678 66 
488689,77 69 
488706,22 68 
489091,2 74 
489091,2 4 
489439,04 66 
489456,54 69 
489554,04 75 
489738,01 66 
489740,2 69 
490042,01 75 
490407,1 66 
490423,96 69 
490470,22 75 
490614,03 66 
490624,13 69 
490957,89 75 
491233,74 66 
491241,45 69 
491308,49 75 
491499,4 66 
491508,15 69 
491750,17 75 
492482,94 66 
492492,21 69 
493109,53 68 
493517,08 74 
493517,08 4 
493558,34 66 
493576,32 69 
497245,11 65 
497245,11 1 
497529,46 68 
497861,95 74 
497861,95 4 
498208,78 66 
498213,41 69 
501753,14 75 
502127,64 64 
502133,12 68 
502330,37 74 
502330,37 4 
502553,98 66 
502566,57 69 
502874,04 75 
503089,98 66 
503100,37 69 
503578,95 75 
503906,91 66 
503917,59 69 
503984,97 75 
504169,99 66 
504184,49 69 
506336,44 68 
508253,9 74 
508253,9 65 
508253,9 3 
509095,11 66 
509104,89 69 
509536,76 75 
509737,31 66 
509738,62 69 
