********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,26-Jan-21,Time,12:57
Core random seed,  192462185
*******************
Selected Configuration,  1
Session Type,  4
Moyenne Des Sessions,  40


8,33 201
8,33 150
8,33 179
1001,88 68 
26254,84 74 
26254,84 65 
26254,84 3 
27601,38 66 
27604,68 69 
30273,36 68 
60427,15 74 
60427,15 65 
60427,15 3 
61384,93 66 
61396,84 69 
61451,69 75 
61574,18 66 
61580,34 69 
62767,76 75 
62929,12 66 
62931,61 69 
63235,52 75 
63288,38 66 
63298,3 69 
63567,3 75 
63668,71 66 
63681,93 69 
63719,31 75 
64200,03 66 
64215,74 69 
64375,08 75 
64616,48 64 
64632,68 68 
65619,79 74 
65619,79 65 
65619,79 3 
65756,13 66 
65766,89 69 
66208,01 75 
66484,33 66 
66500,89 69 
69636,59 68 
106775,38 74 
106775,38 65 
106775,38 3 
107661,64 66 
107665,47 69 
108023,54 75 
108156,06 66 
108165,94 69 
110784,72 68 
110931,12 74 
110931,12 4 
111464,59 66 
111468,44 69 
111543,36 75 
111965,72 66 
111968,96 69 
112651,82 75 
112881,51 66 
112887,06 69 
113792,37 75 
114202,01 66 
114203,9 69 
114937,76 68 
116010,91 74 
116010,91 65 
116010,91 3 
117036,06 66 
117039,3 69 
117280,78 75 
117456,26 66 
117472,97 69 
120025,11 68 
120242,97 74 
120242,97 65 
120242,97 3 
121248,65 66 
121259,15 69 
121391,82 75 
121506,21 66 
121509,44 69 
122147,97 75 
122205,71 66 
122210,28 69 
123095,03 75 
123209,29 66 
123210,76 69 
123695,32 75 
123776,25 66 
123777,82 69 
124171,25 75 
124304,95 64 
124311,7 68 
125414,78 74 
125414,78 65 
125414,78 3 
125588,96 66 
125595,85 69 
126751,27 75 
126920,73 66 
126930,2 69 
128998,76 75 
129237,19 66 
129248,64 69 
129432,33 68 
129491,97 74 
129491,97 65 
129491,97 3 
129632,93 66 
129648,88 69 
130479,66 75 
130554,45 66 
130566,32 69 
133501,9 68 
133923,32 74 
133923,32 65 
133923,32 3 
134220,75 66 
134236,05 69 
137715,27 75 
138270,07 64 
138272,15 68 
141411,5 74 
141411,5 65 
141411,5 3 
