********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,10-Feb-21,Time,14:14
Core random seed,  939946524
*******************
Selected Configuration,  1
Session Type,  3
Moyenne Des Sessions,  40


12,46 201
12,46 150
12,46 179
1001,68 68 
4865,21 74 
4865,21 65 
4865,21 3 
6087,7 66 
6104,98 69 
8861,6 75 
9527,06 64 
9540,56 68 
9621,98 74 
9621,98 65 
9621,98 3 
9811,15 66 
9824,09 69 
10189,16 75 
10299,55 66 
10307,77 69 
10338,46 75 
10703,3 66 
10708,35 69 
13627,37 68 
14882,49 74 
14882,49 4 
15516,52 66 
15528,38 69 
15634 75 
15819,13 66 
15828,71 69 
16151,4 75 
17187,13 66 
17196,36 69 
17523,34 75 
17775,19 66 
17780,26 69 
18171,31 75 
18591,26 66 
18597,44 69 
18897,91 68 
19415,43 74 
19415,43 65 
19415,43 3 
20471,25 66 
20482,15 69 
23434,95 68 
25475,41 74 
25475,41 65 
25475,41 3 
26435,47 66 
26453,39 69 
29489,14 68 
30865,98 74 
30865,98 65 
30865,98 3 
32007,28 66 
32024,29 69 
34876,68 68 
42256,22 74 
42256,22 65 
42256,22 3 
42391,5 66 
42398,87 69 
43521,5 75 
43787,18 66 
43800 69 
46268,82 68 
46417,76 74 
46417,76 65 
46417,76 3 
47416,17 66 
47419,47 69 
47503,43 75 
47683,5 66 
47686,5 69 
48003,37 75 
48055,73 66 
48070 69 
48413,8 75 
48491,49 66 
48503,58 69 
48801,81 75 
48927,19 66 
48937,28 69 
49343,16 75 
49543,24 66 
49554,96 69 
49763,17 75 
49927,42 66 
49938,19 69 
50279,16 75 
50427,7 66 
50439,17 69 
50472,08 68 
50743,89 74 
50743,89 65 
50743,89 3 
51003,57 66 
51005,74 69 
51061,4 75 
51280,14 66 
51289,32 69 
51609,87 75 
51699,53 66 
51706,36 69 
54477,62 75 
54911,25 64 
54925,26 68 
55009,58 74 
55009,58 65 
55009,58 3 
55271,44 66 
55275,51 69 
55633,98 75 
55883,35 66 
55892,63 69 
58237,88 75 
58600,02 66 
58611,31 69 
58655,31 75 
58875,14 66 
58878,2 69 
59028,55 68 
59175,44 74 
59175,44 4 
59471,31 66 
59478,59 69 
59550,66 75 
59823,14 66 
59828,97 69 
60159,72 75 
60602,85 66 
60612,88 69 
60698,53 75 
60879,06 66 
60896,38 69 
61159,66 75 
61523,28 66 
61530,19 69 
63181,73 68 
63618,43 74 
63618,43 65 
63618,43 3 
64534,86 66 
64549,14 69 
64662,3 75 
64770,8 66 
64782,67 69 
64805,53 75 
64891,7 66 
64899,43 69 
67635,26 68 
68286,35 74 
68286,35 65 
68286,35 3 
69326,49 66 
69336,11 69 
69450,05 75 
69631,2 66 
69636,52 69 
70019,29 75 
70123,2 66 
70136,77 69 
70342,6 75 
70679,34 66 
70687,18 69 
70853,69 75 
71019,38 66 
71020,85 69 
71483,2 75 
71523,77 66 
71537,87 69 
71790,94 75 
71967,3 66 
71971,65 69 
72305,29 68 
72359,2 74 
72359,2 65 
72359,2 3 
72630,96 66 
72638,98 69 
72717,43 75 
73035,36 66 
73038,97 69 
73650,58 75 
73787,12 66 
73789,87 69 
74139,19 75 
74295,41 66 
74306,88 69 
75777,67 75 
76243,03 66 
76258,09 69 
76341,62 75 
76519,8 64 
76524,99 68 
76936,04 74 
76936,04 65 
76936,04 3 
77371,86 66 
77375,84 69 
77474,72 75 
77798,7 66 
77809,29 69 
79906,25 75 
80366,15 66 
80377,91 69 
80477,57 75 
80683,26 66 
80694,97 69 
80945,54 68 
81589,94 74 
81589,94 65 
81589,94 3 
81664,92 66 
81678,85 69 
82665,6 75 
82767,38 66 
82779,73 69 
83630,04 75 
83739,36 66 
83747,16 69 
85126,78 75 
85666,99 64 
85682,04 68 
85750,04 74 
85750,04 65 
85750,04 3 
85963,18 66 
85965,88 69 
86954,81 75 
86988,06 66 
86999,68 69 
89768,71 68 
89958,47 74 
89958,47 65 
89958,47 3 
90931,22 66 
90936,45 69 
93330,38 75 
93650,99 66 
93654,83 69 
93923,16 75 
94059,06 64 
94071,93 68 
94393,87 74 
94393,87 65 
94393,87 3 
94660,16 66 
94672,64 69 
97030,02 75 
97139,29 66 
97140,68 69 
97577,68 75 
97807,42 66 
97824,56 69 
97897,72 75 
98204,26 66 
98208,22 69 
98275,07 75 
98564,11 64 
98575,19 68 
98791,17 74 
98791,17 65 
98791,17 3 
99242,91 66 
99258,99 69 
99333,92 75 
99475,5 66 
99492,5 69 
102811,99 68 
104093,97 74 
104093,97 65 
104093,97 3 
105055,18 66 
105063,37 69 
106625,96 75 
106928,55 66 
106931,77 69 
107157,3 75 
107375,39 66 
107381,84 69 
107707,31 75 
108095,25 66 
108099,13 69 
108132,48 68 
108229,71 74 
108229,71 65 
108229,71 3 
108511,67 66 
108516,4 69 
109653,82 75 
109769,08 66 
109783,67 69 
110683,04 75 
110796,15 66 
110801,36 69 
111538,05 75 
112067,57 66 
112085,43 69 
112165,69 75 
112371,17 64 
112385,68 68 
112767,12 74 
112767,12 65 
112767,12 3 
113296,72 66 
113303,08 69 
113426,44 75 
113560,03 66 
113569,9 69 
116772,68 68 
118306,34 74 
118306,34 65 
118306,34 3 
119618,96 66 
119624,58 69 
120459,32 75 
120664,62 66 
120675,48 69 
121005,5 75 
121206,92 66 
121209,27 69 
121375,66 75 
121615,53 66 
121626,04 69 
121983,09 75 
122268,45 66 
122276,55 69 
122326,59 68 
122355,32 74 
122355,32 65 
122355,32 3 
122583,25 66 
122593,43 69 
122935,15 75 
123446,92 66 
123460,78 69 
126130,11 75 
126343,08 66 
126346,36 69 
126379,92 68 
126545,8 74 
126545,8 65 
126545,8 3 
126806,71 66 
126813,34 69 
127317,45 75 
127419,06 66 
127430,86 69 
127597,94 75 
127710,65 66 
127714,09 69 
130566,4 68 
131679,57 74 
131679,57 65 
131679,57 3 
132710,31 66 
132717,82 69 
132854,39 75 
133039,36 66 
133051,42 69 
133782,29 75 
133899,66 66 
133902,41 69 
133936,84 75 
134040,51 66 
134052,2 69 
134507,68 75 
134611,28 66 
134619,31 69 
134847,6 75 
135211,07 66 
135219,75 69 
135323,07 75 
135615,15 66 
135620,33 69 
135687,38 68 
135943,73 74 
135943,73 65 
135943,73 3 
136290,5 66 
136303,89 69 
136417,83 75 
136606,4 66 
136620,87 69 
139277,81 75 
139406,88 66 
139423,21 69 
139525,52 75 
139670,23 66 
139673,43 69 
139814,09 75 
140039,68 64 
140056,93 68 
140382,03 74 
140382,03 65 
140382,03 3 
140804,76 66 
140807,82 69 
140945,96 75 
141010,63 66 
141024,25 69 
144393,61 68 
144542,43 74 
144542,43 65 
144542,43 3 
145684,31 66 
145694,35 69 
148563,58 68 
151289,14 74 
151289,14 65 
151289,14 3 
152059,34 66 
152065,93 69 
155302,13 68 
155929,94 74 
155929,94 65 
155929,94 3 
156523,16 66 
156535,98 69 
159938,79 68 
160805,5 74 
160805,5 65 
160805,5 3 
161591,08 66 
161606,5 69 
162133,57 75 
162451,16 66 
162457,24 69 
164294,1 75 
164371,16 66 
164375,6 69 
164825,96 68 
165217,59 74 
165217,59 65 
165217,59 3 
166260,88 66 
166276,75 69 
166963,26 75 
167215,15 66 
167227,5 69 
167499,36 75 
167695,26 66 
167711,2 69 
168148,18 75 
168355,61 66 
168361,84 69 
169229,31 68 
169933,84 74 
169933,84 65 
169933,84 3 
170175,56 66 
170179,89 69 
170483,12 75 
170664,67 66 
170680,14 69 
171233,92 75 
171291,31 66 
171297,31 69 
171345,68 75 
171549,32 66 
171564,15 69 
171765,5 75 
172043,12 66 
172048,18 69 
172321,76 75 
172523,26 66 
172531,56 69 
172862,58 75 
173055,94 66 
173065,31 69 
173406,35 75 
173627,24 66 
173632,52 69 
173949,61 68 
173952,01 74 
173952,01 65 
173952,01 3 
174160,15 66 
174166,09 69 
177985,73 68 
186309,86 74 
186309,86 65 
186309,86 3 
187406,94 66 
187409,85 69 
189425,73 75 
190312,32 66 
190328,48 69 
190345,47 68 
190442,41 74 
190442,41 65 
190442,41 3 
190619,9 66 
190628,67 69 
190979,39 75 
191510,63 66 
191513,08 69 
194448,54 68 
195564,08 74 
195564,08 65 
195564,08 3 
196551,07 66 
196566,52 69 
199569,23 68 
201033,97 74 
201033,97 65 
201033,97 3 
202159,8 66 
202170,9 69 
204825,43 75 
205210,14 64 
205223,29 68 
205354,85 74 
205354,85 65 
205354,85 3 
205603,1 66 
205606,79 69 
205917,96 75 
206287,55 66 
206290,73 69 
206401,31 75 
206466,51 66 
206474,11 69 
208353,65 75 
208626,64 66 
208642,44 69 
208749,61 75 
209043,07 66 
209059,42 69 
209343,27 75 
209732,28 64 
209743,29 68 
209835,17 74 
209835,17 65 
209835,17 3 
210091,03 66 
210093,81 69 
210606,04 75 
210994,4 66 
211010,92 69 
211096,96 75 
211210,94 66 
211227,75 69 
213113,51 75 
213475,33 66 
213479,86 69 
213597,67 75 
213855,25 64 
213863,25 68 
214083,24 74 
214083,24 65 
214083,24 3 
214624,06 66 
214630,34 69 
215293,36 75 
215522,82 66 
215531,06 69 
215665,88 75 
215915,4 66 
215931,33 69 
216406,12 75 
216470,65 66 
216481,77 69 
216946,5 75 
217147,16 66 
217149,27 69 
217761,46 75 
217987,39 66 
217999,57 69 
218099,93 68 
218307,15 74 
218307,15 65 
218307,15 3 
218626,77 66 
218633,37 69 
219235,15 75 
219565,4 66 
219568,07 69 
219819,36 75 
219989,08 66 
220001,2 69 
222319,75 68 
222381,93 74 
222381,93 4 
222792,69 66 
222803,19 69 
222998,31 75 
223127,28 66 
223136,85 69 
223442,73 75 
223634,74 66 
223637,58 69 
224029,29 75 
224283,68 66 
224288,38 69 
224513,88 75 
224628,44 66 
224638,03 69 
226389,35 68 
228521,76 74 
228521,76 65 
228521,76 3 
228723,58 66 
228741,08 69 
229105,96 75 
229199,77 66 
229208,14 69 
232527,57 68 
234292,91 74 
234292,91 65 
234292,91 3 
234983,33 66 
234995,82 69 
237746,28 75 
238264,85 66 
238281,74 69 
238315,14 68 
238375,22 74 
238375,22 4 
238618,98 66 
238631,93 69 
238941,38 75 
239175,3 66 
239182,87 69 
239570,18 75 
240348,34 66 
240349,94 69 
240538,07 75 
240755,58 66 
240766,94 69 
241433,7 75 
241742,82 66 
241751,04 69 
242355,79 75 
242708,35 64 
242718,46 68 
242850,33 74 
242850,33 65 
242850,33 3 
243375,44 66 
243385,74 69 
246086,35 75 
246323,1 66 
246337,94 69 
246654,28 75 
246978,52 64 
246988,68 68 
247129,45 74 
247129,45 65 
247129,45 3 
247467,47 66 
247472,4 69 
247793,71 75 
247935,36 66 
247939,12 69 
248305,15 75 
248495,21 66 
248507,02 69 
251141,61 68 
253233,39 74 
253233,39 65 
253233,39 3 
253839,41 66 
253843,8 69 
254460,11 75 
254615,28 66 
254627,52 69 
254972,28 75 
255083,14 66 
255095,02 69 
255636,91 75 
255879,11 66 
255895,17 69 
256245,64 75 
256322,55 66 
256328,85 69 
256721,93 75 
256899,11 66 
256912,64 69 
257263,17 68 
257325,73 74 
257325,73 65 
257325,73 3 
257651,36 66 
257663,14 69 
257937,3 75 
258043,83 66 
258047,04 69 
258109,88 75 
258171,45 66 
258180,25 69 
259721,58 75 
259851,14 66 
259864,84 69 
261332,94 68 
262137,24 74 
262137,24 65 
262137,24 3 
262547,1 66 
262550,19 69 
266153,29 68 
267445,61 74 
267445,61 4 
268034,63 66 
268037,76 69 
268129,99 75 
268271,24 66 
268288,07 69 
269265,41 75 
269451,44 66 
269455,65 69 
269859,14 75 
270018,81 66 
270022,71 69 
270093,84 75 
270311,08 66 
270323,14 69 
271054,03 75 
271131,29 66 
271140,23 69 
271457,05 68 
272239,13 74 
272239,13 65 
272239,13 3 
272492,52 66 
272507,78 69 
272684,36 75 
272807,5 66 
272824,83 69 
276244,12 68 
276289,79 74 
276289,79 65 
276289,79 3 
276491,64 66 
276494,39 69 
276653,75 75 
276883,33 66 
276894,51 69 
280297,35 68 
281254,4 74 
281254,4 65 
281254,4 3 
281738,96 66 
281748,17 69 
283469,11 75 
283647,81 66 
283650,03 69 
284993,42 75 
285211,3 66 
285217,55 69 
285245,86 75 
285367,65 64 
285384,35 68 
286131,03 74 
286131,03 65 
286131,03 3 
286555,12 66 
286568,58 69 
286865,18 75 
286935,06 66 
286952,19 69 
289464 75 
289615,1 66 
289621,02 69 
290026,51 75 
290473,11 64 
290488,47 68 
290567,16 74 
290567,16 65 
290567,16 3 
290815,08 66 
290822,01 69 
291211,2 75 
291599,62 66 
291606,18 69 
291709,45 75 
291776,77 66 
291789,48 69 
294574,75 68 
295342,33 74 
295342,33 65 
295342,33 3 
296135,01 66 
296142,48 69 
297759,09 75 
297907,12 66 
297910,57 69 
298235,05 75 
298451,04 66 
298460,99 69 
298673,11 75 
298839,18 66 
298844,75 69 
299163,33 75 
299639,76 64 
299645,27 68 
299734,78 74 
299734,78 4 
300119,17 66 
300128,92 69 
300369,82 75 
300563,18 66 
300579,24 69 
300956,46 75 
301103,05 66 
301112,99 69 
301373,74 75 
301686,94 66 
301696,79 69 
301867,31 75 
302155,4 66 
302163,79 69 
302391,54 75 
302848,37 66 
302864,33 69 
302943,06 75 
303347,41 66 
303364,72 69 
303748,59 68 
305529,17 74 
305529,17 65 
305529,17 3 
306494,73 66 
306500,45 69 
309536,13 68 
309718,99 74 
309718,99 65 
309718,99 3 
309834,93 66 
309836,9 69 
310153,55 75 
310398,98 66 
310403,63 69 
311002,89 75 
311103,18 66 
311120,66 69 
313739,47 68 
314087,12 74 
314087,12 65 
314087,12 3 
314664,31 66 
314673,43 69 
315442,31 75 
315619 66 
315624,31 69 
318092,97 68 
318254,55 74 
318254,55 65 
318254,55 3 
318899,1 66 
318909,87 69 
322262,92 68 
322810,98 74 
322810,98 65 
322810,98 3 
323335,19 66 
323346,86 69 
324670,85 75 
324894,96 66 
324897,89 69 
325586,45 75 
325723,32 66 
325731,8 69 
326144,11 75 
326348,35 66 
326365,59 69 
326625,44 75 
327088,76 64 
327099,51 68 
327252,86 74 
327252,86 4 
327427,2 66 
327433,15 69 
328282,06 75 
328495,32 66 
328500,58 69 
328977,85 75 
329039,45 66 
329051,06 69 
330155,82 75 
330806,99 66 
330819,01 69 
331269,6 68 
332225,88 74 
332225,88 65 
332225,88 3 
332635,01 66 
332637,38 69 
335061,21 75 
335403,77 66 
335406,15 69 
336239,83 68 
336329,63 74 
336329,63 65 
336329,63 3 
337087,04 66 
337090,38 69 
340359,87 68 
340702,67 74 
340702,67 4 
341388,6 66 
341393,86 69 
341495,6 75 
341634,6 66 
341643,93 69 
342203,42 75 
342643,51 66 
342644,64 69 
342769,86 75 
342898,68 66 
342911,57 69 
343390,47 75 
343487,94 66 
343495,42 69 
344390,1 75 
344551,47 66 
344562,87 69 
344713,18 68 
344907,04 74 
344907,04 65 
344907,04 3 
345070,97 66 
345079,85 69 
345270,3 75 
345383,31 66 
345396,77 69 
348933,31 68 
349033,19 74 
349033,19 65 
349033,19 3 
350231,13 66 
350234,17 69 
350362,04 75 
350555,12 66 
350567,4 69 
353052,78 68 
353194,55 74 
353194,55 65 
353194,55 3 
354268,73 66 
354270,31 69 
355901,38 75 
356051,68 66 
356055 69 
356467,36 75 
356552,48 66 
356555,59 69 
356878,58 75 
357019,16 66 
357022,46 69 
357205,84 68 
357447,41 74 
357447,41 4 
358039,35 66 
358056,64 69 
358927,02 75 
359274,21 66 
359290,74 69 
359425,64 75 
360047,38 66 
360057,97 69 
361476,12 68 
362058,81 74 
362058,81 65 
362058,81 3 
363034,88 66 
363043,55 69 
365050,58 75 
365590,87 66 
365596,08 69 
365782,13 75 
365948 66 
365962,47 69 
366079,51 68 
366343,25 74 
366343,25 65 
366343,25 3 
366961,94 66 
366963,29 69 
370349,44 68 
370687,29 74 
370687,29 65 
370687,29 3 
371051,62 66 
371066,39 69 
372609,99 75 
372690,95 66 
372700,94 69 
373057,92 75 
373167,14 66 
373184,8 69 
374245,55 75 
374361,54 66 
374368,92 69 
374703,12 68 
374721,44 74 
374721,44 65 
374721,44 3 
375050,23 66 
375052,98 69 
376481,92 75 
376569,29 66 
376570,58 69 
377101,67 75 
377291,25 66 
377304,6 69 
377673,91 75 
377907,23 66 
377921,74 69 
378233,76 75 
378364,2 66 
378372,1 69 
378405,87 75 
378511,56 66 
378522,42 69 
378739,01 68 
378770,58 74 
378770,58 4 
378991,07 66 
379006,01 69 
379295,28 75 
379399,53 66 
379406,37 69 
379537,71 75 
379715,31 66 
379723,34 69 
381359,89 202
381359,89 159
381359,89 170
382359,35 68 
382933,66 74 
382933,66 4 
383147,6 66 
383158,87 69 
383525,73 75 
383679,82 66 
383692,73 69 
384119,38 75 
384219,08 66 
384226,44 69 
384719,05 75 
384943,04 66 
384960,31 69 
385346,87 75 
385483,55 66 
385494,37 69 
386945,32 68 
390550,42 74 
390550,42 4 
390722,9 66 
390731,32 69 
394567,9 68 
396058,16 65 
396058,16 1 
397960,25 65 
397960,25 1 
400758,36 65 
400758,36 1 
411237,26 74 
411237,26 4 
411464,01 66 
411480,5 69 
411558,56 73 
415250,67 68 
419205,49 74 
419205,49 4 
419471,24 66 
419486,59 69 
423222,93 68 
425769,52 74 
425769,52 4 
426263,79 66 
426275,12 69 
426409,76 75 
426579,03 66 
426592,08 69 
426959,73 75 
427055,1 66 
427059,11 69 
427274,66 75 
427367,21 66 
427375,99 69 
429778,07 68 
432974,07 74 
432974,07 4 
433120,7 66 
433130,36 69 
436983,58 68 
441405,41 74 
441405,41 4 
441759,19 73 
441814,89 66 
441820,35 69 
445424,06 68 
451702,05 74 
451702,05 4 
451955,33 66 
451961,5 69 
455714,58 68 
458658,31 65 
458658,31 1 
460458,31 65 
460458,31 1 
484858,28 65 
484858,28 1 
489933,65 74 
489933,65 4 
490091,68 66 
490107,26 69 
493943,74 68 
496359,75 65 
496359,75 1 
500502,79 74 
500502,79 4 
500915,08 66 
500932,06 69 
503969,87 75 
504170,7 66 
504184,61 69 
504518,45 68 
509858,34 65 
509858,34 1 
511430,36 74 
511430,36 4 
511591,5 66 
511607 69 
515443,48 68 
518558,3 65 
518558,3 1 
520458,28 65 
520458,28 1 
520858,37 65 
520858,37 1 
531258,26 65 
531258,26 1 
536513,46 74 
536513,46 4 
536871,19 66 
536876,36 69 
539701,59 75 
539842,53 66 
539845,48 69 
540529,33 68 
543058,29 73 
543286,29 74 
543286,29 4 
543723,3 66 
543731,4 69 
545658,24 73 
545859,14 73 
546707,65 75 
546720,11 66 
546751,01 69 
546910,96 75 
546957,23 66 
546967,24 69 
547301,15 68 
556269,87 74 
556269,87 4 
556459,45 66 
556474,45 69 
560061,46 73 
560277,65 68 
560465,83 74 
560465,83 4 
560679,42 66 
560694,34 69 
562138,26 75 
562396,41 66 
562412,41 69 
562605,64 75 
562802,87 66 
562812,67 69 
563059,08 75 
563154,69 66 
563162,98 69 
564497,31 68 
564758,26 73 
572913,61 74 
572913,61 4 
573491,36 66 
573504,12 69 
574358,24 73 
576049,52 75 
576289,76 66 
576306,6 69 
576923,49 68 
578885,8 74 
578885,8 4 
579023,15 66 
579025,32 69 
579271,6 75 
579555,84 66 
579558,84 69 
579773,86 75 
580046,92 66 
580059,18 69 
580249,68 75 
580307,21 66 
580326,04 69 
581025,76 75 
581155,22 66 
581160,17 69 
582894,84 68 
587458,16 65 
587458,16 1 
588790,68 74 
588790,68 4 
588914,8 66 
588932,56 69 
592819,19 68 
595758,16 65 
595758,16 1 
597358,72 65 
597358,72 1 
612458,16 65 
612458,16 1 
621682,13 74 
621682,13 4 
621927,29 66 
621941,08 69 
623959,7 73 
625694,25 68 
627889,45 74 
627889,45 4 
628211,07 66 
628212,54 69 
628458,4 65 
628458,4 1 
631898,99 68 
632258,37 65 
632258,37 1 
638205,21 74 
638205,21 4 
638434,89 66 
638437,24 69 
642223,32 68 
